"createdatetime","incidentnumber","address","city","lat","lon","calltype","race","gender","age","reason","enforcement","car_search"
"2020-09-26T09:51:38.000","2020-00044522","ADELINE ST / ASHBY AVE","BERKELEY","37.8545518894124","-122.269208664726","T","Other","Female",">40","Traffic","Citation","No Search"
"2020-09-26T09:36:18.000","2020-00044519","ADELINE ST / ESSEX ST","BERKELEY","37.853384086412","-122.269648492442","T","Black","Male","<18","Investigation","Arrest","No Search"
"2020-09-25T19:40:14.000","2020-00044423","FRANCISCO ST / CALIFORNIA ST","BERKELEY","37.8742319523848","-122.28016725011","T","White","Male","30-39","Traffic","Arrest","No Search"
"2020-09-25T12:35:16.000","2020-00044344","ASHBY AVE / HARPER ST","BERKELEY","37.8541647762786","-122.272171773768","T","Asian","Female","30-39","Traffic","Citation","No Search"
"2020-09-25T12:08:17.000","2020-00044343","SACRAMENTO ST / UNIVERSITY AVE","BERKELEY","37.870410562","-122.281937988","T","Hispanic","Male","18-29","Traffic","Citation","No Search"
"2020-09-25T10:47:31.000","2020-00044337","6TH ST / UNIVERSITY AVE","BERKELEY","37.8679938952317","-122.29766438932","T","White","Female",">40","Traffic","Warning","No Search"
"2020-09-25T10:46:54.000","2020-00044336","UNIVERSITY AVE / 6TH ST","BERKELEY","37.8679938952317","-122.29766438932","T","White","Female","18-29","Traffic","Citation","No Search"
"2020-09-25T09:40:12.000","2020-00044325","ASHBY AVE / MARTIN LUTHER KING JR WAY","BERKELEY","37.854316382","-122.271084145","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-25T08:35:24.000","2020-00044315","MARTIN LUTHER KING JR WAY / ASHBY AVE","BERKELEY","37.8543163816344","-122.271084144582","T","Other","Female","18-29","Traffic","Citation","No Search"
"2020-09-25T08:26:52.000","2020-00044312","MARTIN LUTHER KING JR WAY / OREGON ST","BERKELEY","37.8570538411253","-122.271385071991","T","Black","Male","18-29","Traffic","Citation","No Search"
"2020-09-25T08:20:20.000","2020-00044311","RUSSELL ST / MARTIN LUTHER KING JR WAY","BERKELEY","37.8561331555292","-122.271281679752","T","Other","Male","30-39","Traffic","Citation","No Search"
"2020-09-25T08:11:22.000","2020-00044309","MARTIN LUTHER KING JR WAY / STUART ST","BERKELEY","37.8579641261226","-122.271495160134","T","White","Male","18-29","Traffic","Citation","No Search"
"2020-09-25T08:04:26.000","2020-00044308","MARTIN LUTHER KING JR WAY / DERBY ST","BERKELEY","37.85976575","-122.271695806","T","Black","Female",">40","Traffic","Citation","No Search"
"2020-09-25T07:52:47.000","2020-00044306","MARTIN LUTHER KING JR WAY / RUSSELL ST","BERKELEY","37.8561331555292","-122.271281679752","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-25T07:40:35.000","2020-00044305","ASHBY AVE / SHATTUCK AVE","BERKELEY","37.855300551162","-122.266493175063","T","Hispanic","Male","18-29","Traffic","Citation","No Search"
"2020-09-25T07:33:34.000","2020-00044304","ASHBY BART",,"-361","-361","T","Hispanic","Female","18-29","Traffic","Citation","No Search"
"2020-09-25T07:29:34.000","2020-00044303","MARTIN LUTHER KING JR WAY / OREGON ST","BERKELEY","37.8570538411253","-122.271385071991","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-24T17:19:24.000","2020-00044227","2535 CHANNING WAY","BERKELEY","37.867385719","-122.257322965","1194","White","Male","30-39","Investigation","Warning","No Search"
"2020-09-24T12:12:58.000","2020-00044175","ALLSTON WAY / SHATTUCK AVE","BERKELEY","37.869391969","-122.267932336","T","White","Female","18-29","Traffic","Citation","No Search"
"2020-09-24T11:29:33.000","2020-00044165","CEDAR ST / SACRAMENTO ST","BERKELEY","37.8766899928379","-122.282646771975","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-24T11:18:08.000","2020-00044160","CEDAR ST / SACRAMENTO ST","BERKELEY","37.8766899928379","-122.282646771975","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-24T11:04:47.000","2020-00044158","CEDAR ST / SACRAMENTO ST","BERKELEY","37.8766899928379","-122.282646771975","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-24T09:32:58.000","2020-00044147","EASTSHORE HWY / GILMAN ST","BERKELEY","37.8783023262062","-122.306565528862","T","Asian","Male","30-39","Traffic","Citation","No Search"
"2020-09-24T08:28:40.000","2020-00044137","7TH ST / MURRAY ST","BERKELEY","37.8508069896458","-122.291036812906","T","Black","Male","18-29","Traffic","Citation","No Search"
"2020-09-24T08:15:31.000","2020-00044134","6TH ST / UNIVERSITY AVE","BERKELEY","37.8679938952317","-122.29766438932","T","Black","Female","30-39","Traffic","Citation","No Search"
"2020-09-24T08:15:31.000","2020-00044134","6TH ST / UNIVERSITY AVE","BERKELEY","37.8679938952317","-122.29766438932","T","Hispanic","Female","30-39","Traffic","Citation","No Search"
"2020-09-24T08:13:39.000","2020-00044133","<UNKNOWN>",,"-361","-361","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-24T08:05:43.000","2020-00044132","7TH ST / ADDISON ST","BERKELEY","37.8669180231094","-122.296209059488","T","Hispanic","Male","18-29","Traffic","Citation","No Search"
"2020-09-24T08:00:20.000","2020-00044131","<UNKNOWN>",,"-361","-361","T","Black","Male",">40","Traffic","Citation","No Search"
"2020-09-24T07:43:00.000","2020-00044128","7TH ST / MURRAY ST","BERKELEY","37.8508069896458","-122.291036812906","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-24T07:27:34.000","2020-00044125","FOLGER AVE / HOLLIS ST","BERKELEY","37.8497612705735","-122.292249969059","T","Black","Male",">40","Traffic","Citation","No Search"
"2020-09-23T16:21:15.000","2020-00044036","7TH ST / GRAYSON ST","BERKELEY","37.8553036862076","-122.292472204535","T","Hispanic","Male",">40","Traffic","Citation","No Search"
"2020-09-23T16:11:55.000","2020-00044033","7TH ST / GRAYSON ST","BERKELEY","37.8553036862076","-122.292472204535","T","White","Male","30-39","Traffic","Citation","No Search"
"2020-09-23T16:10:47.000","2020-00044032","MARTIN LUTHER KING JR WAY / OREGON ST","BERKELEY","37.8570538411253","-122.271385071991","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-23T15:54:55.000","2020-00044029","7TH ST / POTTER ST","BERKELEY","37.851514871299","-122.291270411224","T","White","Female","30-39","Traffic","Citation","No Search"
"2020-09-23T15:52:31.000","2020-00044028","ORE MCG",,"-361","-361","T","Hispanic","Male","30-39","Traffic","Citation","No Search"
"2020-09-23T15:40:20.000","2020-00044027","7TH ST / POTTER ST","BERKELEY","37.851514871299","-122.291270411224","T","White","Male","30-39","Traffic","Citation","No Search"
"2020-09-23T14:56:32.000","2020-00044022","GRANT ST / STUART ST","BERKELEY","37.8577474045961","-122.273168497779","T","Black","Male","30-39","Traffic","Citation","No Search"
"2020-09-23T14:56:05.000","2020-00044021","HOLL/67",,"-361","-361","T","White","Male","30-39","Traffic","Citation","No Search"
"2020-09-23T14:35:37.000","2020-00044013","OREGON ST / MCGEE AVE","BERKELEY","37.8565674989112","-122.275234518473","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-23T14:16:56.000","2020-00044012","STUART ST / GRANT ST","BERKELEY","37.8577474045961","-122.273168497779","T","Hispanic","Male","30-39","Traffic","Citation","No Search"
"2020-09-23T12:13:26.000","2020-00043993","6TH ST / CHANNING WAY","BERKELEY","37.86174399912","-122.295650698398","T","Black","Male","30-39","Traffic","Citation","No Search"
"2020-09-23T11:17:55.000","2020-00043976","FOLGER AVE / 7TH ST","BERKELEY","37.8500589059194","-122.290783189701","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-23T09:08:34.000","2020-00043960","UNIVERSITY AVE / 6TH ST","BERKELEY","37.8679938952317","-122.29766438932","T","Hispanic","Male","18-29","Traffic","Citation","No Search"
"2020-09-23T08:55:51.000","2020-00043958","SAN PABLO AVE / ALLSTON WAY","BERKELEY","37.8663817687357","-122.29123441139","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-23T08:41:03.000","2020-00043954",,,"37.8474718640888","-122.29807683547","T","Asian","Female",">40","Traffic","Citation","No Search"
