"pin","class","tax_year","nbhd","hd_sf","town_code","type_resd","apts","ext_wall","roof_cnst","rooms","beds","bsmt","bsmt_fin","heat","oheat","air","frpl","attic_type","attic_fnsh","hbath","tp_plan","tp_dsgn","cnst_qlty","renovation","site","gar1_size","gar1_cnst","gar1_att","gar1_area","gar2_size","gar2_cnst","gar2_att","gar2_area","porch","ot_impr","bldg_sf","repair_cnd","multi_code","ncu","pri_est_land","pri_est_bldg","most_recent_sale_date","doc_no","most_recent_sale_price","centroid_x","centroid_y","tractce","total_bldg_sf","multi_ind","addr","modeling_group","fbath","age","use_1","n_units","per_ass","condo_class_factor","multi_family_ind","large_lot","condition_desirability_and_utility","deed_type","o_hare_noise","floodplain","near_major_road","total_units","condo_strata","age_squared","age_decade","age_decade_squared","lot_size_squared","improvement_size_squared","location_factor","garage_indicator","residential_share_of_building","pure_market_sale","pure_market_filter","neigborhood_code_mapping_","square_root_of_lot_size","square_root_of_age","square_root_of_improvement_size","town_and_neighborhood"
"01011000040000","212","2018","12","11055","10","2","5","1","2","7","5","3","3","1","5","0","0","1","3","1","2","2","2",,"2","2","1","2","2","7","0","0","0","3","200","1904","2","2","1","52510","374930",,,,"-88.139620888932","42.1539529104794","804201",,"0","213 W MAIN ST BARRINGTON","MF","5","135","2",,,,"212","0",,,"0","0","1","1",,"18225","13.5","182.25","122213025","3625216","2.0844987738127063","1",,"0","0","12","105.14276009312292","11.61895003862225","43.634848458542855","1012"
"01011000050000","205","2018","12","6534","10","2","0","1","1","7","4","1","3","2","5","0","1","1","3","0","2","2","2",,"2","3","1","2","2","7","0","0","0","1","0","1562","2","2","0","31030","173970",,,,"-88.1393785367208","42.1539528099169","804201",,"0","209 W MAIN ST BARRINGTON","SF","1","114","1",,,,,"0",,,"0","0","1","1",,"12996","11.4","129.96","42693156","2439844","2.079860693924313","1",,"0","0","12","80.83316151184488","10.677078252031311","39.52214569073901","1012"
"01011000060000","212","2018","12","6534","10","2","3","2","1","7","2","3","3","1","5","1","0","2","1","1","2","2","2",,"2","3","1","2","2","7","0","0","0","3","6","1677","2","2","1","31030","353260",,,,"-88.1391964067308","42.1539526800893","804201",,"0","205 W MAIN ST BARRINGTON","MF","3","109","2",,,,"212","0",,,"0","0","1","1",,"11881","10.9","118.81","42693156","2812329","2.0763758165168724","1",,"0","0","12","80.83316151184488","10.44030650891055","40.95119045888654","1012"
"01011000090000","212","2018","12","13571","10","2","2","2","2","7","2","3","1","2","5","1","0","3",,"1","2","2","2",,"2","7","2","2","2","7","0","0","0","3","600","4545","2","2","1","64460","668790",,,,"-88.1384273772763","42.1539451941059","804201",,"0","149 W MAIN ST BARRINGTON","MF","2","76","2",,,,"212","0",,,"0","0","1","1",,"5776","7.6","57.76","184172041","20657025","2.061552430340531","1",,"0","0","12","116.49463506960309","8.717797887081348","67.4166151627327","1012"
"01011000170000","205","2018","12","9027","10","2","0","1","1","6","3","1","3","1","5","0","0","2","3","0","2","2","2",,"2","0","0","0","0","7","0","0","0","1","0","1584","3","2","0","42870","291310",,,,"-88.1405211848527","42.1536711443042","804201",,"0","115  DUNDEE AVE BARRINGTON","SF","1","123","1",,,,,"0",,,"0","0","1","1",,"15129","12.3","151.29000000000002","81486729","2509056","2.0966015676168226","0",,"0","0","12","95.01052573267869","11.090536506409418","39.7994974842648","1012"
"01011000180000","205","2018","12","12012","10","2","0","1","1","7","4","1","3","1","5","1","1","3",,"0","2","2","2",,"2","3","1","2","2","7","0","0","0","1","0","2000","2","2","0","57050","381040",,,,"-88.1405238507394","42.153505035659","804201",,"0","119 S DUNDEE AVE BARRINGTON","SF","2","123","1",,,,,"0",,,"0","0","1","1",,"15129","12.3","151.29000000000002","144288144","4000000","2.093630683550366","1",,"0","0","12","109.59927007056206","11.090536506409418","44.721359549995796","1012"
"01011000190000","202","2018","12","6699","10","1","0","1","1","4","2","1","3","1","5","1","1","3",,"0","2","2","2",,"2","4","1","2","2","7","0","0","0","3","0","807","2","2","0","31820","214310",,,,"-88.1400826219647","42.1535774587398","804201",,"0","123 E MAIN ST BARRINGTON","SF","1","76","1",,,,,"0",,,"0","0","1","1",,"5776","7.6","57.76","44876601","651249","2.0865033503871406","1",,"0","0","12","81.84741901856161","8.717797887081348","28.407745422683583","1012"
"01011000200000","211","2018","12","6699","10","2","2","1","1","12","6","3","3","1","5","1","0","3",,"2","2","2","2",,"2","4","1","2","2","7","0","0","0","3","0","2008","2","2","0","31820","399090",,,,"-88.1398708651931","42.1535765071915","804201",,"0","228 W STATION ST BARRINGTON","MF","2","138","2",,,,"211","0",,,"0","0","1","1",,"19044","13.8","190.44000000000003","44876601","4032064","2.082436118390217","1",,"0","0","12","81.84741901856161","11.74734012447073","44.81071300481616","1012"
"01011000230000","205","2018","12","13068","10","2","0","1","1","7","3","1","3","1","5","1","0","3",,"1","2","2","2",,"2","4","1","2","2","7","0","0","0","1","0","1592","2","2","0","62070","243580",,,,"-88.1392884540698","42.1535858085818","804201",,"0","214 W STATION ST BARRINGTON","SF","1","118","1",,,,,"0",,,"0","0","1","1",,"13924","11.8","139.24","170772624","2534464","2.071475118542956","1",,"0","0","12","114.3153532995459","10.862780491200215","39.89987468652001","1012"
"01011000250000","203","2018","12","5040","10","1","0","2","1","6","3","1","3","1","5","0","0","2","1","0","0","0","2",,"2","1","2","2","2","7","0","0","0","2","0","1248","2","2","0","23940","259600",,,,"-88.1386672373925","42.1535731524298","804201",,"0","202 W STATION ST BARRINGTON","SF","1","86","1",,,,,"0",,,"0","0","1","1",,"7396","8.6","73.96","25401600","1557504","2.059391809488046","1",,"0","0","12","70.9929573971954","9.273618495495704","35.32704346531139","1012"
