"location","hours_weekday","hours_saturday","hours_sunday","address","city","state","zip","location_1"
"Centennial Ice Rinks (Wilmette)","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","2300 Old Glenview Rd.","Wilmette","IL","60091","2300 Old Glenview Rd
Wilmette, IL 60091
(42.06971, -87.733188)"
"Glenview Village Hall","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","2500 E. Lake Ave.","Glenview","IL","60025","2500 E Lake Ave
Glenview, IL 60025
(42.078405, -87.822556)"
"Melrose Park Village Hall","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","1000 North 25th Ave.","Melrose Park","IL","60160","1000 North 25th Ave Melrose Park
IL,  60160
(41.89765, -87.864959)"
"Oak Lawn Village Hall","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","9446 S. Raymond Ave.","Oak Lawn","IL","60453","9446 S Raymond Ave
Oak Lawn, IL 60453
(41.720481, -87.753399)"
"Mount Prospect Village Hall","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","50 S. Emerson St.","Mount Prospect","IL","60056","50 S Emerson St
Mount Prospect, IL 60056
(42.064826, -87.935997)"
"Brookdale Senior Living (Olympia Fields)","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","3633 Breakers Dr.","Olympia Fields","IL","60461","3633 Breakers Dr Olympia Fields
IL,  60461
(41.525944, -87.707241)"
"Prairie Trails Library District (Burbank)","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","8449 S. Moody Ave.","Burbank","IL","60459","8449 S Moody Ave
Burbank, IL 60459
(41.738698, -87.773384)"
"Brookfield Village Hall","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","8820 Brookfield Ave.","Brookfield","IL","60513","8820 Brookfield Ave
Brookfield, IL 60513
(41.823499, -87.84115)"
"Cicero PSO Building","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-7pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","5410 W. 34th St.","Cicero","IL","60804","5410 W 34th St
Cicero, IL 60804
(41.83137, -87.759252)"
"Des Plaines Public Library","Oct. 24 - 28 9am-5pm; Oct. 31 - Nov. 4 9am-7pm; Nov. 7 9am-5pm","Oct. 29, Nov. 5 9am-5pm","Oct. 30, Nov. 6 9am-3pm","1501 Ellinwood St.","Des Plaines","IL","60016","1501 Ellinwood St Des Plaines
IL,  60016
(42.040411, -87.887175)"
