"municipality","street_address","zip_code","url","location_1"
"Matteson","4900 Village Commons","60443","http://www.villageofmatteson.org","4900 Village Commons
Matteson, IL 60443
(41.51712933800047, -87.73436702799967)"
"Justice","7800 Archer Road","60458","http://www.villageofjustice.org","7800 Archer Road
Justice, IL 60458
(41.74907551300049, -87.83947540099967)"
"Harvey","15320 Broadway Avenue","60426","http://www.cityofharvey.org/site2/","15320 Broadway Avenue
Harvey, IL 60426
(41.611317417000464, -87.64461196099967)"
"Lynwood","21460 Lincoln Highway","60411","http://www.lynwoodil.us","21460 Lincoln Highway
Lynwood, IL 60411
(41.5051656280005, -87.53276112499964)"
"Westchester","10300 Roosevelt Road","60154","http://www.westchester-il.org","10300 Roosevelt Road
Westchester, IL 60154
(41.86332635400049, -87.88062191499967)"
"Arlington Heights","33 S. Arlington Heights Rd","60005","http://www.vah.com","33 S. Arlington Heights Rd
Arlington Heights, IL 60005
(42.08162248400049, -87.98043948699967)"
"Orland Hills","16033 S. 94th Avenue","60487","http://www.orlandhills.org","16033 S. 94th Avenue
Orland Hills, IL 60487
(41.59831269300048, -87.84779172299966)"
"Ford Heights","1343 Ellis Avenue","60411","http://www.yellowpages.com/ford-heights-il/mip/ford-heights-municipal-hall-463987097","1343 Ellis Avenue
Ford Heights, IL 60411
(41.50752152300049, -87.59206436399967)"
"University Park","698 Burnham Drive","60466","http://www.university-park-il.com","698 Burnham Drive
University Park, IL 60466
(41.446793724000486, -87.68649585099968)"
"Lincolnwood","6900 N. Lincoln Ave.","60712","http://www.lincolnwoodil.org/","6900 N. Lincoln Ave.
Lincolnwood, IL 60712
(42.00658745300046, -87.7328201959997)"
"Worth","7112 W. 111th Street","60482","http://www.villageofworth.com","7112 W. 111th Street
Worth, IL 60482
(41.69005390500047, -87.79549539599964)"
"Oak Brook","1200 Oak Brook Road","60523","http://www.oak-brook.org","1200 Oak Brook Road
Oak Brook, IL 60523
(41.83248804100049, -87.94676090399969)"
"Glenwood","1 Asselborn Way","60425","http://www.villageofglenwood.com","1 Asselborn Way
Glenwood, IL 60425
(41.54607985300049, -87.61241837399967)"
