"month","fiscal_year","usage_kwh","cost","location_1"
"August","2009","679,234.65","69407.33","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"March","2011","668,832.86","57108.72","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"May","2010","568,734.13","57939.78","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"July","2008","807,472.07","83070.69","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"September","2011","494,627.07","44816.98","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"May","2009","507,749.19","55342.34","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"October","2009","563,000.60","59725.25","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"June","2010","652,369.21","62365.8","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"January","2010","854,762.23","73719.88","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"June","2008","682,817.42","72006.98","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"April","2009","604,498.94","62855.32","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"September","2010","582,021.94","58330.23","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"June","2011","474,987.91","43186.03","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"April","2010","606,052.58","57047.93","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"July","2010","755,632.85","69035.44","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"May","2008","619,654.22","54759.14","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"January","2011","852,401.50","69548.87","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"November","2009","751,217.81","75607.56","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"January","2008","880,914.24","68450.91","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"August","2008","724,067.95","75816.17","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"October","2011","384,888.08","37084.56","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"March","2010","651,094.70","59354.06","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"December","2008","936,858.41","72332.97","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"February","2010","841,152.69","73671.43","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"January","2009","936,715.85","88926.69","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"September","2008","752,450.72","78391.54","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"July","2009","686,218.83","70747.48","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"December","2010","1,037,424.92","87141.69","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"February","2008","797,474.32","65753.93","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"March","2009","644,107.26","66584.32","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"October","2010","523,039.75","54014.75","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"January","2012","669,631.14","53382.86","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"February","2011","766,418.86","63220.64","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"October","2008","636,335.25","69581.96","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"March","2008","648,511.73","54632.52","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"April","2011","546,355.20","49837.92","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"December","2011","1,020,927.75","80269.97","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"July","2011","558,550.34","48118.39","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"May","2011","540,710.88","46942.17","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"November","2008","774,577.46","80599.19","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"December","2009","849,077.68","82043.49","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"June","2009","619,755.97","65204.46","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"August","2010","683,354.61","64074.54","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"April","2008","636,879.27","55840.79","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"November","2011","517,133.29","45878.9","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"August","2011","544,142.25","47253.19","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"February","2009","743,946.32","74448.03","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"December","2012","559,676.98","45122.45","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"September","2009","605,197.92","64030.76","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
"November","2010","726,555.13","67688.85","2121 Euclid Av
Rolling Meadows, IL 60008
(42.088266335597, -88.005009635374)"
