"pin","class","nbhd","hd_sf","town_code","type_resd","apts","ext_wall","roof_cnst","rooms","beds","bsmt","bsmt_fin","heat","oheat","air","frpl","attic_type","attic_fnsh","hbath","tp_plan","tp_dsgn","cnst_qlty","renovation","site","gar1_size","gar1_cnst","gar1_att","gar1_area","gar2_size","gar2_cnst","gar2_att","gar2_area","porch","ot_impr","bldg_sf","repair_cnd","multi_code","ncu","est_land","est_bldg","sale_date","doc_no","sale_price","centroid_x","centroid_y","tractce","total_bldg_sf","multi_ind","addr","modeling_group","fbath","age","use_1","n_units","per_ass","condo_class_factor","multi_family_ind","large_lot","condition_desirability_and_utility","o_hare_noise","floodplain","road_proximity","condo_strata","sale_year","sale_quarter","sale_half_year","sale_quarter_of_year","sale_month_of_year","sale_half_of_year","most_recent_sale","age_squared","age_decade","age_decade_squared","lot_size_squared","improvement_size_squared","pure_market_filter","garage_indicator","neigborhood_code_mapping_","square_root_of_lot_size","square_root_of_age","square_root_of_improvement_size","town_and_neighborhood"
"17273100931118","299","40","365398","76",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"3",,,,,,"9180","14870","2015-06-26T00:00:00.000","01517742068","53000","-87.622576545905","41.8402291575061","839200",,"0","2921 S MICHIGAN AVE","NCHARS",,"44","1","679","0.0009854","299",,,,"0","0","1",,"2015","74","37","2","6","1","1","1936","4.4","19.360000000000003","133515698404",,"1",,"40","604.4815960804763","6.6332495807108",,"7640"
"18013090421010","299","52","19551","21",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"3",,,,,,"4500","55890","2018-08-03T00:00:00.000","01821519280","80000","-87.8188917982924","41.8104051495936","819200",,"0","4431 PRESCOTT AVE","NCHARS",,"57","1","24","0.0439","299",,,,"0","0","1","1","2018","87","44","3","8","2","1","3249","5.7","32.49","382241601",,"1",,"52","139.82489048806724","7.54983443527075",,"2152"
"16094150130000","211","13","4500","77","3","6","2","2","24","12","1","3","2","5","0","0","3","0","0","2","0","2",,"2","3","1","2","2","7","0","0","0","3","0","7435","2","2","0","31500","195710","2014-10-27T00:00:00.000","01430046150","79000","-87.7511099891347","41.8839927357389","251800",,"0","5019 W MAYPOLE AVE","MF","6","87","2",,,,"211",,,"0","0","0",,"2014","72","36","4","10","2","1","7569","8.7","75.68999999999998","20250000","55279225","1","1","13","67.08203932499369","9.327379053088816","86.22644605919926","7713"
"12253140491007","299","80","12148","20",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"3",,,,,,"8610","87950","2013-03-07T00:00:00.000","01306650065","90000","-87.8170785105404","41.9280353266162","810800",,"0","32 CONTI PKWY","NCHARS",,"26","1","12","0.08594","299",,,,"0","0","0",,"2013","65","33","1","3","1","1","676","2.6","6.760000000000001","147573904",,"1",,"80","110.21796586763884","5.0990195135927845",,"2080"
"12111190201042","299","390","48470","71",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"3",,,,,,"9750","74600","2018-03-12T00:00:00.000","01807108202","118000","-87.8408594548487","41.9758252818986","760803",,"0","5313 N DELPHIA AVE","NCHARS",,"45","1","54","0.0183","299",,,,"1","0","0","2","2018","85","43","1","3","1","1","2025","4.5","20.25","2349340900",,"1",,"390","220.15903342811077","6.708203932499369",,"71390"
"04252000820000","204","100","33898","25","5","0","2","4","11","4","1","3","1","5","1","2","2","1","1","2","0","1",,"2","4","2","1","1","7","0","0","0","3","748","4692","1","2","0","271180","677820","2014-09-29T00:00:00.000","01427242015","1467000","-87.7800372705796","42.0912065729211","801902",,"0","2025 WAGNER RD","SF","3","61","1",,,,,,,"0","0","1",,"2014","71","36","3","9","2","1","3721","6.1","37.209999999999994","1149074404","22014864","1","1","100","184.1140950606444","7.810249675906654","68.49817515817483","25100"
"03293400251060","299","72","21930","38",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"3",,,,,,"1470","257050","2014-02-13T00:00:00.000","01404410036","275000","-87.9852346692395","42.0832260037881","803300",,"0","200 W CAMPBELL ST","NCHARS",,"13","1","92","0.012264","299",,,,"0","0","0",,"2014","69","35","1","2","1","1","169","1.3","1.6900000000000002","480924900",,"1",,"72","148.08781178746617","3.605551275463989",,"3872"
"13093160601015","299","402","8893","71",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"3",,,,,,"8550","78650","2017-11-29T00:00:00.000","01733346260","125500","-87.7666050733725","41.9715353106453","110400",,"0","5620 W GOODMAN ST","NCHARS",,"47","1","15","0.074","299",,,,"0","0","0",,"2017","84","42","4","11","2","1","2209","4.7","22.090000000000003","79085449",,"1",,"402","94.30270409696638","6.855654600401044",,"71402"
"14322110150000","208","12","3720","74","3","0","2","6","9","5","1","1","1","5","1","2","3","0","3","2","2","2",,"2","4","2","2","2","7","0","0","0","3","0","4287","2","2","0","334800","2529330","2018-03-09T00:00:00.000","01806815063","3705000","-87.6507348241407","41.9224566376035","71100",,"0","2221 N FREMONT ST","SF","4","4","1",,,,,,,"0","0","0",,"2018","85","43","1","3","1","1","16","0.4","0.16000000000000003","13838400","18378369","1","1","12","60.991802727907626","2","65.47518613948341","7412"
"27021200080000","204","34","16079","28","1","0","3","1","7","3","1","3","1","5","1","1","3","0","1","2","0","2",,"2","3","2","1","2","7","0","0","0","3","0","2208","2","2","0","88430","178850","2016-06-13T00:00:00.000","01616208026","345000","-87.8343026065847","41.6412734097471","824105",,"0","13714 TAMARACK LN","SF","2","29","1",,,,,,,"0","0","0",,"2016","78","39","2","6","1","1","841","2.9","8.41","258534241","4875264","1","1","34","126.80299681001235","5.385164807134504","46.98936049788292","2834"
