"year","sentencing_result","offense_type","age","defendant_count"
"2016","Conditional Discharge","Violation Order Of Protection","27","1"
"2016","Jail","Violation Order Of Protection","24","1"
"2016","Prison","Violation Order Of Protection","32","1"
"2016","Prison","Violation Order Of Protection","28","3"
"2016","Prison","Violation Order Of Protection","31","1"
"2016","Prison","Violation Order Of Protection","24","1"
"2016","Prison","Violation Order Of Protection","56","1"
"2016","Prison","Violation Order Of Protection","38","1"
"2016","Prison","Violation Order Of Protection","44","2"
"2016","Prison","Violation Order Of Protection","51","1"
"2016","Prison","Violation Order Of Protection","34","1"
"2016","Prison","Violation Order Of Protection","23","4"
"2016","Prison","Violation Order Of Protection","30","1"
"2016","Prison","Violation Order Of Protection","46","1"
"2016","Prison","Violation Order Of Protection","53","1"
"2016","Prison","Violation Order Of Protection","48","1"
"2016","Prison","Violation Order Of Protection","49","2"
"2016","Prison","Violation Order Of Protection","41","3"
"2016","Probation","Violation Order Of Protection","23","1"
"2016","Probation","Violation Order Of Protection","49","1"
"2016","Probation","Violation Order Of Protection","51","1"
"2016","Probation","Violation Order Of Protection","39","1"
"2016","Probation","Violation Order Of Protection","26","1"
"2016","Probation","Violation Order Of Protection","58","1"
"2016","Probation","Violation Order Of Protection","27","1"
"2016","Probation","Violation Order Of Protection","29","1"
"2016","Probation","Violation Order Of Protection","36","1"
"2016","Probation","Violation Order Of Protection","64","2"
"2016","Probation","Violation Order Of Protection","54","1"
"2016","Probation","Violation Order Of Protection","65","1"
"2016","Probation","Violation Order Of Protection","48","1"
"2016","Probation","Violation Order Of Protection","40","1"
"2016","Prison","Violation of Sex Offender Registration","22","1"
"2016","Prison","Violation of Sex Offender Registration","32","1"
"2016","Prison","Violation of Sex Offender Registration","53","1"
"2016","Prison","Violation of Sex Offender Registration","47","1"
"2016","Prison","Violation of Sex Offender Registration","46","1"
"2016","Prison","Violation of Sex Offender Registration","25","1"
"2016","Probation","Violation of Sex Offender Registration","38","1"
