"objectid","name","pin10","pina","pinsa","pinb","pinp","pinu","taxcode","parceltype","longitude","latitude","municipality","politicaltownship","commissionerdistrict","congressionaldistrict","staterepresentativedistrict","statesenatedistrict","tifdistrict","elemschltaxdist","highschltaxdist","unitschltaxdist","chicagoward","censustract_geoid","assessorbldgclass","assessornbhd","the_geom"
"1",,,,,,,,,,"-88.1420558078159","42.0743207020106","South Barrington","Town of Barrington","15","8","52","26",,,,"COMMUNITY UNIT SCHOOL DISTRICT 220",,"17031804201",,,"MULTIPOLYGON (((-88.14131643231968 42.07431036341322, -88.14278321805317 42.07431394699251, -88.14278323144453 42.07431531910029, -88.1413164300276 42.07431173480889, -88.14131643231968 42.07431036341322)))"
"2",,,,,,,,,,"-87.8734597639737","41.9514988876988","Schiller Park","TOWN OF LEYDEN","9","5","20","10",,"SCHOOL DISTRICT  81","COMMUNITY HIGH SCHOOL  212",,,"17031811600","0","0","MULTIPOLYGON (((-87.87402235285165 41.95178571764706, -87.87290531025434 41.951805929110435, -87.8728855216634 41.95119635049885, -87.87400255362525 41.95117613848693, -87.87402235285165 41.95178571764706)))"
"3",,,,,,"1","0",,"1","-87.7737516181976","41.8344056719249","Cicero","Town of Cicero","16","4","24","12",,"SCHOOL DISTRICT  99","BERWYN CICERO STICKNEY HIGH SCHOOL 201",,,"17031814500",,,"MULTIPOLYGON (((-87.77341588118315 41.83431227512773, -87.77376672932856 41.83430690465547, -87.7739810565284 41.834303611949316, -87.77415731769945 41.834474506017166, -87.77393469672394 41.83447792331569, -87.77387605026054 41.83447884447414, -87.77342119268604 41.83448584884619, -87.77341588118315 41.83431227512773)))"
"4","1",,,,,,,,,"-87.8677594438028","41.7760436812131","Hodgkins","Town of Lyons","16","3","31","16",,"SCHOOL DISTRICT  105","LYONS TOWNSHIP HIGH SCHOOL  204",,,"17031820202",,,"MULTIPOLYGON (((-87.86774368294944 41.77609559035419, -87.86775412083774 41.775916859682326, -87.86776309774483 41.77609512497361, -87.86774368294944 41.77609559035419)))"
"5","665488",,,,,,,,,"-87.8817258617338","41.5957199887725","Orland Park","Town of Orland","17","3","37","19",,"SCHOOL DISTRICT  135","CONSOLIDATED HIGH SCHOOL  230",,,"17031824120",,,"MULTIPOLYGON (((-87.88161636684367 41.59424286395992, -87.88174006407026 41.59424175815042, -87.88176005929132 41.59496002016102, -87.88177187488247 41.5953843976162, -87.88182232834887 41.597196534341144, -87.88170237228124 41.597197860758264, -87.88164030366592 41.595065332325326, -87.88161636684367 41.59424286395992)))"
"6","1",,,,,,"0",,,"-87.6260732550544","41.8897404186463","Chicago","Town of North","2","7","5","3",,,,"BOARD OF EDUCATION","42","17031081500","590","30","MULTIPOLYGON (((-87.6260663811842 41.88986050806413, -87.62597084646194 41.88986242374688, -87.6259702216676 41.88984432164818, -87.62591003819738 41.889845554921436, -87.6259106357826 41.889862876117085, -87.62583146064445 41.88986447808298, -87.62583142178204 41.88986334035687, -87.62571587453702 41.88986569578324, -87.6257160788227 41.88987164449197, -87.62563033360492 41.889873385581616, -87.6256301291909 41.88986744922102, -87.62556979882928 41.88986867866643, -87.62556985691904 41.88987040309199, -87.62543100706984 41.889873058489144, -87.62542362947404 41.88965877583136, -87.62542313419982 41.88964442452912, -87.6260477911334 41.88952900073987, -87.62651282079288 41.88944306865212, -87.62653168764295 41.889990385869346, -87.62607113281334 41.889998413336976, -87.6260663811842 41.88986050806413)))"
"7",,,,,,,,,,"-87.7329616499266","41.7529673808539","Chicago","Town of Lake","11","3","22","11",,,,"BOARD OF EDUCATION","18","17031700200",,,"MULTIPOLYGON (((-87.73232189215423 41.75297098022565, -87.73334770668889 41.752952466087805, -87.73320116134667 41.75295515856864, -87.73305461742194 41.752957795983754, -87.73290807165507 41.75296043320229, -87.73276152679456 41.752963070238614, -87.7325573215708 41.752966744827994, -87.73232189215423 41.75297098022565)))"
"8",,,,,,,,,,"-87.7351648346759","41.7529276214117","Chicago","Town of Lake","11","3","22","11",,,,"BOARD OF EDUCATION","18","17031700200",,,"MULTIPOLYGON (((-87.7350637123856 41.752921507827935, -87.73528013358577 41.7529175891236, -87.73518241234854 41.75291938564832, -87.7351335883812 41.75292028338425, -87.7350637123856 41.752921507827935)))"
"9","01011000020000","0101100002","1","1","100","2","0","10101","1","-88.1403460389253","42.1539540247192","Barrington","Town of Barrington","15","6","52","26","TIF VIL OF BARRINGTON - VILLAGE CENTER",,,"COMMUNITY UNIT SCHOOL DISTRICT 220",,"17031804201","592","12","MULTIPOLYGON (((-88.1401929192367 42.154147562536245, -88.14019125520281 42.15374390533562, -88.14048759535835 42.153744034036855, -88.14048780438675 42.15388169861949, -88.14048821183381 42.15414958909906, -88.1401929192367 42.154147562536245)))"
"10","01011000030000","0101100003","1","1","100","3","0","10101","1","-88.1399870858994","42.153952829025","Barrington","Town of Barrington","15","6","52","26","TIF VIL OF BARRINGTON - VILLAGE CENTER",,,"COMMUNITY UNIT SCHOOL DISTRICT 220",,"17031804201","592","12","MULTIPOLYGON (((-88.1400947268549 42.154146888848814, -88.13977120630616 42.15414508395178, -88.139768586286 42.15376073079448, -88.13976846848499 42.15374371697139, -88.13997393909814 42.15374380822721, -88.14019125520281 42.15374390533562, -88.1401929192367 42.154147562536245, -88.1400947268549 42.154146888848814)))"
