"fiscal_year","township_name","building","electrical","plumbing","totals"
"2005","Barrington","18","2","7","27"
"2005","Berwyn","0","0","0","0"
"2005","Bloom","20","6","6","32"
"2005","Bremen","24","2","1","27"
"2005","Calumet","0","0","0","0"
"2005","Cicero","0","0","0","0"
"2005","Elk Grove","29","55","16","100"
"2005","Evanston","0","0","0","0"
"2005","Hanover","21","10","5","36"
"2005","Lemont","81","26","15","122"
"2005","Leyden","265","19","16","300"
"2005","Lyons","121","15","4","140"
"2005","Maine","87","122","94","303"
"2005","New Trier","30","28","7","65"
"2005","Niles","1","0","0","1"
"2005","Northfield","203","131","88","422"
"2005","Norwood Park","22","7","13","42"
"2005","Oak Park","0","0","0","0"
"2005","Orland","57","8","8","73"
"2005","Palatine","58","13","6","77"
"2005","Palos","98","13","6","117"
"2005","Proviso","33","175","16","224"
"2005","Rich","33","5","1","39"
"2005","River Forest","0","0","0","0"
"2005","Riverside","9","0","0","9"
"2005","Schaumburg","41","6","9","56"
"2005","Stickney","63","50","0","113"
"2005","Thornton","3","1","2","6"
"2005","Wheeling","29","7","5","41"
"2005","Worth","35","9","8","52"
"2006","Barrington","21","0","2","23"
"2006","Berwyn","0","0","0","0"
"2006","Bloom","22","2","2","26"
"2006","Bremen","41","7","4","52"
"2006","Calumet","3","0","0","3"
"2006","Cicero","0","0","0","0"
"2006","Elk Grove","49","32","5","86"
"2006","Evanston","0","0","0","0"
"2006","Hanover","25","4","6","35"
"2006","Lemont","64","18","16","98"
"2006","Leyden","169","20","4","193"
"2006","Lyons","57","14","2","73"
"2006","Maine","97","145","76","318"
"2006","New Trier","25","18","11","54"
"2006","Niles","21","0","0","21"
"2006","Northfield","205","530","67","802"
"2006","Norwood Park","17","10","6","33"
"2006","Oak Park","0","0","0","0"
"2006","Orland","53","6","11","70"
"2006","Palatine","67","10","9","86"
"2006","Palos","92","7","12","111"
"2006","Proviso","36","144","19","199"
"2006","Rich","34","10","2","46"
"2006","River Forest","6","0","0","6"
"2006","Riverside","5","0","0","5"
"2006","Schaumburg","23","1","6","30"
"2006","Stickney","97","43","1","141"
"2006","Thornton","11","1","0","12"
"2006","Wheeling","80","3","5","88"
"2006","Worth","28","6","6","40"
"2007","Barrington","11","2","6","19"
"2007","Berwyn","0","0","0","0"
"2007","Bloom","9","6","3","18"
"2007","Bremen","33","8","3","44"
"2007","Calumet","1","0","0","1"
"2007","Cicero","0","0","0","0"
"2007","Elk Grove","21","69","336","426"
"2007","Evanston","0","0","0","0"
"2007","Hanover","13","2","3","18"
"2007","Lemont","59","26","9","94"
