"month","fiscal_year","usage_kwh","cost","location_1"
"May","2009","391,352.90","46369.16","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"June","2010","645,530.97","59068.83","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"September","2011","321,255.79","31025.58","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"April","2009","513,870.70","54347.31","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"July","2011","519,172.52","42347.54","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"December","2012","1,355,285.05","114528.03","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"February","2011","825,991.26","66233.15","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"December","2008","853,844.32","65869.9","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"January","2012","1,006,141.92","69759.06","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"August","2011","469,525.59","40487.87","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"November","2008","646,763.74","71913.64","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"September","2008","515,380.91","53335.9","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"April","2011","521,862.40","50781.49","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"July","2009","597,579.70","56489.68","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"January","2008","851,045.58","64964.98","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"June","2009","502,739.40","50484.68","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"December","2009","916,255.42","94628.96","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"December","2010","1,027,268.36","92998.08","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"May","2010","415,178.03","47411.05","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"February","2008","799,673.40","67520.82","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"March","2010","837,776.58","72357.35","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"June","2011","429,795.13","37918.59","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"January","2009","892,775.86","85073.42","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"September","2010","443,482.05","45519.62","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"September","2009","490,358.47","49757.48","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"June","2008","533,147.91","55500.75","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"January","2010","1,272,246.87","99541.05","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"March","2009","537,760.21","57364.11","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"October","2009","424,154.47","45897.27","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"October","2008","455,771.75","55700.49","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"August","2009","564,739.25","53961.37","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"August","2010","635,775.85","56198.36","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"February","2010","974,633.48","79169.2","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"July","2008","671,494.13","67346.95","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"October","2010","420,366.16","49707.94","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"April","2010","589,171.23","61000.77","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"November","2009","555,369.05","56092.15","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"May","2008","432,984.83","38927.95","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"February","2009","712,252.93","70001.86","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"August","2008","668,235.35","65269.81","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"May","2011","406,236.27","42653.46","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"November","2011","610,841.12","50153.57","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"July","2010","702,668.34","60987.63","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"March","2011","698,059.85","59533.91","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"March","2008","666,659.67","60030.12","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"November","2010","765,223.85","73150.88","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"January","2011","1,381,501.91","101634.69","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"April","2008","474,090.91","45977.48","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"October","2011","398,070.13","40973.85","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
"December","2011","1,101,013.89","79601.74","5600 Old Orchard Rd.
Skokie, IL 60077
(42.062707521182, -87.764636758411)"
