"year","color","cat","cow","dog","ferret","guard_dog","rabbit","unknown","totals"
"2010","APRICOT","39","0","1813","0","0","0","22","1874"
"2010","AUBURN","2","0","48","0","0","0","0","50"
"2010","BEIGE","346","0","1792","0","0","0","23","2161"
"2010","BELTON","0","0","5","0","0","0","0","5"
"2010","BI-COLOR","40","0","171","0","0","0","0","211"
"2010","BLACK","13713","0","36823","17","169","0","685","51407"
"2010","BLACK & BEIGE","1","0","15","0","0","0","0","16"
"2010","BLACK & BROWN","1002","0","10943","47","11","0","108","12111"
"2010","BLACK & FAWN","1","0","8","1","0","0","0","10"
"2010","BLACK & GREY","278","0","371","0","0","0","8","657"
"2010","BLACK & SILVER","7","0","84","0","0","0","0","91"
"2010","BLACK & TAN","154","0","8880","2","12","0","87","9135"
"2010","BLACK & WHITE","6503","0","13596","5","0","0","580","20684"
"2010","BLACK/BROWN/WHI","470","0","2911","1","0","0","5","3387"
"2010","BLONDE","91","0","1795","0","0","0","37","1923"
"2010","BLUE","446","0","1575","0","0","0","14","2035"
"2010","BLUE & GOLD","0","0","141","0","0","0","2","143"
"2010","BLUE AND WHITE","12","0","105","0","0","0","6","123"
"2010","BLUE CREAM","34","0","2","0","0","0","0","36"
"2010","BLUE MERLE","0","0","444","0","4","0","13","461"
"2010","BLUE POINT","282","0","2","0","0","0","1","285"
"2010","BRINDLE","32","0","5307","0","3","0","73","5415"
"2010","BRINDLE/WHITE","0","0","170","0","0","0","1","171"
"2010","BROWN","2442","0","19602","28","3","1","240","22316"
"2010","BROWN & BLACK","112","0","754","0","0","0","23","889"
"2010","BROWN & TAN","23","0","433","0","0","0","11","467"
"2010","BROWN & WHITE","930","0","8653","4","0","0","101","9688"
"2010","BROWN TABBY","1760","0","2","0","0","0","49","1811"
"2010","BROWN/BLACK/WHITE","0","0","1","0","0","0","0","1"
"2010","BUFF","213","0","1668","0","0","0","39","1920"
"2010","CALICO","3853","0","4","0","0","0","95","3952"
"2010","CAMEO","1","0","2","0","0","0","0","3"
"2010","CARMEL","28","0","202","0","0","0","6","236"
"2010","CHAMPAGNE","114","0","97","0","0","0","2","213"
"2010","CHARCOAL","8","0","55","0","0","0","0","63"
"2010","CHESTNUT","8","0","37","0","0","0","0","45"
"2010","CHINCHILLA","2","0","5","0","0","0","0","7"
"2010","CHOCOLATE","175","0","3451","1","0","0","73","3700"
"2010","CHOCOLATE POINT","159","0","2","0","0","0","2","163"
"2010","COCOA","0","0","15","0","0","0","1","16"
"2010","COPPER","4","0","83","1","0","0","0","88"
"2010","CREAM","516","0","2862","1","0","0","56","3435"
"2010","CREAM & BLACK","1","0","3","0","0","0","0","4"
"2010","DARK","13","0","24","2","0","0","0","39"
"2010","FAWN","23","0","4925","0","0","0","36","4984"
"2010","FAWN & BLACK","1","0","103","0","0","0","1","105"
"2010","FLAME","69","0","2","0","0","0","0","71"
"2010","GINGER & WHITE","5","0","5","0","0","0","1","11"
"2010","GOLDEN","73","0","5975","0","0","0","95","6143"
"2010","GREY","8298","0","2943","4","1","0","209","11455"
"2010","GREY & BLACK","131","0","114","1","0","0","3","249"
"2010","GREY & ORANGE","7","0","0","0","0","0","0","7"
"2010","GREY & WHITE","3952","0","1397","4","0","0","34","5387"
"2010","GREY AND PEACH","4","0","0","0","0","0","0","4"
"2010","GREY TABBY","1489","0","2","0","0","0","15","1506"
"2010","GREY TIGER","20","0","0","0","0","0","3","23"
"2010","GRIZZLE","2","0","76","0","0","0","0","78"
"2010","HARLEQUIN","2","0","37","0","0","0","0","39"
"2010","HONEY","0","0","75","1","0","0","0","76"
"2010","LEMON","0","0","31","0","0","0","0","31"
"2010","LIGHT","15","0","103","0","0","0","0","118"
"2010","LILAC","52","0","2","0","0","0","2","56"
"2010","LILAC POINT","81","0","1","0","0","0","0","82"
"2010","LIVER","3","0","437","0","0","0","5","445"
"2010","LIVER & WHITE","0","0","93","0","0","0","0","93"
"2010","LYNX POINT","75","0","0","0","0","0","0","75"
"2010","MACKERAL TABBY","51","0","0","0","0","0","1","52"
"2010","MAHOGANY","1","0","52","0","0","0","1","54"
"2010","MULTI COLOR","205","0","203","0","0","0","1","409"
"2010","ORANGE","3979","0","263","0","0","0","69","4311"
"2010","ORANGE & WHITE","858","0","155","0","0","0","17","1030"
"2010","ORANGE TABBY","1213","0","1","0","0","0","46","1260"
"2010","ORANGE TIGER","9","0","0","0","0","0","0","9"
"2010","ORANGE/SABLE","1","0","5","0","0","0","0","6"
"2010","PARTI COLOR","0","0","47","0","0","0","0","47"
"2010","PEACH","4","0","21","0","0","0","0","25"
"2010","POINT","4","0","3","0","0","0","0","7"
"2010","RED","230","1","5439","0","2","0","127","5799"
"2010","RED & BLACK","2","0","58","0","0","0","2","62"
"2010","RED & WHITE","26","0","733","0","0","0","3","762"
"2010","ROAN","2","0","21","0","0","0","1","24"
"2010","ROSE POINT","4","0","1","0","0","0","0","5"
"2010","RUDDY","56","0","13","0","0","0","0","69"
"2010","RUST","9","0","467","1","0","0","12","489"
"2010","RUST/WHITE","1","0","5","0","0","0","0","6"
"2010","SABLE","93","0","1266","42","14","0","18","1433"
"2010","SABLE & WHITE","0","0","86","0","0","0","2","88"
"2010","SALT & PEPPER","4","0","865","0","0","0","5","874"
"2010","SANDY","9","0","77","0","0","0","2","88"
"2010","SEAL POINT","1010","0","11","0","0","0","7","1028"
"2010","SEDGE/DEAD GRASS","0","0","1","0","0","0","0","1"
"2010","SHADED","3","0","0","0","0","0","0","3"
"2010","SILVER","316","0","794","5","0","0","19","1134"
"2010","SILVER TABBY","27","0","4","0","0","0","8","39"
"2010","SMOKE","48","0","22","0","0","0","0","70"
"2010","SPOTTED","59","0","33","0","0","0","0","92"
"2010","STRIPED","98","0","4","0","0","0","0","102"
"2010","TABBY","3957","0","24","0","0","0","52","4033"
"2010","TAN","498","0","10679","5","6","0","190","11378"
"2010","TAN & BLACK","28","0","552","0","0","0","3","583"
"2010","TAN & WHITE","121","0","2683","0","0","0","26","2830"
"2010","TAWNY","2","0","43","0","0","0","0","45"
"2010","TICKED","7","0","25","0","0","0","0","32"
"2010","TIGER","760","0","9","0","0","0","15","784"
"2010","TORTOISESHELL","2279","0","7","0","0","0","15","2301"
"2010","TRI COLOR","989","0","10739","25","1","0","186","11940"
"2010","TUXEDO","120","0","1","0","0","0","7","128"
"2010","UNKNOWN COLOR","16311","0","36545","17","11","0","3952","56836"
"2010","WHEAT AND BLACK","0","0","35","0","0","0","0","35"
"2010","WHEATEN","2","0","935","0","0","0","14","951"
"2010","WHITE","3808","0","27296","26","1","0","350","31481"
"2010","WHITE & BLACK","190","0","694","0","0","0","26","910"
"2010","WHITE & GOLD","7","0","52","0","0","0","0","59"
"2010","WHITE & GRAY","350","0","158","0","0","0","5","513"
"2010","WHITE & LIVER","1","0","84","0","0","0","0","85"
"2010","WHITE & ORANGE","701","0","80","0","0","0","8","789"
"2010","WHITE TIGER","7","0","0","0","0","0","0","7"
