"year","place","newsex","newrace","agegroup","death_n","death_cr","death_aar","cancer_n","cancer_cr","cancer_aar","coloca_n","coloca_cr","coloca_aar","lungca_n","lungca_cr","lungca_aar","breastca_n","breastca_cr","breastca_aar","prostateca_n","prostateca_cr","prostateca_aar","cervicalca_n","cervicalca_cr","cervicalca_aar","cardiovas_n","cardiovas_cr","cardiovas_aar","cerebrovas_n","cerebrovas_cr","cerebrovas_aar","heartdis_n","heartdis_cr","heartdis_aar","hypertension_n","hypertension_cr","hypertension_aar","diabetes_n","diabetes_cr","diabetes_aar","chrlowresp_n","chrlowresp_cr","chrlowresp_aar","alzheimers_n","alzheimers_cr","alzheimers_aar","asthma_n","asthma_cr","asthma_aar","chrliver_n","chrliver_cr","chrliver_aar","nephritis_n","nephritis_cr","nephritis_aar","parkinsons_n","parkinsons_cr","parkinsons_aar","drugs_n","drugs_cr","drugs_aar","opioid_n","opioid_cr","opioid_aar","homicide_n","homicide_cr","homicide_aar","firearms_n","firearms_cr","firearms_aar","motveh_n","motveh_cr","motveh_aar","suicide_n","suicide_cr","suicide_aar","conganom_n","conganom_cr","conganom_aar","perinatal_n","perinatal_cr","perinatal_aar","hiv_n","hiv_cr","hiv_aar","pneum_n","pneum_cr","pneum_aar","sep_n","sep_cr","sep_aar"
"2000","Suburban Cook County","All","All","Under 1","287","845.7",,"0","0",,"0","0",,"0","0",,,,,,,,,,,"9",,,,,,"6",,,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,,,,"0","0",,"0","0",,"0","0",,,,,"0","0",,"0","0",,"0","0",,"49","144.4",,"169","498",,"0","0",,,,,,,
"2000","Suburban Cook County","All","All","1 to 4","35","25.8",,,,,"0","0",,"0","0",,,,,,,,,,,,,,"0","0",,,,,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,,,,"0","0",,"7",,,"0","0",,,,,"0","0",,"0","0",,"0","0",,"0","0",
"2000","Suburban Cook County","All","All","5 to 14","17",,,"5",,,"0","0",,"0","0",,,,,,,,,,,,,,"0","0",,,,,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,,,,"0","0",,,,,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"2000","Suburban Cook County","All","All","15 to 24","31","9.9",,"5",,,"0","0",,"0","0",,,,,,,,,,,,,,,,,,,,"0","0",,"0","0",,,,,"0","0",,,,,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,,,,,,,"5",,,"0","0",,,,,"0","0",,"0","0",,"0","0",,"0","0",
"2000","Suburban Cook County","All","All","25 to 34","97","28.6",,"8",,,"0","0",,"0","0",,,,,,,,,,,"8",,,,,,"7",,,"0","0",,"0","0",,,,,"0","0",,,,,"0","0",,"0","0",,"0","0",,"8",,,"0","0",,"23","6.8",,"25","7.4",,"18",,,"7",,,"0","0",,"0","0",,"0","0",,"0","0",,,,
"2000","Suburban Cook County","All","All","35 to 44","162","40.5",,"8",,,"0","0",,"0","0",,,,,,,,,,,"8",,,"0","0",,"8",,,"0","0",,"0","0",,,,,"0","0",,,,,,,,"0","0",,"0","0",,"22","5.5",,"0","0",,"36","9",,"36","9",,"34","8.5",,"17",,,,,,"0","0",,,,,,,,,,
"2000","Suburban Cook County","All","All","45 to 54","875","255.3",,"277","80.8",,"36","10.5",,"71","20.7",,,,,,,,,,,"256","74.7",,"26","7.6",,"217","63.3",,"6",,,"71","20.7",,"16",,,,,,,,,"32","9.3",,"11",,,"0","0",,"17",,,"0","0",,"23","6.7",,"25","7.3",,"37","10.8",,"21","6.1",,,,,"0","0",,"10",,,"7",,,"15",,
"2000","Suburban Cook County","All","All","55 to 64","2141","964.3",,"871","392.3",,"92","41.4",,"240","108.1",,,,,,,,,,,"618","278.3",,"72","32.4",,"515","232",,"7",,,"214","96.4",,"51","23",,"6",,,"7",,,"40","18",,"31","14",,"0","0",,"21","9.5",,"0","0",,"20","9",,"21","9.5",,"31","14",,"37","16.7",,"6",,,"0","0",,"18",,,"22","9.9",,"41","18.5",
"2000","Suburban Cook County","All","All","65 to 74","4198","2488.3",,"1516","898.6",,"156","92.5",,"473","280.4",,,,,,,,,,,"1374","814.4",,"189","112",,"1114","660.3",,"19",,,"435","257.8",,"209","123.9",,"22","13",,"9",,,"65","38.5",,"92","54.5",,"20","11.9",,"30","17.8",,"0","0",,"13",,,"22","13",,"33","19.6",,"27","16",,"8",,,"0","0",,"20","11.9",,"61","36.2",,"77","45.6",
"2000","Suburban Cook County","All","All","75 to 84","7143","5884",,"1757","1447.3",,"214","176.3",,"438","360.8",,,,,,,,,,,"2896","2385.6",,"518","426.7",,"2203","1814.7",,"47","38.7",,"718","591.4",,"389","320.4",,"151","124.4",,"11",,,"65","53.5",,"152","125.2",,"97","79.9",,"35","28.8",,"0","0",,"7",,,"13",,,"44","36.2",,"37","30.5",,"9",,,"0","0",,"12",,,"190","156.5",,"149","122.7",
