"division","total_cells","plumbing_","electrical","carpentry","elec_tech","tin","engineering","brick","iron","misc","glaze","total_percent"
"I","608","0","0","0","0","0","0","0","0","0","0","0"
"II","0","0","0","0","0","0","0","0","0","0","0","0"
"III","180","0","0","0","0","0","0","0","0","0","0","0"
"IV","320","0","0","0","0","0","0","0","0","0","0","0"
"V","480","0","0","0","0","0","0","0","0","0","0","0"
"VI","496","0","0","0","0","0","0","0","0","0","0","0"
"VIII","0","0","0","0","0","0","0","0","0","0","0","0"
"IX","540","0","0","0","0","0","0","0","0","0","0","0"
"X","384","0","0","0","0","0","0","0","0","0","0","0"
"XI","768","0","0","0","0","0","0","0","0","0","0","0"
"XVII","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Closed Cells","3776",,,,,,,,,,,
,,,,,,,,,,,,"0.00%"
