"facility_address","month","fiscal_year","gas_cost","usage"
"7556 Jackson Blvd.  Garage","November","2010","317.56","399.77"
"7556 Jackson Blvd.  Garage","December","2011","725.62","876.09"
"7556 Jackson Blvd.  Garage","January","2011","726.19","882"
"7556 Jackson Blvd.  Garage","February","2011","612.29","718.7"
"855 26th Street","January","2006","19917.64","9175.80"
"855 26th Street","January","2006","27714.43","8735.61"
"855 26th Street","March","2006","8073.19","9642.12"
"1720 Cherry Street","January","2006","25.74","4.05"
"1720 Cherry Street","February","2006","21.79","1.01"
"2325 S. Meacham","December","2006","16151.20","9101.92"
"2325 S. Meacham","January","2006","19877.38","8787.19"
"2325 S. Meacham","February","2006","26513.56","8333.05"
"2325 S. Meacham","March","2006","5148.78","6274.63"
"9801 W. Ballard","January","2006","9347.08","8179.93"
"9801 W. Ballard","February","2006","6595.60","7053.38"
"2101 W. Ballard","January","2006","25642.79","20923.88"
"2101 W. Ballard","February","2006","5035.23","5196.75"
"10220 S. 76th Ave.","December","2006","46.04","4.04"
"10220 S. 76th Ave.","January","2006","45.37","4.05"
"7556 Jackson Blvd.  Garage","February","2008","1182.25","1124.62"
"7556 Jackson Blvd.  Garage","March","2008","937.43","791.93"
"7556 Jackson Blvd.  Garage","April","2008","246.86","180.49"
"7556 Jackson Blvd.  Garage","May","2008","7139.51","5512.10"
"7556 Jackson Blvd.  Garage","Jun - Jul","2008","64.46","6.08"
"7556 Jackson Blvd.  Garage","August","2008","62.26","9.12"
"7556 Jackson Blvd.  Garage","September","2008","76.48","44.61"
"7556 Jackson Blvd.  Garage","October","2008","190.85","162.24"
"7556 Jackson Blvd.  Garage","December","2009","624.90","646.93"
"7556 Jackson Blvd.  Garage","January","2009","608.39","662.14"
"7556 Jackson Blvd.  Garage","February","2009","446.35","550.6"
"7556 Jackson Blvd.  Garage","March","2009","532.43","681.4"
"7556 Jackson Blvd.  Garage","April","2009","178.88","205.84"
"7556 Jackson Blvd.  Garage","May","2009","65.86","53.74"
"7556 Jackson Blvd.  Garage","June","2009","42.80","15.19"
"7556 Jackson Blvd.  Garage","July","2009","64.04","46.59"
"7556 Jackson Blvd.  Garage","August","2009","487.33","435.59"
"7556 Jackson Blvd.  Garage","September","2009","343.22","479.68"
"7556 Jackson Blvd.  Garage","October","2009","333.63","434.73"
"7556 Jackson Blvd.  Garage","November","2009","379.02","449.89"
"7556 Jackson Blvd.  Garage","December","2010","408.09","493.89"
"7556 Jackson Blvd.  Garage","January","2010","411.52","418.73"
"7556 Jackson Blvd.  Garage","February","2010","426.50","449"
"7556 Jackson Blvd.  Garage","March","2010","404.84","480.28"
"7556 Jackson Blvd.  Garage","April","2010","103.47","96.76"
"7556 Jackson Blvd.  Garage","May","2010","97.33","97.77"
"7556 Jackson Blvd.  Garage","June","2010","37.96","2.01"
"7556 Jackson Blvd.  Garage","July","2010","34.89","1"
"7556 Jackson Blvd.  Garage","August","2010","34.93","1"
"7556 Jackson Blvd.  Garage","September","2010","63.51","37.29"
"7556 Jackson Blvd.  Garage","October","2010","155.72","154.22"
"1401 Maybrook Drive","January","2006","764.20","540.46"
"1401 Maybrook Drive","February","2006","642.99","540.46"
"1903 Ruby St. - Tower Bldg.","February","2006","51.68","7.08"
"15900 S. Cicero Av.","December","2006","274414.21","258313.00"
"15900 S. Cicero Av.","January","2006","250113.08","229001.76"
"15900 S. Cicero Av.","February","2006","181255.96","221204.10"
"15900 S. Cicero Av.","March","2006","158214.43","221498.16"
"15900 S. Cicero Av.","April","2006","96999.71","140844.60"
"8900 W. 135th St.","January","2006","8609.04","3386.76"
"8900 W. 135th St.","February","2006","4889.36","4218.24"
"9000 W. 135th St.","December","2006","13785.11","7064.77"
"9000 W. 135th St.","January","2006","11992.78","3875.50"
"9000 W. 135th St.","February","2006","17214.72","6382.11"
"15944 Central","January","2006","94.77","10.14"
"15944 Central","February","2006","42.32","21.29"
"1150 Ridge Rd.","January","2006","48.08","4.05"
"1150 Ridge Rd.","February","2006","196.90","116.61"
"1150 Ridge Rd.","March","2006","17.35","1.01"
"110 S. Barrington Generator","January","2006","14.11","0"
"110 S. Barrington Generator","February","2006","53.13","15.21"
"1903 Ruby St. - Tower Bldg.","March","2006","24.13","3.04"
"1903 Ruby St. - Tower Bldg.","April","2006","24.72","3.42"
"1903 Ruby St. - Tower Bldg.","May","2006","25.10","4.53"
"1903 Ruby St. - Tower Bldg.","June","2006","24.59","4.54"
"1903 Ruby St. - Tower Bldg.","July","2006","24.59","4.54"
"1903 Ruby St. - Tower Bldg.","August","2006","23.79","3.4"
"1903 Ruby St. - Tower Bldg.","September","2006","24.98","4.53"
"1903 Ruby St. - Tower Bldg.","October","2006","30.62","13.62"
"1903 Ruby St. - Tower Bldg.","November","2006","24.79","4.53"
"1903 Ruby St. - Tower Bldg.","December","2007","24.46","3.4"
"1903 Ruby St. - Tower Bldg.","January","2007","26.18","4.53"
"1903 Ruby St. - Tower Bldg.","February","2007","22.98","1.13"
"1903 Ruby St. - Tower Bldg.","March","2007","26.62","4.52"
"1903 Ruby St. - Tower Bldg.","April","2007","25.55","3.4"
"1903 Ruby St. - Tower Bldg.","May","2007","26.81","4.53"
"1903 Ruby St. - Tower Bldg.","June","2007","28.13","5.66"
"1903 Ruby St. - Tower Bldg.","July","2007","26.54","4.53"
"1903 Ruby St. - Tower Bldg.","Aug - Oct","2007","72.41","12.48"
"1903 Ruby St. - Tower Bldg.","November","2007","32.88","5.67"
"1903 Ruby St. - Tower Bldg.","December","2008","25.82","4.54"
"1903 Ruby St. - Tower Bldg.","January","2008","25.25","3.4"
"1903 Ruby St. - Tower Bldg.","February","2008","26.82","4.54"
"1903 Ruby St. - Tower Bldg.","March","2008","27.30","4.54"
"1903 Ruby St. - Tower Bldg.","April","2008","127.08","127.08"
"1903 Ruby St. - Tower Bldg.","May","2008","26.92","3.4"
"1903 Ruby St. - Tower Bldg.","June","2008","41.84","13.61"
"1903 Ruby St. - Tower Bldg.","July","2008","27.68","3.4"
"1903 Ruby St. - Tower Bldg.","August","2008","26.51","3.4"
"1903 Ruby St. - Tower Bldg.","September","2008","26.91","4.53"
"1903 Ruby St. - Tower Bldg.","October","2008","26.59","4.53"
"1903 Ruby St. - Tower Bldg.","November","2008","25.28","3.4"
"1903 Ruby St. - Tower Bldg.","December","2009","112.84","2.26"
"1903 Ruby St. - Tower Bldg.","January","2009","25.79","4.53"
"1903 Ruby St. - Tower Bldg.","February","2009","21.94","0"
"1903 Ruby St. - Tower Bldg.","March","2009","24.79","4.53"
"1903 Ruby St. - Tower Bldg.","April","2009","26.26","1.13"
"1903 Ruby St. - Tower Bldg.","May","2009","27.62","2.26"
"1903 Ruby St. - Tower Bldg.","June","2009","28.24","2.26"
"1903 Ruby St. - Tower Bldg.","July","2009","28.30","2.26"
"1903 Ruby St. - Tower Bldg.","August","2009","30.25","4.53"
"1903 Ruby St. - Tower Bldg.","September","2009","28.84","2.26"
"1903 Ruby St. - Tower Bldg.","October","2009","29.23","2.26"
"1903 Ruby St. - Tower Bldg.","January","2010","34.40","4.52"
"1903 Ruby St. - Tower Bldg.","February","2010","31.52","1.12"
"1903 Ruby St. - Tower Bldg.","March","2010","36.82","3.38"
"1903 Ruby St. - Tower Bldg.","April","2010","35.61","2.25"
"1903 Ruby St. - Tower Bldg.","May","2010","36.38","3.38"
"1903 Ruby St. - Tower Bldg.","June","2010","36.43","3.38"
"1903 Ruby St. - Tower Bldg.","July","2010","34.87","4.51"
"1903 Ruby St. - Tower Bldg.","August","2010","32.37","1.12"
"1903 Ruby St. - Tower Bldg.","September","2010","33.64","3.38"
"1903 Ruby St. - Tower Bldg.","October","2010","64.43","54.14"
"1903 Ruby St. - Tower Bldg.","Nov - Dec","2010","60.11","5.65"
"1903 Ruby St. - Tower Bldg.","November","2010","32.62","2.25"
"1903 Ruby St. - Tower Bldg.","December","2011","32.69","2.25"
"1903 Ruby St. - Tower Bldg.","January","2011","28.73","1.12"
"1903 Ruby St. - Tower Bldg.","February","2011","31.73","5.63"
"8900 W. 135th St.","April","2006","2772.09","3374.58"
"8900 W. 135th St.","May","2006","182.79","185.56"
"8900 W. 135th St.","June","2006","128.81","91.35"
"8900 W. 135th St.","July","2006","68.16","10.15"
"8900 W. 135th St.","August","2006","69.85","11.15"
"8900 W. 135th St.","September","2006","201.24","178.46"
"8900 W. 135th St.","October","2006","1012.13","1727.85"
"8900 W. 135th St.","November","2006","2783.52","3108.89"
"8900 W. 135th St.","December","2007","2899.98","2915.41"
"8900 W. 135th St.","January","2007","4058.22","4869.98"
"8900 W. 135th St.","February","2007","4202.99","4647.10"
"8900 W. 135th St.","Mar - May","2007","1406.54","1330.06"
"8900 W. 135th St.","June","2007","91.49","31.4"
"8900 W. 135th St.","July","2007","93.56","36.5"
"8900 W. 135th St.","August","2007","69.67","11.15"
"8900 W. 135th St.","September","2007","77.70","22.3"
"8900 W. 135th St.","October","2007","758.09","873.91"
"8900 W. 135th St.","November","2007","2373.38","2557.80"
"8900 W. 135th St.","December","2008","3860.38","4011.28"
"8900 W. 135th St.","January","2008","4139.03","4459.91"
