"registration_account","company","tax_type","address_line_1","address_line_2","city","state","zip_code","location"
"21001174","1050 WILSON PARTNERS LLC","PARKING TAX","1050 W WILSON AVE",,"CHICAGO","IL","60640 - 5622","POINT (-87.65685 41.96544)"
"21002007","1101 WABASH DEVELOPMENT LLC","PARKING TAX","55 E 11TH ST",,"CHICAGO","IL","60605 - 2313","POINT (-87.62547 41.869283)"
"21002380","1126 HOLLYWOOD, LLC","PARKING TAX","1122 W HOLLYWOOD AVE",,"CHICAGO","IL","60660 - 4427","POINT (-87.659084 41.98547)"
"10795811","1150 CONDO ASSOC.","PARKING TAX","1150 N LAKE SHORE DR",,"CHICAGO","IL","60611 - 5215","POINT (-87.624932 41.903786)"
"21001508","12161 SOUTH CENTRAL NZT LLC","PARKING TAX",,,,,,
"21002276","1406 W FULTON LLC","PARKING TAX","1406 W FULTON ST STE A2",,"CHICAGO","IL","60607 - 1145","POINT (-87.663501 41.886574)"
"21002388","1450 WESTERN LLC","PARKING TAX","3630 S HERMITAGE AVE",,"CHICAGO","IL","60609 - 1219","POINT (-87.669107 41.827797)"
"20000070","1515 CHICAGO AVE LLC","PARKING TAX","1515 CHICAGO AVE",,"EVANSTON","IL","60201 - 4405","POINT (-87.679946 42.045697)"
"21002550","151 FRANKLIN SERVICES LLC","PARKING TAX","151 N FRANKLIN ST",,"CHICAGO","IL","60606 - 1915","POINT (-87.635367 41.884568)"
"10795676","1550 CONDO ASSOC.","PARKING TAX","1550 N LAKE SHORE DR",,"CHICAGO","IL","60610 - 1675","POINT (-87.626237 41.910902)"
"10795685","155 HARBOR DR. CONDO ASS.","PARKING TAX","155 N HARBOR DR",,"CHICAGO","IL","60601 - 7364","POINT (-87.615743 41.884941)"
"21000001","1600 N MILWAUKEE VENTURES","PARKING TAX","2018 W NORTH AVE",,"CHICAGO","IL","60647 - 5414","POINT (-87.67826 41.910479)"
"10801795","161 CLARK STREET","PARKING TAX","161 N CLARK ST STE 1270",,"CHICAGO","IL","60601 - 3308","POINT (-87.630937 41.884708)"
"10795677","1660 CONDO ASSOC.","PARKING TAX","1660 N LA SALLE DR",,"CHICAGO","IL","60614 - 6000","POINT (-87.633226 41.912302)"
"21001504","1901 ROSELLE (SCHAUMBURG) DY LLC","PARKING TAX",,,,,,
"10852550","200 EAST DELAWARE CONDO. ASSN.","PARKING TAX","200 E DELAWARE PL",,"CHICAGO","IL","60611 - 1911","POINT (-87.62127 41.899264)"
"21001922","200 GREEN DEVELOPER LLC","PARKING TAX","200 N GREEN ST",,"CHICAGO","IL","60607 - 1702","POINT (-87.648659 41.885666)"
"21001656","2121 VALET PARKING SERVICE LLC","PARKING TAX","2121 N CLARK ST",,"CHICAGO","IL","60614 - 4613","POINT (-87.637512 41.920722)"
"21004119","2211 N. MILWAUKEE (CHICAGO) MANAGER, LLC","PARKING TAX","2211 N MILWAUKEE AVE",,"CHICAGO","IL","60647 - 2063","POINT (-87.694722 41.921322)"
"21001913","233 E ONTARIO HOTEL PROPCO LLC","PARKING TAX","233 E ONTARIO ST",,"CHICAGO","IL","60611 - 3214","POINT (-87.621606 41.893387)"
"10809135","2500 LAKEVIEW ASSOCIATION","PARKING TAX","2500 N LAKEVIEW AVE",,"CHICAGO","IL","60614 - 1846","POINT (-87.639187 41.928306)"
"10795678","2626 LAKEVIEW CONDO ASSOC.","PARKING TAX","2626 N LAKEVIEW AVE",,"CHICAGO","IL","60614 - 6173","POINT (-87.639308 41.93049)"
"10795681","2909 N SHERIDAN CONDO ASSN","PARKING TAX","2909 N SHERIDAN RD",,"CHICAGO","IL","60657 - 5978","POINT (-87.639367 41.934681)"
"21000077","29-33 E PALATINE LLC","PARKING TAX","29-33 E PALATINE RD.",,"PROSPECT HEIGHTS","IL","60070","POINT (-87.935746 42.10963)"
"10795675","30 E ELM CONDO ASSOC.","PARKING TAX","30 E ELM ST",,"CHICAGO","IL","60611 - 1042","POINT (-87.62749 41.903215)"
"21002231","3101 S CALIFORNIA LLC","PARKING TAX","2753 W 31ST ST",,"CHICAGO","IL","60608 - 5126","POINT (-87.693622 41.837439)"
"10795679","3150 CONDO ASSOC.","PARKING TAX","3150 N LAKE SHORE DR",,"CHICAGO","IL","60657 - 4810","POINT (-87.638208 41.939335)"
"21001217","31ST STREET PARTNERS LLC","PARKING TAX","1325 N 31ST AVE",,"MELROSE PARK","IL","60160","POINT (-87.871401 41.899005)"
"21002270","3510 WILMETTE STORAGE LLC","PARKING TAX","3510 WILMETTE AVE",,"WILMETTE","IL","60091 - 2069","POINT (-87.762218 42.072355)"
"21003815","3615 S IRON ST, LLC","PARKING TAX","3615 S IRON ST",,"CHICAGO","IL","60609 - 1322","POINT (-87.659322 41.828578)"
"21001717","3720 SOUTH  CICERO LLC","PARKING TAX","3720 S CICERO AVE",,"CICERO","IL","60804 - 4536","POINT (-87.743604 41.824562)"
"21002328","3800 LAKE SHORE DRIVE CONDOMINIUM ASSOCIATION","PARKING TAX","3800 N LAKE SHORE DR",,"CHICAGO","IL","60613 - 3301","POINT (-87.644998 41.952512)"
"10824986","3900 N. LAKE SHORE CONDOMINIUM ASSOC.","PARKING TAX","3900 N LAKE SHORE DR",,"CHICAGO","IL","60613 - 3452","POINT (-87.64512 41.953414)"
"10795695","400 CONDOMINIUM ASSOCIATION","PARKING TAX","400 E RANDOLPH ST STE 740",,"CHICAGO","IL","60601 - 7329","POINT (-87.616571 41.884594)"
"21002234","42ND TH, LLC","PARKING TAX","4626 W. 42ND STREET",,"CHICAGO","IL","60632","POINT (-87.723817 41.816942)"
"21002123","4500 S. KOLIN (CHICAGO), LLC","PARKING TAX","9450 BRYN MAWR AVE STE 550",,"ROSEMONT","IL","60018","POINT (-87.864017 41.980534)"
"21002126","4532 S. KOLIN (CHICAGO), LLC","PARKING TAX","9450 BRYN MAWR AVE STE 550",,"ROSEMONT","IL","60018","POINT (-87.864017 41.980534)"
"11106046","4858-70 N CLARK ST LLC","PARKING TAX","4872 N CLARK ST",,"CHICAGO","IL","60640 - 4711","POINT (-87.667757 41.971037)"
"21001862","5050 NORTH BROADWAY PROPERTY LLC","PARKING TAX","5051 N BROADWAY ST",,"CHICAGO","IL","60640 - 3005","POINT (-87.65982 41.974151)"
"21002296","5440 SHERIDAN PROPERTY OWNER LLC","PARKING TAX","5540 N SHERIDAN RD",,"CHICAGO","IL","60640 - 1610","POINT (-87.655165 41.983319)"
"21001558","5550 NORTH RIVER ROAD, ROSEMONT, LLC","PARKING TAX","5550 N RIVER RD",,"ROSEMONT","IL","60018 - 5231","POINT (-87.862117 41.979707)"
"10795683","555 CORNELIA CONDO ASSOC.","PARKING TAX","555 W CORNELIA AVE",,"CHICAGO","IL","60657 - 2755","POINT (-87.644246 41.946159)"
"11117165","55 WACKER UPPER 2 LLC","PARKING TAX","110 S 19TH ST",,"PHILADELPHIA","PA","19103 - 4629","POINT (-75.171996 39.951457)"
"21003451","590 HEALY RD., LLC","PARKING TAX","1900 WRIGHT BLVD",,"SCHAUMBURG","IL","60193 - 4587","POINT (-88.101825 41.993259)"
"10795689","7139 S. EXCHANGE GARAGE","PARKING TAX","7139 S EXCHANGE AVE",,"CHICAGO","IL","60649 - 2503","POINT (-87.565792 41.765485)"
"10834157","71 SOUTH WACKER DRIVE LLC","PARKING TAX","71 S WACKER DR",,"CHICAGO","IL","60606 - 4637","POINT (-87.636838 41.880934)"
"21002548","730 RANDOLPH LLC","PARKING TAX","732 W RANDOLPH ST",,"CHICAGO","IL","60661","POINT (-87.647046 41.88454)"
"10795688","77 WEST WACKER DR., L.L.C.","PARKING TAX","77 W WACKER DR STE 730",,"CHICAGO","IL","60601 - 1718","POINT (-87.630441 41.88685)"
"21000029","800 W DIVISION LIMITED PARTNERSHIP","PARKING TAX",,,,,,
"21002387","811 W. FULTON MARKET STREET CHICAGO, LLC","PARKING TAX","811 W FULTON MARKET",,"CHICAGO","IL","60607 - 1326","POINT (-87.647933 41.886818)"
"21000055","860-1422 R2 LLC","PARKING TAX","860 W EVERGREEN AVE",,"CHICAGO","IL","60642","POINT (-87.650207 41.905948)"
"21001016","88TH STREET LLC","PARKING TAX","1550 W 88TH ST",,"CHICAGO","IL","60620","POINT (-87.6626 41.733966)"
"21001823","915 ORLEANS LLC","PARKING TAX","912 W LAKE ST",,"CHICAGO","IL","60607 - 1707","POINT (-87.650304 41.885625)"
"21004154","941 W. CARMEN LLC","PARKING TAX","931-941 W CARMEN AVENUE",,"CHICAGO","IL","60640","POINT (-87.653753 41.974267)"
"10795699","A & A PARKING, INC.","PARKING TAX","615 N OGDEN AVE",,"CHICAGO","IL","60642 - 5856","POINT (-87.657308 41.892968)"
"21001877","ACQUA ANCIENT BATHS CHICAGO LLC","PARKING TAX",,,,,,
"10794801","ADMIRAL THEATRE, INC.","PARKING TAX","3940 W LAWRENCE AVE",,"CHICAGO","IL","60625 - 6234","POINT (-87.727067 41.968297)"
"21002689","ADVANCE VALET PARKING INC","PARKING TAX","6944 W DIVERSEY AVE",,"CHICAGO","IL","60707 - 1726","POINT (-87.799802 41.930864)"
"10853673","ADVANTAGE VALET PARKING, INC.","PARKING TAX","181 S NORTHWEST HWY",,"BARRINGTON","IL","60010 - 4607","POINT (-88.128275 42.152191)"
"21001497","AF TRUCK CENTER LLC","PARKING TAX","300 W NORTH AVE",,"NORTHLAKE","IL","60164 - 2404","POINT (-87.916446 41.906979)"
"21001385","AG 300 SOUTH WACKER OWNER LLC","PARKING TAX","300 S WACKER DR",,"CHICAGO","IL","60606 - 6680","POINT (-87.636882 41.877723)"
"21002250","AGG PRESIDENTS OWNER LLC","PARKING TAX","8600 W BRYN MAWR AVE STE 120N",,"CHICAGO","IL","60631 - 3562","POINT (-87.842124 41.980992)"
"10795713","AIRPORT PARKING EXPRESS, INC.","PARKING TAX","4832 W 47TH ST",,"CHICAGO","IL","60638 - 2024","POINT (-87.744583 41.80763)"
"10795702","AIRWAYS PARKING","PARKING TAX","4532 W 55TH ST",,"CHICAGO","IL","60632 - 4722","POINT (-87.736786 41.793094)"
"10795716","AKA PARKING, INC.","PARKING TAX","1030 N STATE ST APT 24GH",,"CHICAGO","IL","60610 - 5476","POINT (-87.628337 41.901317)"
"21001864","ALLIANCE HSP PTPMAC MILLS MEMBER LLC","PARKING TAX","8700 W BRYN MAWR AVE LOWR LEVEL",,"CHICAGO","IL","60631 - 3512","POINT (-87.843348 41.980988)"
"21001560","ALL POINTS EQUIPMENT & LEASING CORP.","PARKING TAX","8500 W 53RD ST",,"MC COOK","IL","60525 - 3110","POINT (-87.830977 41.794709)"
"10852667","ALPHA PARKING LLC","PARKING TAX","320 W ERIE ST FL 1","OUTDOOR","CHICAGO","IL","60654 - 3902","POINT (-87.636575 41.893978)"
"21000022","ALSIP DEVELOPMENT, LLC","PARKING TAX","3924 W 131ST STREET",,"ALSIP","IL","60803","POINT (-87.715957 41.654827)"
"20000011","ALSIP HOTEL INVESTORS LLC","PARKING TAX","5000 W 127TH ST",,"ALSIP","IL","60803","POINT (-87.744219 41.661667)"
"10795708","AMERICANA TOWNER CONDO. ASS.","PARKING TAX","1636 N WELLS ST",,"CHICAGO","IL","60614 - 6037","POINT (-87.634742 41.912321)"
"10795698","AMERICAN COLLEGE OF SUREGEONS","PARKING TAX","633 N SAINT CLAIR ST","CLAIR","CHICAGO","IL","60611 - 3234","POINT (-87.622722 41.893812)"
"10795724","AMERICAN DENTAL ASSOCIATION","PARKING TAX","211 E CHICAGO AVE STE 1312",,"CHICAGO","IL","60611 - 2662","POINT (-87.622367 41.896764)"
"10795700","AMERICAN ISLAMIC COLLEGE","PARKING TAX","640 W IRVING PARK RD",,"CHICAGO","IL","60613 - 0030","POINT (-87.646768 41.954635)"
"10839200","AMERICAN SELF-STORAGE LLC","PARKING TAX","2220 W 56TH ST",,"CHICAGO","IL","60636 - 1047","POINT (-87.68048 41.792049)"
"10795705","AMPCO SYSTEM PARKING","PARKING TAX","8101 W SAM HOUSTON PKWY S STE 150",,"HOUSTON","TX","77072 - 5037","POINT (-95.556684 29.691002)"
"10829966","ANDY FRAIN SERVICE, INC.","PARKING TAX","761 SHORELINE DR",,"AURORA","IL","60504 - 6194","POINT (-88.226429 41.74411)"
"21000047","APA HOLDINGS, LLC","PARKING TAX",,,,,,
"11114751","A+ PARKING SERVICES LLC","PARKING TAX","128 CAPTAINS CIRLE",,"HENDERSONVILLE","TN","37075 - 6732","POINT (-86.556741 36.35686)"
"20000048","APPLE TEN HOSPITALITY MANAGEMENT INC","PARKING TAX","2425 BARRINGTON RD",,"HOFFMAN ESTATES","IL","60192","POINT (-88.144328 42.068769)"
"20000139","APPLE TEN ILLINOIS SERVICES INC","PARKING TAX","9480 W HIGGINS RD",,"ROSEMONT","IL","60018","POINT (-87.86244 41.992253)"
"10833376","APPLE TEN SERVICES OHARE INC","PARKING TAX","2930 S RIVER RD",,"DES PLAINES","IL","60018","POINT (-87.863906 42.000961)"
"10795707","AUTO EXPERT","PARKING TAX","1150 W ADDISON ST",,"CHICAGO","IL","60613 - 3806","POINT (-87.658017 41.947191)"
"10819629","AUTOPARK LLC","PARKING TAX","11 E WALTON ST",,"CHICAGO","IL","60611 - 5442","POINT (-87.627507 41.899957)"
"21000052","AUTOTRUCK PARKING AND STORAGE INC.","PARKING TAX","6629 S WENTWORTH AVE",,"CHICAGO","IL","60621","POINT (-87.629998 41.773733)"
"21002302","AVANATH RENAISSANCE NORTH, LLC","PARKING TAX","551 W NORTH AVE",,"CHICAGO","IL","60610 - 6549","POINT (-87.642984 41.911047)"
"21002133","AVANATH SCOTLAND YARD, LLC","PARKING TAX","4215 N BROADWAY ST # 4261",,"CHICAGO","IL","60613 - 1495","POINT (-87.653284 41.958892)"
"21001854","AVR WHEELING HOTEL TENANT LLC","PARKING TAX","601 N MILWAUKEE AVE",,"WHEELING","IL","60090 - 3023","POINT (-87.912906 42.150258)"
"21001931","BANANA GLADES LLC","PARKING TAX","24 S MORGAN ST",,"CHICAGO","IL","60607 - 3668","POINT (-87.652012 41.881038)"
"21002317","BARRINGTON MOTOR SALES AND SERVICE, INC.","PARKING TAX","3825 COMMERCE DR",,"SAINT CHARLES","IL","60174 - 5325","POINT (-88.266576 41.905716)"
"21002317","BARRINGTON MOTOR SALES AND SERVICE, INC.","PARKING TAX","3825 COMMERCE DR",,"SAINT CHARLES","IL","60174 - 5325","POINT (-88.266576 41.905716)"
"21002530","BARTLETT TRUCK PARKING LLC","PARKING TAX","2000 W 33RD ST",,"CHICAGO","IL","60608","POINT (-87.67558 41.834052)"
"21002297","BCSP 190 SOUTH LASALLE HOLDINGS LLC","PARKING TAX","190 S LA SALLE ST",,"CHICAGO","IL","60603 - 3410","POINT (-87.632324 41.87954)"
"21002484","BCSP 330 NORTH WABASH PROPERTY LLC","PARKING TAX","200 STATE ST STE 5",,"BOSTON","MA","2109","POINT (-71.052891 42.359458)"
"21002052","BEDFORD PARKING INC.","PARKING TAX","6201 W 65TH ST",,"BEDFORD PARK","IL","60638","POINT (-87.77694 41.77409)"
"21000095","BELLROSE PARTNERS, LLC","PARKING TAX","110 25TH AVE",,"BELLWOOD","IL","60104","POINT (-87.863928 41.890791)"
"21000096","BEM PARKING LLC","PARKING TAX","1933 GEORGE ST.",,"MELROSE PARK","IL","60160","POINT (-87.84977 41.910581)"
"21003875","BEST CAR PARK LLC","PARKING TAX","150 E HURON ST",,"CHICAGO","IL","60611 - 2999","POINT (-87.623051 41.894969)"
"21000496","BIG TOP AUTO PARTS","PARKING TAX","20877 COTTAGE GROVE AVE",,"FORD HEIGHTS","IL","60411 - 2284","POINT (-87.597023 41.514853)"
"10835024","BLACK WHITE VALET LLC","PARKING TAX","2150 S CANALPORT AVE STE 3B9",,"CHICAGO","IL","60608 - 4461","POINT (-87.649281 41.853487)"
"10854449","BLUE CROSS & BLUE SHIELD OF IL","PARKING TAX","300 E RANDOLPH ST STE CL407",,"CHICAGO","IL","60601 - 5075","POINT (-87.619877 41.884484)"
"21001070","BLUFF CITY MATERIALS, INC.","PARKING TAX","2250 SOUTHWIND BLVD",,"BARTLETT","IL","60103 - 1304","POINT (-88.266675 41.990341)"
"21001786","BOF IL O'HARE INTERNATIONAL CENTER","PARKING TAX","10255 W HIGGINS RD # 75",,"ROSEMONT","IL","60018 - 5606","POINT (-87.881701 41.997539)"
"21001832","BOF IL WINDY POINTE II, LLC, A DELAWARE LIMITED LIABILITY COMPANY","PARKING TAX","5 CONCOURSE PKWY STE 500",,"ATLANTA","GA","30328 - 6101","POINT (-84.354346 33.917464)"
"21001831","BOF IL WINDY POINT I, LLC, A DELAWARE LIMITED LIABILITY COMPANY","PARKING TAX","5 CONCOURSE PKWY STE 500",,"ATLANTA","GA","30328 - 6101","POINT (-84.354346 33.917464)"
"21002538","BOW TRUSS CAPITAL, LLC","PARKING TAX","630 W LAKE ST",,"CHICAGO","IL","60661 - 1508","POINT (-87.643707 41.885709)"
"21002083","BRAVO 4200 LLC","PARKING TAX","4200 RIVER RD",,"SCHILLER PARK","IL","60176 - 1625","POINT (-87.859262 41.955901)"
"11108206","BRE 312 OWNER LLC","PARKING TAX","233 S WACKER DR STE 3755",,"CHICAGO","IL","60606 - 7147","POINT (-87.636741 41.87889)"
"21002032","BRITE LOGISTICS INC","PARKING TAX","5000 S HOMAN AVE",,"CHICAGO","IL","60632 - 3059","POINT (-87.708703 41.802619)"
"21003779","BRIXTON CAPITAL VENTURES LLC SERIES 3","PARKING TAX","3514 N HALSTED ST",,"CHICAGO","IL","60657 - 1833","POINT (-87.649422 41.946069)"
"21001983","BROADWAY CLIFTON PROPERTY LLC","PARKING TAX","4717-4759 N. CLIFTON AVE",,"CHICAGO","IL","60640","POINT (-87.658913 41.967889)"
"10795723","BROOKFIELD ZOO","PARKING TAX","3300 GOLF RD",,"BROOKFIELD","IL","60513 - 1060","POINT (-87.832128 41.830221)"
"11112299","BW RIVER NORTH HOTEL LLC","PARKING TAX","125 W OHIO ST",,"CHICAGO","IL","60654 - 4410","POINT (-87.632318 41.892435)"
"10837909","BYRON'S HOT DOGS","PARKING TAX","1017 W IRVING PARK RD",,"CHICAGO","IL","60613 - 2913","POINT (-87.655298 41.954502)"
"21000050","BYT ENTERPRISES, LLC","PARKING TAX","3625 N HALSTED ST",,"CHICAGO","IL","60613 - 4569","POINT (-87.649478 41.947737)"
