"address","city","state","zip","date_incident","jurisdiction","incident_tract","zone","ucr_incident_code","incident_description","incident_type","case_number","case_status","case_status_description","latitude","longitude","location","citydst"
"3300 Cummings Rd","Chattanooga","TN","37419","2022-09-13T02:52:00.000","TN0330100","A13","Adam S","23H","All Other Larceny","Part 1 Crimes","22-099747","2","Cleared by Arrest","35.007017","-85.37816","POINT (-85.37816 35.007017)","1"
"100 Browns Ferry Rd","Chattanooga","TN","37419","2022-09-12T21:15:00.000","TN0330100","A13","Adam S","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099708","3","Pending/Possible Leads","35.026002999999996","-85.363404","POINT (-85.363404 35.026003)","1"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-12T19:40:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-099656","3","Pending/Possible Leads","35.008528000000005","-85.205398","POINT (-85.205398 35.008528)","6"
"5200 Hwy 153","Chattanooga","TN","37343","2022-09-12T19:34:00.000","TN0330100","A3","Adam N","23C","Shoplifting","Part 1 Crimes","22-099646","3","Pending/Possible Leads","35.12491000000001","-85.242159","POINT (-85.242159 35.12491)","3"
"7000 Amin Dr","Chattanooga","TN","37421","2022-09-12T18:30:00.000","TN0330100","C6","Charlie N","23F","Theft From Motor Vehicle","Part 1 Crimes","22-099624","3","Pending/Possible Leads","35.042775","-85.160462","POINT (-85.160462 35.042775)","6"
"3500 Cummings Hwy","Chattanooga","TN","37419","2022-09-12T17:50:00.000","TN0330100","A13","Adam S","23C","Shoplifting","Part 1 Crimes","22-099613","2","Cleared by Arrest","35.015192","-85.377444","POINT (-85.377444 35.015192)","1"
"3600 Hixson Pike","Chattanooga","TN","37415","2022-09-12T17:17:00.000","TN0330100","A3","Adam N","23C","Shoplifting","Part 1 Crimes","22-099596","3","Pending/Possible Leads","35.107426","-85.27063199999999","POINT (-85.270632 35.107426)","2"
"400 Greenway View Dr","Chattanooga","TN","37411","2022-09-12T17:00:00.000","TN0330100","C3","Charlie S","23C","Shoplifting","Part 1 Crimes","22-099595","2","Cleared by Arrest","35.008926","-85.20481600000001","POINT (-85.204816 35.008926)","6"
"1800 Dodson Ave","Chattanooga","TN","37406","2022-09-12T16:10:00.000","TN0330100","B2","Baker N","220","Burglary/Breaking And Entering","Part 1 Crimes","22-099566","3","Pending/Possible Leads","35.057383","-85.258228","POINT (-85.258228 35.057383)","8"
"3900 Marigold Dr","Chattanooga","TN","37421","2022-09-12T16:09:00.000","TN0330100","C1","Charlie S","220","Burglary/Breaking And Entering","Part 1 Crimes","22-099568","2","Cleared by Arrest","35.06230600000001","-85.210476","POINT (-85.210476 35.062306)","5"
