"address","city","state","zip","date_incident","jurisdiction","incident_tract","zone","ucr_incident_code","incident_description","incident_type","case_number","case_status","case_status_description","latitude","longitude","location","citydst"
"1900 Garfield St","Chattanooga","TN","37404","2022-09-12T17:40:00.000","TN0330100","B4","Baker N","13A","Aggravated Assault","Part 1 Crimes","22-099610","3","Pending/Possible Leads","35.041843","-85.270342","POINT (-85.270342 35.041843)","8"
"1700 Gunbarrel Rd","Chattanooga","TN","37421","2022-09-12T17:35:00.000","TN0330100","C8","Charlie N","13A","Aggravated Assault","Part 1 Crimes","22-099609","3","Pending/Possible Leads","35.021817","-85.16069300000001","POINT (-85.160693 35.021817)","4"
"2300 Windsor St","Chattanooga","TN","37406","2022-09-11T17:37:00.000","TN0330100","B3","Baker N","13A","Aggravated Assault","Part 1 Crimes","22-099219","3","Pending/Possible Leads","35.046642999999996","-85.261276","POINT (-85.261276 35.046643)","8"
"3400 Campbell St","Chattanooga","TN","37406","2022-09-11T04:00:00.000","TN0330100","B1","Baker N","120","Robbery","Part 1 Crimes","22-099033","3","Pending/Possible Leads","35.074387","-85.241822","POINT (-85.241822 35.074387)","9"
"00 Cherokee Blvd","Chattanooga","TN","37405","2022-09-10T23:59:00.000","TN0330100","A7","Adam S","11A","Forcible Rape","Part 1 Crimes","22-099099","3","Pending/Possible Leads","35.062747","-85.309178","POINT (-85.309178 35.062747)","1"
"2500 4th Ave","Chattanooga","TN","37407","2022-09-10T22:00:00.000","TN0330100","B8","Baker S","13A","Aggravated Assault","Part 1 Crimes","22-099078","3","Pending/Possible Leads","35.013622","-85.282168","POINT (-85.282168 35.013622)","8"
"5500 Brainerd Rd","Chattanooga","TN","37421","2022-09-10T20:00:00.000","TN0330100","C3","Charlie S","11A","Forcible Rape","Part 1 Crimes","22-099461","3","Pending/Possible Leads","35.009805","-85.21966400000001","POINT (-85.219664 35.009805)","6"
"200 Aster Ave","Chattanooga","TN","37419","2022-09-10T19:30:00.000","TN0330100","A13","Adam S","13A","Aggravated Assault","Part 1 Crimes","22-098897","3","Pending/Possible Leads","35.015727","-85.369147","POINT (-85.369147 35.015727)","1"
"3700 Tennessee Ave","Chattanooga","TN","37409","2022-09-10T11:00:00.000","TN0330100","A12","Adam S","13A","Aggravated Assault","Part 1 Crimes","22-099021","3","Pending/Possible Leads","35.012459","-85.326684","POINT (-85.326684 35.012459)","7"
"Mccallie Ave & N Holtzclaw Ave","Chattanooga","TN","37404","2022-09-10T09:53:00.000","TN0330100","B4","Baker N","13A","Aggravated Assault","Part 1 Crimes","22-098723","3","Pending/Possible Leads","35.039547","-85.283642","POINT (-85.283642 35.039547)","8"
"2400 Williams St","Chattanooga","TN","37408","2022-09-10T06:08:00.000","TN0330100","A10","Adam S","13A","Aggravated Assault","Part 1 Crimes","22-098687","3","Pending/Possible Leads","35.027567","-85.31457900000001","POINT (-85.314579 35.027567)","7"
"5400 Highway 153","Chattanooga","TN","37343","2022-09-09T21:12:00.000","TN0330100","A3","Adam N","13A","Aggravated Assault","Part 1 Crimes","22-098564","3","Pending/Possible Leads","35.138726999999996","-85.248514","POINT (-85.248514 35.138727)","2"
"1900 Jackson St","Chattanooga","TN","37404","2022-09-09T21:00:00.000","TN0330100","B4","Baker N","13A","Aggravated Assault","Part 1 Crimes","22-098570","3","Pending/Possible Leads","35.043772000000004","-85.26982199999999","POINT (-85.269822 35.043772)","8"
"300 Patten Chapel Rd","Chattanooga","TN","37419","2022-09-09T21:00:00.000","TN0330100","A13","Adam S","13A","Aggravated Assault","Part 1 Crimes","22-098569","2","Cleared by Arrest","35.031251999999995","-85.360336","POINT (-85.360336 35.031252)","1"
"300 Gillespie Rd","Chattanooga","TN","37411","2022-09-09T09:17:00.000","TN0330100","C2","Charlie S","13A","Aggravated Assault","Part 1 Crimes","22-098326","3","Pending/Possible Leads","35.028387","-85.241597","POINT (-85.241597 35.028387)","5"
"5700 Lee Hwy","Chattanooga","TN","37421","2022-09-09T06:45:00.000","TN0330100","C4","Charlie S","13A","Aggravated Assault","Part 1 Crimes","22-098273","3","Pending/Possible Leads","35.019915","-85.20211499999999","POINT (-85.202115 35.019915)","6"
"1700 S Kelley St","Chattanooga","TN","37404","2022-09-09T05:41:00.000","TN0330100","B6","Baker S","120","Robbery","Part 1 Crimes","22-098261","3","Pending/Possible Leads","35.022553","-85.27768999999999","POINT (-85.27769 35.022553)","8"
"2000 S Lyerly St","Chattanooga","TN","37404","2022-09-09T05:30:00.000","TN0330100","B6","Baker S","13A","Aggravated Assault","Part 1 Crimes","22-098258","3","Pending/Possible Leads","35.020083","-85.276997","POINT (-85.276997 35.020083)","9"
"700 Cherry St","Chattanooga","TN","37402","2022-09-09T02:35:00.000","TN0330100","A7","Adam S","13A","Aggravated Assault","Part 1 Crimes","22-098241","2","Cleared by Arrest","35.046608","-85.308784","POINT (-85.308784 35.046608)","7"
"1900 Sharp St","Chattanooga","TN","37404","2022-09-09T00:02:00.000","TN0330100","B4","Baker N","13A","Aggravated Assault","Part 1 Crimes","22-098223","3","Pending/Possible Leads","35.043868","-85.270088","POINT (-85.270088 35.043868)","8"
"1800 Rubio St","Chattanooga","TN","37406","2022-09-08T20:55:00.000","TN0330100","B3","Baker N","09A","Murder & Non-Negligent Manslaughter","Part 1 Crimes","22-098169","3","Pending/Possible Leads","35.054453","-85.267158","POINT (-85.267158 35.054453)","8"
"1800 Rubio St","Chattanooga","TN","37406","2022-09-08T20:55:00.000","TN0330100","B3","Baker N","13A","Aggravated Assault","Part 1 Crimes","22-098169","3","Pending/Possible Leads","35.054259","-85.26725599999999","POINT (-85.267256 35.054259)","8"
"2100 Bachman St","Chattanooga","TN","37406","2022-09-08T19:03:00.000","TN0330100","B2","Baker N","13A","Aggravated Assault","Part 1 Crimes","22-098136","3","Pending/Possible Leads","35.070521","-85.25337499999999","POINT (-85.253375 35.070521)","8"
"700 N Germantown Rd","Chattanooga","TN","37411","2022-09-08T15:21:00.000","TN0330100","C2","Charlie S","13A","Aggravated Assault","Part 1 Crimes","22-098049","3","Pending/Possible Leads","35.034833","-85.241985","POINT (-85.241985 35.034833)","9"
"1400 Greenwood Rd","Chattanooga","TN","37411","2022-09-07T21:30:00.000","TN0330100","C1","Charlie S","11A","Forcible Rape","Part 1 Crimes","22-097798","3","Pending/Possible Leads","35.050912","-85.24282000000001","POINT (-85.24282 35.050912)","9"
