"objectid","safegraph_place_id","parent_safegraph_place_id","location_name","brands","top_category","sub_category","naics_code","street_address","city","region","postal_code","iso_country_code","phone_number","category_tags","data_version","raw_visit_counts","total_visits","daily_average","date","visits","day_of_week","most_recent_date_indicator","placemean","placestdev","placetscore","categorymean","categorystdev","categorytscore","chattanoogamean","chattanoogastdev","chattanoogatscore","geometry","id"
,"sg:001641bfa1764101b9325a04f9001dc0",,"Brenda Sims Crye Leike Realtors",,"Offices of Real Estate Agents and Brokers","Offices of Real Estate Agents and Brokers","531210","5870 Highway 153","Hixson","TN","37343","US",,,"20200506",,,,"2020-05-03T00:00:00.000",,"1-Sun","N",,,"0","0.09","0.43",,"5.33","17.48",,"POINT (-85.2475 35.162766)","sg:001641bfa1764101b9325a04f9001dc0_20200503"
,"sg:001641bfa1764101b9325a04f9001dc0",,"Brenda Sims Crye Leike Realtors",,"Offices of Real Estate Agents and Brokers","Offices of Real Estate Agents and Brokers","531210","5870 Highway 153","Hixson","TN","37343","US",,,"20200506",,,,"2020-05-04T00:00:00.000",,"1-Mon","N",,,"0","0.09","0.43",,"5.33","17.48",,"POINT (-85.2475 35.162766)","sg:001641bfa1764101b9325a04f9001dc0_20200504"
"118524","sg:27eed38c7ebe4a2b9875ccec247f438b",,"Unique Nails",,,,,"5084 South Ter","Chattanooga","TN","37412","US","+14236028516",,"20200406",,,,"2020-04-12T00:00:00.000",,"1-Sun","N",,,"0","2.02","11.92",,"4.04","14.16",,"POINT (-85.22226 35.003254)","sg:27eed38c7ebe4a2b9875ccec247f438b_20200412"
"729698","sg:481d6e1e3d7a477098323be55649ea61",,"Lunar Hair and Nails",,"Personal Care Services","Nail Salons","812113","5228 Hixson Pike","Hixson","TN","37343","US",,,"20200406",,,,"2020-04-12T00:00:00.000",,"1-Sun","N",,,"0","0.09","0.54",,"4.04","14.16",,"POINT (-85.23585 35.138676)","sg:481d6e1e3d7a477098323be55649ea61_20200412"
,"sg:001641bfa1764101b9325a04f9001dc0",,"Brenda Sims Crye Leike Realtors",,"Offices of Real Estate Agents and Brokers","Offices of Real Estate Agents and Brokers","531210","5870 Highway 153","Hixson","TN","37343","US",,,"20200506",,,,"2020-05-05T00:00:00.000",,"1-Tue","N",,,"0","0.09","0.43",,"5.33","17.48",,"POINT (-85.2475 35.162766)","sg:001641bfa1764101b9325a04f9001dc0_20200505"
,"sg:001641bfa1764101b9325a04f9001dc0",,"Brenda Sims Crye Leike Realtors",,"Offices of Real Estate Agents and Brokers","Offices of Real Estate Agents and Brokers","531210","5870 Highway 153","Hixson","TN","37343","US",,,"20200506",,,,"2020-05-06T00:00:00.000",,"1-Wed","N",,,"0","0.09","0.43",,"5.33","17.48",,"POINT (-85.2475 35.162766)","sg:001641bfa1764101b9325a04f9001dc0_20200506"
,"sg:001641bfa1764101b9325a04f9001dc0",,"Brenda Sims Crye Leike Realtors",,"Offices of Real Estate Agents and Brokers","Offices of Real Estate Agents and Brokers","531210","5870 Highway 153","Hixson","TN","37343","US",,,"20200506",,,,"2020-05-07T00:00:00.000",,"1-Thu","N",,,"0","0.09","0.43",,"5.33","17.48",,"POINT (-85.2475 35.162766)","sg:001641bfa1764101b9325a04f9001dc0_20200507"
"4199615","sg:b1539b3f0d4249b88dec3a211a9ccb20",,"Tina Nails",,"Personal Care Services","Nail Salons","812113","5112 Hixson Pike","Hixson","TN","37343","US","+14238769363",,"20200406",,,,"2020-04-14T00:00:00.000",,"1-Tue","N",,,"0","0.09","0.54",,"4.04","14.16",,"POINT (-85.23852 35.135532)","sg:b1539b3f0d4249b88dec3a211a9ccb20_20200414"
"1543527","sg:001641bfa1764101b9325a04f9001dc0",,"Brenda Sims Crye Leike Realtors",,"Offices of Real Estate Agents and Brokers","Offices of Real Estate Agents and Brokers","531210","5870 Highway 153","Hixson","TN","37343","US",,,"20200706",,,,"2020-07-13T00:00:00.000",,"1-Mon","N",,,"0","0.08","0.62",,"3.52","16.82",,"POINT (-85.2475 35.162766)","sg:001641bfa1764101b9325a04f9001dc0_20200713"
"4328356","sg:ef1082e2cec9494e9918852f6a96ba15",,"Beast Barrel",,,,,"16 Frazier Ave","Chattanooga","TN","37405","US","+14238054599",,"20200406",,,,"2020-04-12T00:00:00.000",,"1-Sun","N",,,"0","2.02","11.92",,"4.04","14.16",,"POINT (-85.30805 35.062374)","sg:ef1082e2cec9494e9918852f6a96ba15_20200412"
