"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_est_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-07224-0050","2531 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OCEAN PARKWAY-SOUTH","D4-ELEVATOR","84","1953","137280","2133331","15.54","7210000","53","3-07179-0058","2375 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","135","1957","112320","1679311","14.95","5680000","51","0.4","3-08665-0547","2911 BRIGHTON 5 STREET
Brooklyn, NY 
(40.580570859371, -73.963506077681)","BRIGHTON BEACH","D1-ELEVATOR","106","1963","100300","1322030","13.18","4120000","41.1","0.5"
"3-00739-0037","4404 6 AVENUE
Brooklyn, NY 
(40.646857855454, -74.004956950439)","3","11220","40.647039","-74.004735","7","38","96","3011271","3007390037","Sunset Park East                                                           ","SUNSET PARK","C6-WALK-UP","16","1914","18000","293317","16.3","992000","55","3-00187-0014","256 PACIFIC STREET
Brooklyn, NY 
(40.688269425396, -73.990398707757)","BOERUM HILL","C1-WALK-UP","25","1920","17215","351689","20.43","1320000","77","2.9","3-00187-0016","260 PACIFIC STREET
Brooklyn, NY 
(40.688205083021, -73.99023141758)","BOERUM HILL","C1-WALK-UP","25","1920","17215","351688","20.43","1320000","77","2.9"
"3-01171-0048","328 STERLING PLACE
Brooklyn, NY 
(40.675385056018, -73.967266121414)","3","11238","40.675421","-73.967211","8","35","207","3029339","3011710048","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","25","1931","23875","329277","13.79","1030000","43.1","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","599874","15.28","2030000","52","0.6","3-01380-0014","1540 STERLING PLACE
Brooklyn, NY 
(40.671268840579, -73.927661019894)","CROWN HEIGHTS","D1-ELEVATOR","34","1923","25840","348597","13.49","1090000","42.2","2.15"
"3-07181-0001","2310 OCEAN PARKWAY
Brooklyn, NY 
(40.592985629126, -73.965012865554)","3","11223","40.593013","-73.964713","15","47","390","3194790","3071810001","Homecrest                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","60","1954","67000","1116220","16.66","3770000","56","3-07158-0033","2245 OCEAN PARKWAY
Brooklyn, NY 
(40.594801722844, -73.964576962002)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","74","1958","67620","925193","13.68","2880000","42.6","0.2","3-07197-0001","388 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","76","1957","74834","980698","13.1","3050000","40.8","0.25"
"3-05495-1014","1176 OCEAN PARKWAY
Brooklyn, NY 
(40.619971054779, -73.969975877904)","3","11230","40.620013","-73.969692","12","44","448","3131067","3054951014","Ocean Parkway South                                                        ","OCEAN PARKWAY-NORTH","D4-ELEVATOR","120","1952","92250","1115770","12.1","3140000","34","3-05670-0047","1379 54 STREET
Brooklyn, NY 
(40.631225672155, -73.993284116546)","BOROUGH PARK","C7-WALK-UP","11","1916","22500","406134","18.05","1520000","68","1.3","3-05024-0063","526 FLATBUSH AVENUE
Brooklyn, NY 
(40.661320254035, -73.961214173092)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","16","1931","7596","157756","20.77","590000","78","2.85"
"3-00739-0030","566 44 STREET
Brooklyn, NY 
(40.647566387481, -74.005376523777)","3",,,,,,,,,,"SUNSET PARK","C6-WALK-UP","16","1914","13752","125178","9.1","298000","21.67","3-00284-0017","94 ATLANTIC AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","COBBLE HILL","C7-WALK-UP","32","1900","40701","1385604","34","6450000","158","3","3-00747-0048","461 46 STREET
Brooklyn, NY 
(40.647892191666, -74.008831224371)","SUNSET PARK","C1-WALK-UP","43","1912","37700","436593","11.58","1230000","32.6","0.15"
"3-00254-0004","151 JORALEMON STREET
Brooklyn, NY 
(40.692924591925, -73.993443314617)","3","11201","40.692912","-73.993491","2","33","502","3002214","3002540004","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","20","1905","12450","330206","26.5","1370000","110","3-00470-0008","451 COURT STREET
Brooklyn, NY 
(40.677737475825, -73.998100886419)","CARROLL GARDENS","C7-WALK-UP","13","1920","12800","369152","28.8","1720000","134","1.15","3-00254-0066","110 REMSEN STREET
Brooklyn, NY 
(40.693979969558, -73.994224727423)","BROOKLYN HEIGHTS","D7-ELEVATOR","15","1900","13258","359949","27.1","1490000","112","0"
"3-00235-0028","115 WILLOW STREET
Brooklyn, NY 
(40.697783609831, -73.99558124181)","3","11201","40.697535","-73.995727","2","33","301","3001791","3002350028","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","39","1927","49158","893880","18.18","3340000","68","3-06114-0006","310 94 STREET
Brooklyn, NY 
(40.617672303917, -74.032842558123)","BAY RIDGE","D7-ELEVATOR","74","1928","48000","930354","19.38","3480000","73","5.9","3-01177-0007","781 WASHINGTON AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","CROWN HEIGHTS","D5-ELEVATOR","63","1920","47925","963988","20.11","2040000","42.6","2.45"
"3-01178-0059","547 LINCOLN PLACE
Brooklyn, NY 
(40.671694141811, -73.958263369849)","3","11238","40.671674","-73.958269","8","35","217","3029605","3011780059","Crown Heights North                                                        ","CROWN HEIGHTS","C6-WALK-UP","16","1911","18136","252905","13.94","787000","43.4","3-02495-0042","1085 MANHATTAN AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","GREENPOINT","C1-WALK-UP","12","1931","13250","237257","17.91","503000","38","4.35","3-01281-0009","1589 BEDFORD AVENUE
Brooklyn, NY 
(40.668063874842, -73.956002937575)","CROWN HEIGHTS","C1-WALK-UP","16","1905","13200","232529","17.62","869000","66","0.4"
"3-07822-0045","2020 41 STREET
Brooklyn, NY 
(40.623765467, -73.934196645095)","3",,,,,,,,,,"FLATLANDS","D4-ELEVATOR","54","1931","67500","773396","11.46","2170000","32.1","3-05152-0001","2102 BEVERLY ROAD
Brooklyn, NY 
(40.644944516359, -73.958887362656)","FLATBUSH-CENTRAL","D1-ELEVATOR","75","1958","62272","705629","11.33","1830000","29.4","1.95","3-07562-0001","3413 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","FLATBUSH-EAST","D1-ELEVATOR","65","1963","66000","707574","10.72","1830000","27.7","0.85"
