"projectid","buildingid","reportingconstructiontype","boroid","block","lot","bin","housenumber","streetname","countedrentalunits","countedhomeownershipunits","allcountedunits","totalbuildingunits","basesquarefootage","stories","bbl","community_board_cb","council_district","census_tract","nta","latitude","longitude","postcode"
"44218","987329","New Construction","1","1790","1","1054691","2319","3 AVENUE","297","0","297","404","35436","19","1017900046","111","8","242","East Harlem North","40.804265","-73.93539","10035"
"44223","927737","New Construction","3","1556","3","3000000","335","RALPH AVENUE","0","13","13","13","1989","7","3015560003","303","41","301","Ocean Hill","40.677644","-73.921745","11233"
"44223","969695","New Construction","3","1709","10","3000000","35","ROCHESTER AVENUE","0","8","8","8","1720","4","3017090010","303","36","299","Crown Heights North","40.677925","-73.927466","11233"
"44223","975702","New Construction","3","1709","27","3000000","18-22","SUYDAM PLACE","0","15","15","15","2778","4","3017090027","303","36","299","Crown Heights North","40.677823","-73.926554","11233"
"44223","977564","New Construction","3","1556","8",,"329/331","RALPH AVENUE","0","10","10","10","2925","5",,,,,,,,
"44225","927748","New Construction","2","2292","7501","2129098","469","EAST 147 STREET","11","0","11","11","2249","7","2022927501","201","8","43","Mott Haven-Port Morris","40.813854","-73.9164","10455"
"44225","955261","New Construction","2","2292","50","2000000","455","EAST 147 STREET","55","0","55","55","10000","5","2022927501","201","8","43","Mott Haven-Port Morris","40.813948","-73.916682","10455"
"44230","336111","New Construction","3","7014","53","3000000","2427","MERMAID AVENUE","2","1","3","3","2451","3","3070140053","313","47","326","Seagate-Coney Island","40.575896","-73.99149","11224"
"44230","336151","New Construction","3","7048","6","3000000","3216","MERMAID AVENUE","2","1","3","3","3135","3","3070480006","313","47","342","Seagate-Coney Island","40.575062","-73.998834","11224"
"44230","394346","New Construction","3","7021","16","3425388","2816","WEST 16 STREET","2","1","3","3","3825","3","3070210016","313","47","326","Seagate-Coney Island","40.57844","-73.984045","11224"
"44230","927137","New Construction","3","7014","52","3188890","2425","MERMAID AVENUE","2","1","3","3","2881","3","3070140052","313","47","326","Seagate-Coney Island","40.575896","-73.991476","11224"
"44230","967108","New Construction","3","6978","22","3413785","3566","CANAL AVENUE","2","1","3","3","2881","3","3069780022","313","47","330","Seagate-Coney Island","40.579028","-74.00238","11224"
