"staten_island_condominium_property_boro_block_lot","staten_island_condominium_property_condo_section","staten_island_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","staten_island_condominium_property_neighborhood","staten_island_condominium_property_building_classification","staten_island_condominium_property_total_units","staten_island_condominium_property_year_built","staten_island_condominium_property_gross_sqft","staten_island_condominium_property_est_gross_income","staten_island_condominium_property_gross_income_per_sqft","staten_island_condominium_property_full_market_value","staten_island_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"5-00251-7501","48-R1","200 HART BOULEVARD","5","10301","40.630241","-74.100342","1","49","59","5006886","5002517501","New Brighton-Silver Lake                                                   ","SILVER LAKE","R4-ELEVATOR","47","1937","51552","0","0","1678006","32.5","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","1.85",,,,,,,,,,,,
"5-00579-7501","45-R1","55 AUSTIN PLACE","5","10304","40.631307","-74.085839","1","49","33","5112220","5005797501","Grymes Hill-Clifton-Fox Hills                                              ","TOMPKINSVILLE","R4-ELEVATOR","147","1965","159096","0","0","5180010","32.6","5-00593-0001","800 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","150","1961","143419","1869577","13.04","5820000","40.6","0.85",,,,,,,,,,,,
"5-00610-7501","25-R1","830 HOWARD AVENUE","5","10301","40.612717","-74.098392","1","49","47","5015638","5006107501","Grymes Hill-Clifton-Fox Hills                                              ","SUNNYSIDE","R4-ELEVATOR","66","1981","65392","0","0","2127997","32.5","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","0.75",,,,,,,,,,,,
"5-00610-7502","34-R1","850 HOWARD AVENUE","5","10301","40.612648","-74.098623","1","49","47","5015704","5006107502","Grymes Hill-Clifton-Fox Hills                                              ","SUNNYSIDE","R4-ELEVATOR","67","1981","65392","0","0","2127997","32.5","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","0.75",,,,,,,,,,,,
"5-00631-7501","94-R1","755 NARROWS ROAD NORTH","5","10304","40.610665","-74.093567","1","49","47","5089818","5006317501","Grymes Hill-Clifton-Fox Hills                                              ","GRYMES HILL","R4-ELEVATOR","93","1987","72970","0","0","3687996","51","5-00589-0053","610 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","72","1940","72600","927226","12.77","2890000","39.8","1.15","5-00589-0035","650 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","61","1940","72860","893628","12.27","2510000","34.4","1.15"
"5-02400-7501","115-R1","80 RICHMOND HILL ROAD","5","10314","40.587767","-74.165557","2","51","27702","5104717","5024007501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","243","1990","208726","0","0","9174995","44","5-01248-0200","110 CONTINENTAL PLACE","MARINERS HARBOR","D3-ELEVATOR","224","1953","222300","2389039","10.75","5060000","22.76","3.35","5-01245-0001","311 GRANDVIEW AVENUE","MARINERS HARBOR","D1-ELEVATOR","381","1953","312400","3357337","10.75","7120000","22.79","3.45"
"5-02450-7506","39-R1","2 ELMWOOD PARK DRIVE","5","10314","40.581202","-74.162664","2","51","27702","5040473","5024507506","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","177","1983","195678","0","0","6030003","30.8","5-03157-0001","1950 CLOVE ROAD","GRASMERE","D1-ELEVATOR","177","1973","180495","1890996","10.48","4010000","22.22","4.1",,,,,,,,,,,,
"5-02450-7509","4-R1","5 WINDHAM LOOP","5","10314","40.577988","-74.162923","2","51","27702","5112323","5024507509","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","163","0","176455","0","0","4774011","27.1","5-02877-0025","55 BOWEN STREET","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2387297","15.42","5060000","32.7","4.6",,,,,,,,,,,,
"5-02451-7501","113-R1","95 ESSEX DRIVE","5","10314","40.58151","-74.158363","2","51","27702","5095347","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","31","1989","35212","0","0","1312002","37.3","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","593325","13.73","1850000","42.8","1.1","5-02102-0045","105 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29200","379338","12.99","1180000","40.4","1.1"
"5-02451-7501","113-R2","75 ESSEX DRIVE","5","10314","40.581736","-74.158126","2","51","27702","5095348","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","31","1989","35212","0","0","1312007","37.3","5-02102-0045","105 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","36","1971","29200","379338","12.99","1180000","40.4","1.1","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","593325","13.73","1850000","42.8","1.1"
"5-02451-7501","113-R3","40 WELLINGTON COURT","5","10314","40.581791","-74.156045","2","51","27702","5095349","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","31","1989","35212","0","0","1312002","37.3","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","593325","13.73","1850000","42.8","1.1",,,,,,,,,,,,
"5-02451-7501","113-R4","120 WELLINGTON COURT","5","10314","40.579853","-74.157963","2","51","27702","5095350","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","31","1989","35212","0","0","1312004","37.3","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","593325","13.73","1850000","42.8","1.1",,,,,,,,,,,,
"5-02452-7501","107-R1","41 WELLINGTON COURT","5","10314","40.58178","-74.156027","2","51","27702","5090787","5024527501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","37","1989","47880","0","0","1755986","36.7","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","3.85",,,,,,,,,,,,
"5-02452-7501","107-R2","121 WELLINGTON COURT","5","10314","40.57996","-74.157834","2","51","27702","5121201","5024527501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","52","1987","64512","0","0","2098995","32.5","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","3.85",,,,,,,,,,,,
"5-02452-7503","122-R1","145 WELLINGTON COURT","5","10314","40.579323","-74.15853","2","51","27702","5121202","5024527503","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","37","1988","47880","0","0","1922996","40.2","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","593325","13.73","1850000","42.8","1.25",,,,,,,,,,,,
"5-02452-7503","122-R2","171 WELLINGTON COURT","5","10314","40.579141","-74.158746","2","51","27702","5121203","5024527503","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","37","0","47880","0","0","1922985","40.2","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","593325","13.73","1850000","42.8","1.25",,,,,,,,,,,,
"5-02452-7503","122-R3","195 WELLINGTON COURT","5","10314","40.578943","-74.158969","2","51","27702","5121204","5024527503","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","37","0","47880","0","0","1922996","40.2","5-02102-0028","121 FREEDOM AVENUE","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","593325","13.73","1850000","42.8","1.25",,,,,,,,,,,,
"5-02829-7501","100-R1","31 HYLAN BOULEVARD","5","10305","40.614937","-74.06448","1","49","6","5157402","5028297501","Stapleton-Rosebank                                                         ","ROSEBANK","R4-ELEVATOR","52","0","62391","0","0","3439999","55","5-03003-0082","20 MERLE PLACE","ROSEBANK","D1-ELEVATOR","64","1964","61130","890037","14.56","3010000","49.2","0.55","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","1.6"
"5-02832-7501","118-R1","6 NEW LANE","5","10305","40.611956","-74.064182","1","49","6","5042253","5028327501","Stapleton-Rosebank                                                         ","ARROCHAR-SHORE ACRES","R4-ELEVATOR","102","1987","90618","0","0","5232993","58","5-00240-0003","937 VICTORY BOULEVARD","CLOVE LAKES","D1-ELEVATOR","111","1965","107960","1432814","13.27","4460000","41.3","2.15","5-00240-0016","961 VICTORY BOULEVARD","CLOVE LAKES","D1-ELEVATOR","111","1965","107960","1441897","13.36","4490000","41.6","2.15"
"5-02862-7501","86-R1","50 BELAIR ROAD","5","10305","40.610847","-74.065867","1","49","8","5043008","5028627501","Stapleton-Rosebank                                                         ","ROSEBANK","R2-WALK-UP","48","1985","51425","0","0","1870001","36.4","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","1.4",,,,,,,,,,,,
"5-03019-7501","117-R1","81 NARROWS ROAD NORTH","5","10305","40.605488","-74.071714","1","49","2001","5104719","5030197501","Stapleton-Rosebank                                                         ","ROSEBANK","R2-WALK-UP","40","0","38700","0","0","1471000","38","5-03003-0082","20 MERLE PLACE","ROSEBANK","D1-ELEVATOR","64","1964","61130","890037","14.56","3010000","49.2","0.15","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","1.15"
"5-03318-7501","97-R1","163 CROMWELL AVENUE","5","10304","40.590267","-74.096213","2","50","9602","5091156","5033187501","Old Town-Dongan Hills-South Beach                                          ","DONGAN HILLS","R2-WALK-UP","48","0","38424","0","0","1397002","36.4","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","0.9",,,,,,,,,,,,
"5-03543-7501","89-R1","175 ZOE STREET","5","10305","40.584504","-74.100979","2","50","11401","5091251","5035437501","Old Town-Dongan Hills-South Beach                                          ","GRANT CITY","R4-ELEVATOR","100","1986","78903","0","0","3696014","46.8","5-03168-0161","1000 TARGEE STREET","GRASMERE","D5-ELEVATOR","98","1972","74260","1011411","13.62","3150000","42.4","1.35",,,,,,,,,,,,
