"last","first","broolyn_public_library","appointee_or_representative","term_of_office","term_expiring","voting"
"Douek","Joseph","Brooklyn Public Library","Appointee","3 Years","2/2016","Voting"
"Gravante, Jr.","Nicholas A.","Brooklyn Public Library","Appointee","3 Years","2/2015","Voting"
"Katowitz","Miriam","Brooklyn Public Library","Appointee","3 Years","2/2016","Voting"
"Liburd","Michael","Brooklyn Public Library","Appointee","3 Years","2/2014","Voting"
"Fisher-Rubin","Alice","Brooklyn Public Library","Appointee","3 Years","2/2014","Voting"
"Lewis-Martin","Ingrid","Brooklyn Public Library","Appointee","3 Years","2/2015","Voting"
"Tettonis","Christina","Brooklyn Public Library","Appointee","3 Years","2/2015","Voting"
"Blair","Milovan","Brooklyn Public Library","Appointee","3 Years","2/2021","Voting"
