"staten_island_condominiums_comparable_properties_boro_block_lot","staten_island_condominiums_comparable_properties_condo_section","staten_island_condominiums_comparable_properties_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","staten_island_condominiums_comparable_properties_neighborhood","staten_island_condominiums_comparable_properties_building_classification","staten_island_condominiums_comparable_properties_total_units","staten_island_condominiums_comparable_properties_year_built","staten_island_condominiums_comparable_properties_gross_sqft","staten_island_condominiums_comparable_properties_estimated_gross_income","staten_island_condominiums_comparable_properties_gross_income_per_sqft","staten_island_condominiums_comparable_properties_estimated_expense","staten_island_condominiums_comparable_properties_expense_per_sqft","staten_island_condominiums_comparable_properties_net_operating_income","staten_island_condominiums_comparable_properties_full_market_value","staten_island_condominiums_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_condo_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_condo_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_condo_in_miles"
"5-00001-7501","0136-R1","80 BAY STREET","5","10301","40.640226","-74.075614","1","49","3","5000038","5000050115","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","R4-CONDOMINIUM","131","1995","180775","2019257","11.17","511593","2.83","1507664","6489986","35.9","5-00008-0025","285 ST MARK'S PLACE","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","91","1965","77000","1012863","13.15","585481","7.6","427382","2842000","36.91","0.33","5-00008-0019","299 ST MARK'S PLACE","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","70","1951","56724","594650","10.48","326161","5.75","268489","1668000","29.41","0.33",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00001-7502","0147-R1","155 BAY STREET","5","10301","40.638214","-74.075882","1","49","3","5149659","5000017502","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","R4-CONDOMINIUM","57","2005","62045","872353","14.06","436176","7.03","436177","2868001","46.22","5-00008-0025","285 ST MARK'S PLACE","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","91","1965","77000","1012863","13.15","585481","7.6","427382","2842000","36.91","0.33","5-00011-0020","60 HAMILTON AVENUE","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","109","1965","75414","1318575","17.48","696219","9.23","622356","4491000","59.55","0.45",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00110-7501","0092-R1","101 CASTLETON AVENUE","5","10301","40.634501","-74.086877","1","49","75","5089389","5001107501","New Brighton-Silver Lake                                                   ","NEW BRIGHTON","R4-CONDOMINIUM","159","1986","119085","1454028","12.21","677594","5.69","776434","4928992","41.39","5-00589-0035","650 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","61","1940","72860","869671","11.94","445840","6.12","423831","2701000","37.07","0.51","5-00589-0044","630 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","60","1940","72600","886528","12.21","482342","6.64","404186","2566000","35.34","0.51","5-00008-0025","285 ST MARK'S PLACE","NEW BRIGHTON-ST. GEORGE","D1-ELEVATOR","91","1965","77,000","1,012,863","13.15","585,481","7.6","427,382","2,842,000","36.91","0.74"
"5-00110-7501","0092-R3","89 CASTLETON AVENUE","5","10301","40.634759","-74.08651","1","49","75","5136170","5001107501","New Brighton-Silver Lake                                                   ","NEW BRIGHTON","R4-CONDOMINIUM","22","1986","17068","204816","12","92509","5.42","112307","715000","41.89","5-00579-0045","4 CHESTER PLACE","TOMPKINSVILLE","D3-ELEVATOR","34","1929","32000","385133","12.04","197719","6.18","187414","1035000","32.34","0.22","5-00027-0006","12 HENDRICKS AVENUE","NEW BRIGHTON","C1-WALK-UP","18","1931","14696","175624","11.95","83566","5.69","92058","587000","39.94","0.47",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00110-7501","0092-R6","120 CASTLETON COURT","5","10302","40.63533","-74.086921","1","49","75","5136173","5001107501","New Brighton-Silver Lake                                                   ","NEW BRIGHTON","R4-CONDOMINIUM","28","1986","17983","216515","12.04","100345","5.58","116170","740001","41.15","5-00015-0001","141 ST MARK'S PLACE","NEW BRIGHTON","D1-ELEVATOR","42","1925","39910","596590","14.95","349491","8.76","247099","1702000","42.65","0.8","5-03291-0015","62 NEWBERRY AVENUE","DONGAN HILLS","D1-ELEVATOR","49","1974","28800","485764","16.87","253719","8.81","232045","1678000","58.26","2.84",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00230-7501","0112-R1","999 FOREST AVENUE","5","10310","40.627384","-74.122965","1","49","141","5095176","5002307501","West New Brighton-New Brighton-St. George                                  ","WEST NEW BRIGHTON","R4-CONDOMINIUM","44","1989","28943","406939","14.06","203469","7.03","203470","1148655","39.69","5-00238-0046","317 JEWETT AVENUE","WEST NEW BRIGHTON","C1-WALK-UP","42","1971","25470","398060","15.63","225724","8.86","172336","1180000","46.33","0.29","5-00235-0047","136 GREENLEAF AVENUE","WEST NEW BRIGHTON","C7-WALK-UP","29","1971","22800","307198","13.47","147223","6.46","159975","1060000","46.49","0.2",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00250-7501","0049-R1","215 HART BOULEVARD","5","10301","40.629914","-74.100259","1","49","59","5006783","5002507501","New Brighton-Silver Lake                                                   ","SILVER LAKE","R4-CONDOMINIUM","63","1931","64500","840435","13.03","437310","6.78","403125","2310006","35.81","5-00589-0053","610 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","72","1940","72600","945998","13.03","507503","6.99","438495","2921000","40.23","0.53","5-00589-0035","650 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","61","1940","72860","869671","11.94","445840","6.12","423831","2701000","37.07","0.53","5-00590-0001","700 VICTORY BOULEVARD","GRYMES HILL","D3-ELEVATOR","228","1962","242,500","3,298,026","13.6","1,836,213","7.57","1,461,813","9,668,000","39.87","0.49"
"5-00251-7501","0048-R1","200 HART BOULEVARD","5","10301","40.630241","-74.100342","1","49","59","5006886","5002517501","New Brighton-Silver Lake                                                   ","SILVER LAKE","R4-CONDOMINIUM","47","1937","51552","638729","12.39","339212","6.58","299517","1845800","35.8","5-00589-0035","650 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","61","1940","72860","869671","11.94","445840","6.12","423831","2701000","37.07","0.58","5-00589-0044","630 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","60","1940","72600","886528","12.21","482342","6.64","404186","2566000","35.34","0.58","5-00589-0053","610 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","72","1940","72,600","945,998","13.03","507,503","6.99","438,495","2,921,000","40.23","0.58"
"5-00579-7501","0045-R1","55 AUSTIN PLACE","5","10304","40.631307","-74.085839","1","49","33","5112220","5005797501","Grymes Hill-Clifton-Fox Hills                                              ","TOMPKINSVILLE","R4-CONDOMINIUM","147","1965","159096","1942562","12.21","905256","5.69","1037306","5697922","35.81","5-00589-0035","650 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","61","1940","72860","869671","11.94","445840","6.12","423831","2701000","37.07","0.38","5-00589-0044","630 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","60","1940","72600","886528","12.21","482342","6.64","404186","2566000","35.34","0.38","5-00590-0001","700 VICTORY BOULEVARD","GRYMES HILL","D3-ELEVATOR","228","1962","242,500","3,298,026","13.6","1,836,213","7.57","1,461,813","9,668,000","39.87","0.6"
"5-00610-7501","0025-R1","830 HOWARD AVENUE","5","10301","40.612717","-74.098392","1","49","47","5015638","5006107501","Grymes Hill-Clifton-Fox Hills                                              ","SUNNYSIDE","R4-CONDOMINIUM","66","1981","65392","857943","13.12","430279","6.58","427664","2340743","35.8","5-00240-0016","961 VICTORY BOULEVARD","CLOVE LAKES","D1-ELEVATOR","111","1965","107960","1406719","13.03","731969","6.78","674750","4495000","41.64","0.57","5-00593-0001","800 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","150","1961","143419","1881014","13.12","943022","6.58","937992","6239000","43.5","0.64","5-00589-0035","650 VICTORY BOULEVARD","GRYMES HILL","D1-ELEVATOR","61","1940","72,860","869,671","11.94","445,840","6.12","423,831","2,701,000","37.07","1.12"
