"_10_digit_bbl","borocode","block","lot","streetnumber","street_address","postcode","dof_square_footage","borough","latitude","longitude","community_board","council_district","census_tract","bin","nta"
"1015317501","1","1531","7501","205","EAST   85 STREET","10028","303383","MANHATTAN","40.777977","-73.954079","108","5","14601","1087920","Yorkville"
"1015320001","1","1532","1","203","EAST   86 STREET","10028","256810","MANHATTAN","40.778674","-73.953613","108","5","14602","1048787","Yorkville"
"1015320004","1","1532","4","1533","3 AVENUE","10028","222000","MANHATTAN","40.779061","-73.953797","108","5","14602","1077854","Yorkville"
"1015320015","1","1532","15","1740","BROADWAY","10028","57745","MANHATTAN","40.765098","-73.982095","105","4","137","1024877","Midtown-Midtown South"
"1015320016","1","1532","16","230","E 85TH ST","10028","104440","MANHATTAN","40.777787","-73.953672","108","5","14601","1048745","Yorkville"
"1015320022","1","1532","22","4","PARK AVE","10028","363388","MANHATTAN","40.746752","-73.981598","105","2","74","1017084","Midtown-Midtown South"
"1015327501","1","1532","7501","225","EAST   86 STREET","10028","64921","MANHATTAN","40.778525","-73.953259","108","5","14602","1048792","Yorkville"
"1015330001","1","1533","1","201","EAST   87 STREET","10128","510307","MANHATTAN","40.779363","-73.953151","108","5","14602","1048809","Yorkville"
"1015330022","1","1533","22","1740","BROADWAY","10128","169507","MANHATTAN","40.765098","-73.982095","105","4","137","1024877","Midtown-Midtown South"
"1015330032","1","1533","32","9","E 38TH ST","10128","130500","MANHATTAN","40.750628","-73.981918","105","4","82","1017229","Murray Hill-Kips Bay"
"1015330122","1","1533","122","770","LEXINGTON AVE","10128","148031","MANHATTAN","40.763097","-73.967562","108","4","11402","1041920","Upper East Side-Carnegie Hill"
"1015340012","1","1534","12","640","FIFTH AVENUE, 3RD F","10128","120555","MANHATTAN","40.759432","-73.977122","105","4","104","1034516","Midtown-Midtown South"
"1015347501","1","1534","7501","200","EAST   89 STREET","10128","266776","MANHATTAN","40.780606","-73.952243","108","5","14602","1073221","Yorkville"
"1015350003","1","1535","3","4","PARK AVE","10128","192445","MANHATTAN","40.746752","-73.981598","105","2","74","1017084","Midtown-Midtown South"
"1015367501","1","1536","7501","1601","3 AVENUE","10128","1968872","MANHATTAN","40.781476","-73.952044","108","5","154","1086170","Yorkville"
"1015370022","1","1537","22","1619","3RD AVE","10128","693459","MANHATTAN","40.781868","-73.951751","108","5","154","1086171","Yorkville"
"1015377501","1","1537","7501","1623","3 AVENUE","10128","1968872","MANHATTAN","40.782098","-73.951581","108","5","154","1086172","Yorkville"
"1015380001","1","1538","1","1779","2ND AVE","10128","51746","MANHATTAN","40.782097","-73.948682","108","5","154","1078601","Yorkville"
"1015380021","1","1538","21","1769","2ND AVE","10128","759187","MANHATTAN","40.781875","-73.948841","108","5","154","1078601","Yorkville"
"1015390001","1","1539","1","1663","3 AVENUE","10128","486484","MANHATTAN","40.783407","-73.95062","108","5","154","1048916","Yorkville"
"1015390010","1","1539","10","225","E 93RD ST","10128","109913","MANHATTAN","40.782968","-73.950017","108","5","154","1048917","Yorkville"
"1015397501","1","1539","7501","675","3RD AVE","10128","445989","MANHATTAN","40.750791","-73.973963","106","4","88","1037549","Turtle Bay-East Midtown"
"1015410001","1","1541","1","390","PARK AVE","10128","329850","MANHATTAN","40.75942","-73.972361","105","4","102","1035732","Midtown-Midtown South"
"1015420014","1","1542","14","325","EAST   79 STREET","10075","129350","MANHATTAN","40.773025","-73.954289","108","5","138","1049250","Yorkville"
"1015420019","1","1542","19","18","E 64TH ST","10075","431000","MANHATTAN","40.767014","-73.969856","108","4","122","1041050","Upper East Side-Carnegie Hill"
"1015420033","1","1542","33","201","E 42ND ST","10075","92854","MANHATTAN","40.750714","-73.974295","106","4","88","1037549","Turtle Bay-East Midtown"
"1015427501","1","1542","7501","301","E 79TH ST","10075","485961","MANHATTAN","40.773193","-73.954693","108","5","138","1049261","Yorkville"
"1015430009","1","1543","9","37","W 19TH ST","10075","54684","MANHATTAN","40.739647","-73.992678","105","3","54","1015466","Hudson Yards-Chelsea-Flatiron-Union Square"
"1015437501","1","1543","7501","101","PARK AVE","10075","377823","MANHATTAN","40.750992","-73.978485","105","4","80","1036144","Murray Hill-Kips Bay"
