"staten_island_cooperatives_comparable_properties_boro_block_lot","staten_island_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","staten_island_cooperatives_comparable_properties_neighborhood","staten_island_cooperatives_comparable_properties_building_classification","staten_island_cooperatives_comparable_properties_total_units","staten_island_cooperatives_comparable_properties_year_built","staten_island_cooperatives_comparable_properties_gross_sqft","staten_island_cooperatives_comparable_properties_est_gross_income","staten_island_cooperatives_comparable_properties_gross_income_per_sqft","staten_island_cooperatives_comparable_properties_full_market_value","staten_island_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"5-00327-0060","1100 CLOVE ROAD Staten Island
, NY 
(40.619132257146, -74.106602925238)","5","10301","40.619168","-74.106521","1","49","147","5008972","5003270060","Westerleigh                                                                ","CLOVE LAKES","D4-ELEVATOR","143","1967","127800","1395148","10.92","3620000","28.3","5-02877-0025","55 BOWEN STREET Staten Island
, NY 
(40.614664489609, -74.083054238405)","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2387297","15.42","5060000","32.7","1.4",,,,,,,,,,,,
"5-00101-0554","581 CASTLETON AVENUE Staten Island
, NY 
(40.634582571932, -74.101936218382)","5","10301","40.634538","-74.101779","1","49","67","5002336","5001010554","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","12","1950","10856","100527","9.26","213000","19.62","5-00115-0090","395 VICTORY BOULEVARD Staten Island
, NY 
(40.632670281, -74.086832124013)","TOMPKINSVILLE","C1-WALK-UP","17","1931","17320","142552","8.23","302000","17.44","0.7","5-00140-0051","330 BARD AVENUE Staten Island
, NY 
(40.636153116782, -74.106852177363)","WEST NEW BRIGHTON","C9-WALK-UP","13","1942","10086","96245","9.54","229000","22.7","0.35"
"5-00101-0537","545 CASTLETON AVENUE Staten Island
, NY 
(40.634362104939, -74.100657322084)","5","10301","40.634366","-74.10082","1","49","67","5108585","5001010537","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","24","1950","17418","217899","12.51","612000","35.1","5-00225-0007","290 MYRTLE AVENUE Staten Island
, NY 
(40.628487843686, -74.121683657836)","WEST NEW BRIGHTON","C9-WALK-UP","24","1973","19140","243231","12.71","757000","39.6","1.1","5-00356-0172","575 JEWETT AVENUE Staten Island
, NY 
(40.622717099332, -74.132029511029)","CASTLETON CORNERS","C9-WALK-UP","20","1969","19020","248132","13.05","773000","40.6","1.8"
"5-00597-0120","556 HOWARD AVENUE Staten Island
, NY 
(40.61860692966, -74.09378346523)","5","10301","40.618875","-74.093701","1","49","39","5154648","5005970120","Grymes Hill-Clifton-Fox Hills                                              ","GRYMES HILL","C6-WALK-UP","128","1951","121750","1475610","12.12","4150000","34.1","5-00593-0590","22 ARLO ROAD Staten Island
, NY 
(40.619664408295, -74.090954215196)","GRYMES HILL","C9-WALK-UP","165","1951","126836","2108603","16.62","7130000","56","0.3","5-01392-0002","2701 GOETHALS ROAD Staten Island
, NY 
(40.606674000105, -74.162401000006)","PORT IVORY","C9-WALK-UP","111","1984","57940","727481","12.56","2040000","35.2","4.7"
"5-00130-0049","245 FOREST AVENUE Staten Island
, NY 
(40.631829745729, -74.097799857022)","5","10301","40.631813","-74.097739","1","49","67","5003142","5001300049","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","13","1968","9810","148720","15.16","503000","51","5-00091-0017","177 CLINTON AVENUE Staten Island
, NY 
(40.640100470885, -74.097802760668)","WEST NEW BRIGHTON","C9-WALK-UP","20","1941","15888","245856","15.47","831000","52","0.5","5-00236-0027","832 POST AVENUE Staten Island
, NY 
(40.606674000105, -74.162401000006)","WEST NEW BRIGHTON","C1-WALK-UP","12","1931","8720","137411","15.76","465000","53","1.6"
"5-02986-0012","390 MARYLAND AVENUE Staten Island
, NY 
(40.609357387837, -74.073612377733)","5","10305","40.609266","-74.073749","1","49","2001","5127028","5029860012","Stapleton-Rosebank                                                         ","ROSEBANK","C6-WALK-UP","178","1974","155396","1269418","8.17","2690000","17.31","5-03157-0001","1950 CLOVE ROAD Staten Island
, NY 
(40.606004051169, -74.0866151394)","GRASMERE","D1-ELEVATOR","177","1973","180495","1890996","10.48","4010000","22.22","0.75",,,,,,,,,,,,
"5-00001-0250","44 BAY STREET LANDING Staten Island
, NY 
(40.639293167332, -74.073321337243)","5","10301","40.640154","-74.073264","1","49","3","5113337","5000010250","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","D4-ELEVATOR","17","1985","25171","285731","11.35","741000","29.4","5-00014-0001","167 CARROLL PLACE Staten Island
, NY 
(40.646867703498, -74.081996907549)","NEW BRIGHTON","C1-WALK-UP","14","1920","13644","162383","11.9","456000","33.4","0.75","5-01015-0001","137 HEBERTON AVENUE Staten Island
, NY 
(40.636779419508, -74.131313349744)","PORT RICHMOND","C1-WALK-UP","28","1933","20800","314136","15.1","1060000","51","3.1"
"5-00593-0680","151 ARLO ROAD Staten Island
, NY 
(40.619607564842, -74.094791704022)","5","10301","40.619535","-74.09497","1","49","39","5113146","5005930680","Grymes Hill-Clifton-Fox Hills                                              ","GRYMES HILL","C6-WALK-UP","24","1951","28600","358644","12.54","1010000","35.3","5-00557-0004","51 COURSEN PLACE Staten Island
, NY 
(40.619859738437, -74.079264225867)","STAPLETON","C9-WALK-UP","30","1971","19386","245257","12.65","636000","32.8","0.8","5-00736-0017","17 SHERADEN AVENUE Staten Island
, NY 
(40.61136161478, -74.138342638684)","WILLOWBROOK","C9-WALK-UP","30","1970","20460","269651","13.18","840000","41.1","2.4"
"5-00101-0525","515 CASTLETON AVENUE Staten Island
, NY 
(40.634212428287, -74.099835578569)","5","10301","40.634197","-74.099876","1","49","67","5002334","5001010525","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","16","1950","13114","113174","8.63","240000","18.3","5-00115-0090","395 VICTORY BOULEVARD Staten Island
, NY 
(40.632670281, -74.086832124013)","TOMPKINSVILLE","C1-WALK-UP","17","1931","17320","142552","8.23","302000","17.44","0.7","5-00140-0051","330 BARD AVENUE Staten Island
, NY 
(40.636153116782, -74.106852177363)","WEST NEW BRIGHTON","C9-WALK-UP","13","1942","10086","96245","9.54","229000","22.7","0.35"
"5-00138-0119","154 BARD AVENUE Staten Island
, NY 
(40.64077829151, -74.108727735798)","5","10310","40.640837","-74.107835","1","49","97","5108618","5001380119","West New Brighton-New Brighton-St. George                                  ","LIVINGSTON","C6-WALK-UP","60","1947","36600","478362","13.07","1850000","51","5-00519-0007","454 VAN DUZER STREET Staten Island
, NY 
(40.627366203804, -74.081144890075)","STAPLETON","C9-WALK-UP","52","1966","39490","598820","15.16","2020000","51","1.65","5-02148-0018","3220 VICTORY BOULEVARD Staten Island
, NY 
(40.606382356961, -74.167228779247)","BULLS HEAD","C9-WALK-UP","52","1971","34422","404717","11.76","1140000","33.1","3.95"
