"unique_key","account","opendate","complaint_type","descriptor","zip","borough","city","council_dist","community_board","closedate"
"NYCC06533570","NYCC06","2022-09-12T00:00:00.000","Parks","Parks Permits and Applications","10023","Manhattan","New York","NYCC06","07 Manhattan",
"NYCC46514662","NYCC46","2022-09-12T00:00:00.000","Finance","SCHE","11234","Brooklyn","Brooklyn","NYCC46","18 Brooklyn","2022-09-12T00:00:00.000"
"NYCC14511353","NYCC14","2022-09-12T00:00:00.000","Economy/Jobs","Workforce Dev./Training","10453","Bronx","Bronx","NYCC14","05 Bronx","2022-09-12T00:00:00.000"
"NYCC45507686","NYCC45","2022-09-12T00:00:00.000","Housing and Buildings","Emergency Repairs","11210","Brooklyn","Brooklyn","NYCC45","17 Brooklyn",
"NYCC38511603","NYCC38","2022-09-12T00:00:00.000","Housing and Buildings","NYCHA Misc.",,,,," ",
"NYCC06533561","NYCC06","2022-09-12T00:00:00.000","Economy/Jobs","Seeking Employment","10024","Manhattan","New York","NYCC06","07 Manhattan",
"NYCC06533575","NYCC06","2022-09-12T00:00:00.000","Cultural Affairs","Community Based Organization",,,"New York",," ",
"NYCC12501884","NYCC12","2022-09-12T00:00:00.000","Housing and Buildings","Landlord/Managing Agent Issues","10475","Bronx","Bronx","NYCC12","10 Bronx",
"NYCC50535985","NYCC50","2022-09-12T00:00:00.000","Transportation","Street Markings","10314","Staten Island","Staten Island","NYCC50","01 Staten Island",
"NYCC05553336","NYCC05","2022-09-12T00:00:00.000","Health",,"10075","Manhattan","New York","NYCC05","08 Manhattan",
"NYCC10511093","NYCC10","2022-09-12T00:00:00.000","Finance","SCRIE","10040","Manhattan","New York","NYCC10","12 Manhattan","2022-09-12T00:00:00.000"
"NYCC14511356","NYCC14","2022-09-12T00:00:00.000","Legal Services","Misc (Wills/Court Docs/etc.)",,,"Bronx",,,"2022-09-12T00:00:00.000"
"NYCC16502924","NYCC16","2022-09-12T00:00:00.000","Housing and Buildings",,"10456","Bronx","Bronx","NYCC17","01 Bronx",
"NYCC06533576","NYCC06","2022-09-12T00:00:00.000","General Welfare","Homeless Shelter - DHS","10025","Manhattan","New York","NYCC07","07 Manhattan","2022-09-12T00:00:00.000"
"NYCC38511607","NYCC38","2022-09-12T00:00:00.000","Consumer Affairs","Home Improvement Issues","11220","Brooklyn","Brooklyn","NYCC38","07 Brooklyn",
"NYCC38511596","NYCC38","2022-09-12T00:00:00.000","General Welfare","Food Stamps",,,,," ","2022-09-12T00:00:00.000"
"NYCC14511355","NYCC14","2022-09-12T00:00:00.000","Housing and Buildings","NYCHA Annual Inspection","10468","Bronx","Bronx","NYCC14","05 Bronx",
"NYCC48530287","NYCC48","2022-09-12T00:00:00.000","Housing and Buildings","Carbon Monoxide And/",,,,," ","2022-09-12T00:00:00.000"
"NYCC48530284","NYCC48","2022-09-12T00:00:00.000","Education","Student Transportation","11229","Brooklyn","Brooklyn","NYCC48","15 Brooklyn",
"NYCC14511347","NYCC14","2022-09-12T00:00:00.000","Housing and Buildings","Landlord/Managing Agent Issues","10452","Bronx","Bronx","NYCC14","04 Bronx",
"NYCC43510056","NYCC43","2022-09-12T00:00:00.000","Parks","Dead Tree Removal","11209",,"Brooklyn",," ","2022-09-12T00:00:00.000"
"NYCC06533558","NYCC06","2022-09-12T00:00:00.000",,,"10024","Manhattan","New York","NYCC06","07 Manhattan",
"NYCC38511599","NYCC38","2022-09-12T00:00:00.000","General Welfare","Child Support",,,"Brooklyn",," ","2022-09-12T00:00:00.000"
"NYCC46514665","NYCC46","2022-09-12T00:00:00.000","Parks","Park Maintenance","11234","Brooklyn","Brooklyn","NYCC46","18 Brooklyn",
"NYCC02530484","NYCC02","2022-09-12T00:00:00.000","Legal Services","Housing","10010","Manhattan","New York","NYCC02","06 Manhattan",
"NYCC19511426","NYCC19","2022-09-12T00:00:00.000","Housing and Buildings",,"11362","Queens","Little Neck","NYCC23","11 Queens",
"NYCC48530288","NYCC48","2022-09-12T00:00:00.000","Quality of Life","Noise - Other","11235","Brooklyn","Brooklyn","NYCC48","15 Brooklyn",
"NYCC47507878","NYCC47","2022-09-12T00:00:00.000","Immigration",,"11223","Brooklyn","Brooklyn","NYCC47","13 Brooklyn",
"NYCC38511605","NYCC38","2022-09-12T00:00:00.000","Housing and Buildings","NYCHA Building Maintenance",,,,," ",
"NYCC45507687","NYCC45","2022-09-12T00:00:00.000","Immigration","Visas","11234","Brooklyn","Brooklyn","NYCC45","18 Brooklyn",
"NYCC48530283","NYCC48","2022-09-12T00:00:00.000",,,"11235","Brooklyn","Brooklyn","NYCC48","13 Brooklyn",
"NYCC23519186","NYCC23","2022-09-12T00:00:00.000","Environment","Open Hydrants","11362","Queens","Little Neck","NYCC23","11 Queens",
"NYCC06533569","NYCC06","2022-09-12T00:00:00.000","Parks","Park Maintenance",,,"New York",," ",
"NYCC38511592","NYCC38","2022-09-12T00:00:00.000","Transportation",,"11232","Brooklyn","Brooklyn","NYCC38","07 Brooklyn",
"NYCC06533578","NYCC06","2022-09-12T00:00:00.000","Housing and Buildings","Maintenance","10025","Manhattan","New York","NYCC06","07 Manhattan",
"NYCC06533574","NYCC06","2022-09-12T00:00:00.000","Housing and Buildings","Cell Phone Towers",,,,," ",
"NYCC46514661","NYCC46","2022-09-12T00:00:00.000",,,"11234","Brooklyn","Brooklyn","NYCC46","18 Brooklyn",
"NYCC06533557","NYCC06","2022-09-12T00:00:00.000","Health",,"10024","Manhattan","New York","NYCC06","07 Manhattan",
