"serialno","sporder","pwgtp","wgtp","agep","cit","rel","sch","schg","schl","sex","esr","lanx","eng","msp","mar","wkw","wkhp","ds","jwtr","np","ten","hht","agecateg","boro","citizenstatus","educattain","est_childcare","est_commuting","est_eitc","est_ficatax","est_heap","est_housing","est_incometax","est_moop","est_nutrition","est_povgap","est_povgapindex","ethnicity","famtype_pu","ftptwork","intp_adj","mrgp_adj","nycgov_income","nycgov_pov_stat","nycgov_rel","nycgov_threshold","off_pov_stat","off_threshold","oi_adj","pa_adj","povunit_id","povunit_rel","pretaxincome_pu","retp_adj","rntp_adj","semp_adj","ssip_adj","ssp_adj","totalworkhrs_pu","wagp_adj"
"21095","4","155","177","18","4","2","2","5","8","2","6","2",,"6","5",,"0","2",,"5","1","1","2","4","2","1","0","1692","0","4834.01817","0","0","289.6258608",,"0","0","0","5","1","3","0","1121.109","55781.1359692","2","2","32583.4325158819","2","24646","0","0","1","4","63189.78","0","0","0","0","0","1","0"
"21095","5","182","177","11","4","2","2","4","3","2",,"2",,,"5",,"0","2",,"5","1","1","1","4","2","1","0","1692","0","4834.01817","0","0","289.6258608",,"0","0","0","5","1","3","0","1121.109","55781.1359692","2","2","32583.4325158819","2","24646","0","0","1","3","63189.78","0","0","0","0","0","1","0"
"21127","1","123","116","19","1","0","2","6","10","2","6","2",,"6","5",,"0","2",,"3","1","3","2","2","1","3","0","4085.6","0","7562.899395","0","0","19948.3406563",,"0","0","0","4","2","3","0","1426.866","66125.5899487","2","2","24531.9997723176","2","15277","0","0","1","4","98861.43","0","0","0","0","0","1","0"
"21127","2","251","116","46","4","4","1","0","13","1","1","2",,"1","1","52","35","2","7","3","1","3","2","2","2","4","0","4085.6","0","7562.899395","0","0","19948.3406563","1139","0","0","0","4","2","1","0","1426.866","66125.5899487","2","0","24531.9997723176","2","15277","0","0","1","1","98861.43","0","0","0","0","0","1","47901.93"
"21127","3","185","116","43","2","4","1","0","14","2","1","2",,"1","1","52","35","2","1","3","1","3","2","2","1","4","0","4085.6","0","7562.899395","0","0","19948.3406563",,"0","0","0","4","2","1","0","1426.866","66125.5899487","2","1","24531.9997723176","2","15277","0","0","1","2","98861.43","0","0","0","0","0","1","50959.5"
"21160","1","168","178","34","1","0","1","0","9","1","1","2",,"1","1","52","40","2","10","3","3","1","2","1","1","2","0","0","0","5379.794415","0","0","10512.4108251","1196","0","0","0","1","1","1","0","0","53235.9047599","2","0","21592.6566877243","2","15720","0","0","1","1","70324.11","0","1223.028","0","0","0","3","70324.11"
"21160","2","186","178","33","1","1","1","0","9","2","6","2",,"1","1",,"0","2",,"3","3","1","2","1","1","2","0","0","0","5379.794415","0","0","10512.4108251",,"0","0","0","1","1","3","0","0","53235.9047599","2","1","21592.6566877243","2","15720","0","0","1","2","70324.11","0","1223.028","0","0","0","3","0"
"21160","3","194","178","9","1","2","2","3","2","1",,"2",,,"5",,"0","2",,"3","3","1","1","1","1","1","0","0","0","5379.794415","0","0","10512.4108251",,"0","0","0","1","1","3","0","0","53235.9047599","2","2","21592.6566877243","2","15720","0","0","1","3","70324.11","0","1223.028","0","0","0","3","0"
"21305","1","82","76","73","1","0","1","0","13","2","1","2",,"3","2","52","40","2","2","1","3","6","3","3","1","4","0","940","0","1403.42463","0","0","1625.1332594","4767","0","0","0","3","8","1","0","0","19801.7621106","2","0","11369.6756032076","2","9367","0","0","1","1","28537.32","0","794.9682","0","0","10191.9","3","18345.42"
"21345","1","101","93","69","2","0","1","0","2","2","1","1","4","6","5","52","8","1","11","1","3","6","3","3","1","1","0","0","0","0","50","0","0","144","1325","3310.1025","0.2911343","4","8","2","0","0","8059.573","1","0","11369.6756032076","1","9367","0","0","1","1","6828.573","6828.573","499.4031","0","0","0","4","0"
"21362","1","217","158","25","4","0","1","0","11","1","1","1","1","1","1","52","40","2","1","4","3","1","2","4","2","3","0","2705.78","0","5691.666555","0","0","6276.8680577","340","0","0","0","4","1","1","0","0","59386.5553873","2","0","27327.235831142","2","20474","0","0","1","1","74400.87","0","1528.785","0","0","0","1","50959.5"
"21362","2","167","158","22","5","1","2","6","11","2","1","1","2","1","1","40","40","2","4","4","3","1","2","4","3","3","0","2705.78","0","5691.666555","0","0","6276.8680577",,"0","0","0","4","1","2","0","0","59386.5553873","2","1","27327.235831142","2","20474","0","0","1","2","74400.87","0","1528.785","0","0","0","1","13249.47"
"21362","3","177","158","40","5","6","1","0","12","2","1","1","3","5","4","26","24","2","4","4","3","1","2","4","3","3","0","2705.78","2662","5691.666555","0","0","6276.8680577",,"0","0","0","4","1","2","0","0","59386.5553873","2","6","27327.235831142","2","20474","0","0","1","4","74400.87","0","1528.785","0","0","0","1","10191.9"
"21362","4","162","158","14","5","6","2","5","4","2",,"1","1",,"5",,"0","2",,"4","3","1","1","4","3","1","0","2705.78","0","5691.666555","0","0","6276.8680577",,"0","0","0","4","1","3","0","0","59386.5553873","2","6","27327.235831142","2","20474","0","0","1","3","74400.87","0","1528.785","0","0","0","1","0"
"21425","1","119","111","39","1","0","1","0","13","2","1","2",,"6","5","52","40","2","2","1","3","6","2","3","1","4","0","940","0","6237.4428","0","0","22509.72873234","2773.4","0","0","0","1","8","1","713.433","0","49788.06146766","2","0","11369.6756032076","2","10160","0","0","1","1","82248.633","0","611.514","0","0","0","3","81535.2"
"21435","1","80","62","64","4","0","1","0","10","1","6","2",,"1","1",,"0","2",,"4","2","1","2","4","2","3","0","3250","0","2728.881225","0","10243.8389686205","6685.0460905","10875.72","0","0","0","2","2","3","0","0","63653.0366531205","2","0","30004.753802708","2","20144","0","0","1","1","76948.845","16918.554","0","0","0","15797.445","3","0"
"21435","2","65","62","57","1","1","1","0","9","2","1","2",,"1","1","52","40","2","5","4","2","1","2","4","1","2","0","3250","0","2728.881225","0","10243.8389686205","6685.0460905",,"0","0","0","2","2","1","0","0","63653.0366531205","2","1","30004.753802708","2","20144","0","0","1","2","76948.845","0","0","0","0","0","3","35671.65"
"21435","3","82","62","35","1","2","1","0","12","1","6","2",,"6","5",,"0","2",,"4","2","1","2","4","1","3","0","3250","0","2728.881225","0","10243.8389686205","6685.0460905",,"0","0","0","2","2","3","0","0","63653.0366531205","2","2","30004.753802708","2","20144","0","0","1","4","76948.845","0","0","0","0","0","3","0"
"21435","4","67","62","83","1","6","1","0","9","2","6","2",,"4","3",,"0","1",,"4","2","1","3","4","1","2","0","3250","0","2728.881225","0","10243.8389686205","6685.0460905",,"0","0","0","2","2","3","0","0","63653.0366531205","2","6","30004.753802708","2","20144","0","0","1","4","76948.845","0","0","0","0","8561.196","3","0"
"21469","1","174","136","32","5","0","1","0","5","1","1","1","3","1","1","52","30","2","1","6","1","1","2","4","3","1","0","1162.35","0","3118.7214","0","0","598.617984","0","428.925","0","0","3","1","2","0","3567.165","36316.835616","2","0","35077.3742766032","2","27474","0","0","1","1","40767.6","0","0","0","0","0","2","25479.75"
"21469","2","143","136","27","4","1","1","0","11","2","1","1","2","1","1","52","20","2","1","6","1","1","2","4","2","3","0","1162.35","0","3118.7214","0","0","598.617984",,"428.925","0","0","3","1","2","0","3567.165","36316.835616","2","1","35077.3742766032","2","27474","0","0","1","2","40767.6","0","0","0","0","0","2","15287.85"
"21469","3","155","136","6","1","2","2","3","2","1",,"1","2",,"5",,"0","2",,"6","1","1","1","4","1","1","0","1162.35","0","3118.7214","0","0","598.617984",,"428.925","0","0","3","1","3","0","3567.165","36316.835616","2","2","35077.3742766032","2","27474","0","0","1","3","40767.6","0","0","0","0","0","2","0"
"21469","4","186","136","3","1","2","3","1","1","2",,,,,"5",,"0",,,"6","1","1","1","4","1","1","0","1162.35","0","3118.7214","0","0","598.617984",,"428.925","0","0","3","1","3","0","3567.165","36316.835616","2","2","35077.3742766032","2","27474","0","0","1","3","40767.6","0","0","0","0","0","2","0"
"21469","5","155","136","61","5","4","1","0","5","1","6","1","4","2","1",,"0","2",,"6","1","1","2","4","3","1","0","1162.35","0","3118.7214","0","0","598.617984",,"428.925","0","0","3","1","3","0","3567.165","36316.835616","2","4","35077.3742766032","2","27474","0","0","1","4","40767.6","0","0","0","0","0","2","0"
"21469","6","148","136","60","5","4","1","0","9","2","6","1","4","2","1",,"0","2",,"6","1","1","2","4","3","2","0","1162.35","0","3118.7214","0","0","598.617984",,"428.925","0","0","3","1","3","0","3567.165","36316.835616","2","4","35077.3742766032","2","27474","0","0","1","4","40767.6","0","0","0","0","0","2","0"
"21674","1","77","74","33","4","0","1","0","13","2","3","1","1","5","4",,"0","2",,"4","3","3","2","2","2","4","0","0","0","0","0","0","-62.5","0","3137.025","13856.878","0.59279794","1","4","3","0","0","9518.503","1","0","23375.3808582208","1","19874","611.514","5707.464","1","1","6318.978","0","1121.109","0","0","0","5","0"
"21674","2","79","74","13","4","2","2","4","4","1",,"2",,,"5",,"0","1",,"4","3","3","1","2","2","1","0","0","0","0","0","0","-62.5",,"3137.025","13856.878","0.59279794","1","4","3","0","0","9518.503","1","2","23375.3808582208","1","19874","0","0","1","3","6318.978","0","1121.109","0","0","0","5","0"
"21674","3","82","74","12","1","2","2","4","3","2",,"1","1",,"5",,"0","2",,"4","3","3","1","2","1","1","0","0","0","0","0","0","-62.5",,"3137.025","13856.878","0.59279794","1","4","3","0","0","9518.503","1","2","23375.3808582208","1","19874","0","0","1","3","6318.978","0","1121.109","0","0","0","5","0"
"21674","4","79","74","6","1","2","2","2","2","1",,"2",,,"5",,"0","1",,"4","3","3","1","2","1","1","0","0","0","0","0","0","-62.5",,"3137.025","13856.878","0.59279794","1","4","3","0","0","9518.503","1","2","23375.3808582208","1","19874","0","0","1","3","6318.978","0","1121.109","0","0","0","5","0"
"21712","1","86","82","57","1","0","1","0","11","2","6","2",,"6","5",,"0","1",,"5","3","3","2","2","1","3","0","436.16","0","795.273957","50","0","-5182.66482875","1560","4316","0","0","2","4","3","0","0","33327.51417175","2","0","30004.753802708","2","23891","1223.028","0","1","1","26570.2833","11516.847","377.1003","0","0","0","4","0"
"21712","2","76","82","25","1","2","1","0","11","2","2","2",,"6","5","32","24","2",,"5","3","3","2","2","1","3","0","436.16","4158.2952","795.273957","50","0","-5182.66482875",,"4316","0","0","5","4","2","0","0","33327.51417175","2","2","30004.753802708","2","23891","662.4735","2446.056","1","4","26570.2833","0","377.1003","0","0","0","4","10395.738"
"21712","3","93","82","21","1","2","1","0","5","2","6","2",,"6","5","4","43","2",,"5","3","3","2","2","1","1","0","436.16","0","795.273957","50","0","-5182.66482875",,"4316","0","0","5","4","2","0","0","33327.51417175","2","2","30004.753802708","2","23891","0","0","1","4","26570.2833","0","377.1003","0","0","0","4","326.1408"
"21712","4","97","82","3","1","5","1","0","1","2",,,,,"5",,"0",,,"5","3","3","1","2","1","1","0","436.16","0","795.273957","50","0","-5182.66482875",,"4316","0","0","2","4","3","0","0","33327.51417175","2","5","30004.753802708","2","23891","0","0","1","3","26570.2833","0","377.1003","0","0","0","4","0"
"21712","5","97","82","3","1","5","1","0","1","2",,,,,"5",,"0",,,"5","3","3","1","2","1","1","0","436.16","0","795.273957","50","0","-5182.66482875",,"4316","0","0","2","4","3","0","0","33327.51417175","2","5","30004.753802708","2","23891","0","0","1","3","26570.2833","0","377.1003","0","0","0","4","0"
"21800","1","64","63","53","5","0","1","0","3","2","1","1","2","5","4","52","28","2","5","3","3","3","2","2","3","1","0","2564","886.66195","2385.821871","0","3944.47779234924","-415.33261152","487","0","0","0","2","6","2","0","0","30110.2025328692","2","0","24531.9997723176","2","15277","0","0","1","1","31187.214","0","947.8467","0","0","0","2","25479.75"
"21800","2","79","63","23","1","2","2","6","11","2","3","1","2","6","5",,"0","2",,"3","3","3","2","2","1","3","0","2564","0","2385.821871","0","3944.47779234924","-415.33261152",,"0","0","0","2","6","3","0","0","30110.2025328692","2","2","24531.9997723176","2","15277","0","0","1","4","31187.214","0","947.8467","0","0","0","2","0"
"21800","3","79","63","22","1","2","2","6","11","2","6","1","1","6","5","52","20","2",,"3","3","3","2","2","1","3","0","2564","0","2385.821871","0","3944.47779234924","-415.33261152",,"0","0","0","2","6","2","0","0","30110.2025328692","2","2","24531.9997723176","2","15277","0","0","1","4","31187.214","0","947.8467","0","0","0","2","5707.464"
"21812","1","147","140","71","5","0","1","0","9","2","1","2",,"3","2","52","40","2","10","1","3","6","3","2","3","2","0","0","0","2339.04105","0","0","4665.455688","4953.73","0","0","0","2","8","1","0","0","18617.473262","2","0","11369.6756032076","2","9367","0","0","1","1","30575.7","0","560.5545","0","0","0","3","30575.7"
"21893","1","58","49","63","4","0","1","0","11","1","6","2",,"1","1","8","40","2",,"4","1","1","2","1","2","3","0","1124.654","233.904105","1637.328735","0","0","-560.45889125","2082.61666667","0","0","0","3","2","2","254.7975","1324.947","30928.87398958","2","0","30004.753802708","2","20144","0","0","1","1","35213.0145","8153.52","0","0","0","5401.707","2","3057.57"
