"_2016_organization","project_address","project_title","cd","cb","_2016_award","postcode","borough","latitude","longitude","census_tract","bin","bbl","nta"
"107th Street Pier","107th St East Esplanade","Pier Renovation","8","11","250000.00",,"MANHATTAN",,,,,,
"125th Street Library Branch","224 East 125th Street","Bathroom and ADA Renovation","8","11","200000.00",,"MANHATTAN","40.803389","-73.935102","242","1054674","1017890037","East Harlem North                                                          "
"Aaron Davis Hall","150 Convent Ave New York, NY 10031","IT System Upgrade","9","9","35000.00","10031","MANHATTAN","40.818329","-73.95102","21303","1086181","1019710018","Manhattanville                                                             "
"African Services Committee","429 West 127th Street","Purchase of computer equipment","7","9","35000.00",,"MANHATTAN","40.813002","-73.953849","21303","1084104","1019670060","Manhattanville                                                             "
"Alliance for Downtown","Roughly from Battery Park to City Hall, the East River to West Street.","Light Bulbs","1","1","38000.00",,"MANHATTAN","40.70288","-74.015523","319","1000000","1000030001","park-cemetery-etc-Manhattan                                                "
"American Museum of Natural History","200 Central Park West","Construction of Richard Gilder Center for Science, Education, and Innovation","6","7","500000.00",,"MANHATTAN","40.781312","-73.972254","165","1083846","1011300001","Upper West Side                                                            "
"Americas Society","680 Park Avenue","Exterior Restoration","4","8","35000.00",,"MANHATTAN","40.768739","-73.965563","122","1041265","1013830033","Upper East Side-Carnegie Hill                                              "
"Amigos del Museo del Barrio","1230 5th Avenue","Teatro Environmental Stability","8","11","356000.00",,"MANHATTAN","40.793072","-73.951992","168","1051499","1016100001","East Harlem South                                                          "
"Animal Care and Control","11 Park Pl #805, New York, NY 10007","Ultrasound technology system","1","1","35000.00","10007","MANHATTAN","40.712828","-74.008296","21","1001399","1001240004","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Association of the Bar of the City of New York Fund, Inc","42 West 44th Street","Purchase of Phone System","4","5","51000.00",,"MANHATTAN","40.755376","-73.981368","96","1034204","1012590014","Midtown-Midtown South                                                      "
