"program_initiative","year","title","artist","partner","site_location","borough","site_type","project_type","installation","removal","latitude","longitude"
"Arterventions","2021","Beauty Comes in Many Forms","Demetrius Felder","Groundswell Community Mural Project","Dorchester Road between Malborough Road and E 16th Street","Brooklyn","Bridge","Mural","2021-10-04T00:00:00.000","2022-09-04T00:00:00.000",,
"Arterventions","2021","Murals for the Movement","Cey Adams","DUMBO BID and Street Theory","Intersection of Prospect Street and Adams Street","Brooklyn","Bridge","Mural","2021-10-01T00:00:00.000","2022-09-01T00:00:00.000",,
"Arterventions","2021","Murals for the Movement","Victor Quinonez","DUMBO BID and Street Theory","Gold Street and Sands Street","Brooklyn","Bridge","Mural","2021-10-01T00:00:00.000","2022-09-01T00:00:00.000",,
"Arterventions","2021","Broadway Lamppost Art","Frances Smith and Michelle Weinberg","Downtown Alliance and ArtBridge","Sixty-five pedestrian street light poles along Broadway between Murray Street and Beaver Street","Manhattan","Pedestrian Street Light Pole","Vinyl Wrap","2021-09-22T00:00:00.000","2021-12-15T00:00:00.000",,
"Arterventions","2021","Beacon","Beam Center Collective","Downtown Brooklyn Partnership","Albee Square, Fulton Street between Bond Street and Albee Square West","Brooklyn","Plaza","Sculpture","2021-09-21T00:00:00.000","2022-03-21T00:00:00.000",,
"Special Projects","2021","Mundillo/Little World","Samantha Holmes","Columbus Amsterdam BID","Intersection of W 97th Street and Amsterdam Avenue","Manhattan","Sidewalk","Sculpture","2021-09-15T00:00:00.000","2022-08-15T00:00:00.000",,
"Arterventions","2021","We Are the World","Mauricio Arenas","LIC Partnership","Pedestrian walkway on the bridge at Thomson Avenue between Skillman Avenue and Jackson Avenue","Queens","Bridge","Mural","2021-09-13T00:00:00.000","2022-08-13T00:00:00.000",,
"Arterventions","2021","Transformations","Hacer","Garment District Alliance","Broadway between 37th Street and 39th Street","Manhattan","Plaza","Sculpture","2021-09-12T00:00:00.000","2021-11-13T00:00:00.000",,
"Arterventions","2021","Social Block","Joshua Callaghan","Night Gallery","Flatiron Plaza South, Broadway between 22nd Street and 23rd Street","Manhattan","Plaza","Sculpture","2021-09-03T00:00:00.000","2021-11-03T00:00:00.000",,
"Asphalt Art Activations","2021","Rail Fence Runner (for Tompkinsville)","Nathan Green","Angiuli Group","Victory Boulevard between Minthorne Street and Bay Street","Staten Island","Pedestrianized Asphalt Space","Mural","2021-08-11T00:00:00.000","2022-07-11T00:00:00.000",,
"Arterventions","2021","Whenever/Wherever We Can","Olalekan Jeyifous","Meatpacking BID and ARTNOIR","Gansevoort Plaza, Gansevoort Street and Ninth Avenuve","Manhattan","Plaza","Sculpture","2021-08-10T00:00:00.000","2021-11-01T00:00:00.000",,
"Asphalt Art Activations","2021","Carpet Collage","Cara Lynch","PHNDC + DOT Public Space","Vanderbilt Avenue between Dean Street and Bergen Street","Brooklyn","Pedestrianized Asphalt Space","Mural","2021-07-31T00:00:00.000","2022-06-30T00:00:00.000",,
"Arterventions","2021","Collective Vision","Gera Lozano (GERALUZ)","Union Square Partnership","14th Street between Union Square West/University Place and Union Square East/4th Avenue","Manhattan","Pedestrianized Asphalt Space","Mural","2021-07-26T00:00:00.000","2022-06-26T00:00:00.000",,
"Arterventions","2021","Magic Hour","Steed Taylor","Garment District Alliance","Broadway between 39th Street and 40th Street","Manhattan","Pedestrianized Asphalt Space","Mural","2021-07-26T00:00:00.000","2022-06-26T00:00:00.000",,
"Arterventions","2021","Ingersoll Peace Bridge","Vincent Ballentine","Center for Court Innovation","Fleet Walk Pedestrian Bridge over Navy Street between Myrtle Avenue and Tillary Street","Brooklyn","Bridge","Mural","2021-07-07T00:00:00.000","2022-06-07T00:00:00.000",,
"Arterventions","2021","Rotation Garden","Combo Colab: Carolina Cisneros, Mateo Pinto","Howard Beach Civic Association","Lindenwood Roundabout at 153rd Avenue and 88th Street","Queens","Roundabout","Sculpture","2021-06-24T00:00:00.000","2022-05-24T00:00:00.000",,
"Arterventions","2021","Hidden Heroes: Kensington","Anna and Jordan Rathkopf","Photoville and Arts & Democracy","Avenue C Plaza, Avenue C and MacDonald Avenue","Brooklyn","Plaza","Sculpture","2021-06-24T00:00:00.000","2021-12-15T00:00:00.000",,
"Arterventions","2021","Street Seat Mural","Taller KEN (Ines Guzman and Gregory Melitonov)","Downtown Brooklyn Partnership and Alloy Development","Temple Square at Schermerhorn Street between Flatbush Avenue and Lafayette Avenue","Brooklyn","Street Seat","Mural","2021-06-18T00:00:00.000","2022-05-18T00:00:00.000",,
"Community Commissions","2021","Skywave","Julia Sinelnikova","Local Development Corporation of East New York","Broadway Junction, Intersection of Fulton Street and Van Sinderen Avenue","Brooklyn","Sidewalk","Sculpture","2021-06-16T00:00:00.000","2021-07-23T00:00:00.000",,
"Asphalt Art Activations","2021","Rice Terraces","Dasic Fernandez","Chinatown Partnership","Doyers Street between Pell Street and Bowery","Manhttan","Pedestrianized Asphalt Space","Mural","2021-06-15T00:00:00.000","2022-05-15T00:00:00.000",,
"Asphalt Art Activations","2021","Unity","Britny Lizet","Jerome Gun Hill BID","Jerome Avenue and East Gun Hill Road","Bronx","Pedestrianized Asphalt Space","Mural","2021-06-01T00:00:00.000","2022-05-01T00:00:00.000",,
"Arterventions","2021","Red Stage","Rashid Johnson","Creative Time","Astor Place Plaza, E. 8th Street between Cooper Square and Lafeyette Street","Brooklyn","Plaza","Interactive Sculpture","2021-05-31T00:00:00.000","2021-07-06T00:00:00.000",,
"Barrier Beautification","2021","Flood","Kelie Bowman","DOT Bikes","Vernon Boulevard between 40th Avenue and 30th Road","Queens","Barrier","Mural","2021-05-31T00:00:00.000","2022-04-30T00:00:00.000",,
"Barrier Beautification","2021","Caribbean Breeze","Marie Saint-Cyr","DOT Bikes","Columbia Street between Atlantic Avenue and Congress Street","Brooklyn","Barrier","Mural","2021-05-31T00:00:00.000","2022-04-30T00:00:00.000",,
"Arterventions","2021","At Home Heroes","Photoville","DUMBO BID","Manhattan Bridge Anchorage at Pearl Street and Water Street","Brooklyn","Bridge","Projection","2021-05-01T00:00:00.000","2021-06-30T00:00:00.000",,
"Arterventions","2021","Letters to 125th Street","Marcie Revens","GOH Productions and Art in Odd Places","125th Street between 12th Avenue and 3rd Avneue","Manhattan","Sidewalk","Sculpture","2021-04-30T00:00:00.000","2021-05-31T00:00:00.000",,
"Arterventions","2021","Spectrum","Kim Carlino","Garment District Alliance","7th Avenue between 34th Street and 42nd Street","Manhattan","Barrier","Mural","2021-04-26T00:00:00.000","2022-03-26T00:00:00.000",,
"Art Display Case","2021","I Still Believe in This City","Amanda Phingbodhipakkiya","NYC Commission on Human Rights","Water Street between Wall Street and Pearl Street and Gouverneur Lane between Water Street and Front Street","Manhattan","Sidewalk","Vinyl","2021-04-15T00:00:00.000","2022-03-15T00:00:00.000",,
"Arterventions","2021","Timing, Inner Dialogue & Listen","Jim Rennert","Cavalier Galleries","Pershing Square Plaza West on Park Avenue between E 41st Street and E 42nd Street","Manhattan","Plaza","Sculpture","2021-04-15T00:00:00.000","2022-03-15T00:00:00.000",,
"Arterventions","2021","Prismatica","RAW Design","Garment District Alliance","Broadway between 39th Street and 40th Street","Manhattan","Plaza","Sculpture","2021-01-08T00:00:00.000","2021-01-31T00:00:00.000",,
"Arterventions","2021","Light Year 2021","Various Artists curated by Leo Kuelbs, John Ensor Parker and Farkas Fulop","DUMBO BID","Manhattan Bridge Anchorage at Pearl Street and Water Street","Brooklyn","Bridge","Projection","2021-01-01T00:00:00.000","2021-12-01T00:00:00.000",,
"Arterventions","2020","Bombora House","Tom Fruin","Meatpacking BID","Gansevoort Plaza, Gansevoort Street and Ninth Avenuve","Manhattan","Plaza","Sculpture","2020-12-15T00:00:00.000","2021-03-15T00:00:00.000",,
"Arterventions","2020","Point of Action","Studio Cook John","Flation/23rd Street Partnership","Flatiron North and South Plazas, Broadway between 22nd Street and 24th Street","Manhattan","Plaza","Sculpture","2020-11-15T00:00:00.000","2021-01-02T00:00:00.000",,
"Asphalt Art Activations","2020","Freestyle: Radical Joy","Almond Zigmund","DOT School Safety","Macombs Road and University Avenue","Bronx","Pedestrianized Asphalt Space","Mural","2020-10-26T00:00:00.000","2021-09-26T00:00:00.000",,
"Barrier Beautification","2020","Chromatic Rings","Otra Ciudad","DOT Bikes","Franklin Street between Quay Street and 14th Street","Brooklyn","Barrier","Mural","2020-10-23T00:00:00.000","2021-09-23T00:00:00.000",,
"Barrier Beautification","2020","Oranges from Durazzano, Italy","Zara Stasi","DOT Bikes","Shore Parkway between Bay Parkway and W 22nd Street","Brooklyn","Barrier","Mural","2020-10-17T00:00:00.000","2020-09-17T00:00:00.000",,
"Arterventions","2020","Sonic Constellation","Camila Morales and Dominka Ksel","Rockaway Waterfront Alliance d/b/a RISE: Rockaway Initiative for Sustainability & Equity","Rockaway Freeway between Beach 60th Street and Beach 61st Street","Queens","Pedestrianized Asphalt Space","Sculpture","2020-10-17T00:00:00.000","2021-09-17T00:00:00.000",,
"Arterventions","2020","Concrete Connection","Richard Chance","Interboro Partners LLC and Department of Health and Mental Hygiene","Westchester Avenue and Sheridan Expressway","Bronx","Corrugated fence","Vinyl Panels","2020-10-12T00:00:00.000","2021-09-12T00:00:00.000",,
