"staten_island_cooperatives_comparable_properties_boro_block_lot","staten_island_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","staten_island_cooperatives_comparable_properties_neighborhood","staten_island_cooperatives_comparable_properties_building_classification","staten_island_cooperatives_comparable_properties_total_units","staten_island_cooperatives_comparable_properties_year_built","staten_island_cooperatives_comparable_properties_gross_sqft","staten_island_cooperatives_comparable_properties_est_gross_income","staten_island_cooperatives_comparable_properties_gross_income_per_sqft","staten_island_cooperatives_comparable_properties_full_market_value","staten_island_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"5-05229-0007","475 ARMSTRONG AVENUE Staten Island
, NY 
(40.544976260737, -74.157789473528)","5","10308","40.545041","-74.157884","3","51","15601","5109778","5052290007","Great Kills                                                                ","GREAT KILLS","C6-WALK-UP","60","1974","38647","578932","14.98","2290000","59","5-05015-0016","7 BENTON COURT Staten Island
, NY 
(40.558379717025, -74.136561398842)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","43","1971","25420","409079","16.09","1660000","65","1.45","5-05016-0005","25 BAY TERRACE Staten Island
, NY 
(40.606674000105, -74.162401000006)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","65","1976","43018","710136","16.51","2890000","67","1.4"
"5-02925-0450","295 SKYLINE DRIVE Staten Island
, NY 
(40.61300956527, -74.078916924859)","5","10304","40.613034","-74.0789","1","49","40","5000000","5029250450","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","11","2000","21865","223679","10.23","756000","34.6","5-03591-0008","261 LINCOLN AVENUE Staten Island
, NY 
(40.576986694649, -74.104670051676)","GRANT CITY","C9-WALK-UP","16","1933","12300","337758","27.5","1640000","133","2.75","5-02972-0070","162 ST MARY'S AVENUE Staten Island
, NY 
(40.614004218866, -74.072557751113)","ROSEBANK","C7-WALK-UP","11","1931","6875","205288","29.9","995000","145","0.35"
"5-00138-0119","154 BARD AVENUE Staten Island
, NY 
(40.64077829151, -74.108727735798)","5","10310","40.640837","-74.107835","1","49","97","5108618","5001380119","West New Brighton-New Brighton-St. George                                  ","LIVINGSTON","C6-WALK-UP","60","1947","36600","374418","10.23","1270000","34.7","5-01015-0001","137 HEBERTON AVENUE Staten Island
, NY 
(40.636779419508, -74.131313349744)","PORT RICHMOND","C1-WALK-UP","28","1933","20800","281893","13.55","1060000","51","1.2","5-00140-0051","330 BARD AVENUE Staten Island
, NY 
(40.636153116782, -74.106852177363)","WEST NEW BRIGHTON","C9-WALK-UP","13","1942","10086","122924","12.19","462000","45.8","0.35"
"5-00101-0537","545 CASTLETON AVENUE Staten Island
, NY 
(40.634362104939, -74.100657322084)","5","10301","40.634366","-74.10082","1","49","67","5108585","5001010537","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","24","1950","17418","134119","7.7","412000","23.65","5-00115-0090","395 VICTORY BOULEVARD Staten Island
, NY 
(40.632670281, -74.086832124013)","TOMPKINSVILLE","C1-WALK-UP","17","1931","17320","475607","27.5","2300000","133","0.7","5-00522-0034","20 COURT STREET Staten Island
, NY 
(40.627181943848, -74.080839881225)","STAPLETON","C9-WALK-UP","16","1941","17240","186709","10.83","658000","38.2","1.2"
"5-05090-0035","3482 AMBOY ROAD Staten Island
, NY 
(40.556922389091, -74.138832019937)","5","10306","40.556807","-74.139015","3","51","13203","5109754","5050900035","Great Kills                                                                ","GREAT KILLS-BAY TERRACE","C6-WALK-UP","108","1977","67000","938000","14","3720000","56","5-05460-0001","4163 AMBOY ROAD Staten Island
, NY 
(40.548472372372, -74.15508930347)","GREAT KILLS","C9-WALK-UP","24","1973","19200","275736","14.36","1090000","57","1.1","5-05015-0016","7 BENTON COURT Staten Island
, NY 
(40.558379717025, -74.136561398842)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","43","1971","25420","409079","16.09","1660000","65","0.25"
"5-00130-0049","245 FOREST AVENUE Staten Island
, NY 
(40.631829745729, -74.097799857022)","5","10301","40.631813","-74.097739","1","49","67","5003142","5001300049","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","13","1968","9810","141068","14.38","559000","57","5-00120-0105","457 VICTORY BOULEVARD Staten Island
, NY 
(40.631202422565, -74.088026655612)","SILVER LAKE","C1-WALK-UP","12","1931","10560","96753","9.16","319000","30.2","0.5","5-00140-0051","330 BARD AVENUE Staten Island
, NY 
(40.636153116782, -74.106852177363)","WEST NEW BRIGHTON","C9-WALK-UP","13","1942","10086","122924","12.19","462000","45.8","0.55"
"5-00327-0015","1000 CLOVE ROAD Staten Island
, NY 
(40.620624597504, -74.110049231229)","5","10301","40.620623","-74.109884","1","49","147","5008970","5003270015","Westerleigh                                                                ","CLOVE LAKES","D4-ELEVATOR","143","1966","127800","1315062","10.29","4440000","34.7","5-02877-0025","55 BOWEN STREET Staten Island
, NY 
(40.614664489609, -74.083054238405)","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2145073","13.85","6590000","42.6","1.4",,,,,,,,,,,,
"5-02925-0432","361 SKYLINE DRIVE Staten Island
, NY 
(40.612546177166, -74.080053831898)","5","10304","40.612556","-74.08011","1","49","40","5131611","5029250432","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","11","1999","21780","222809","10.23","753000","34.6","5-03591-0008","261 LINCOLN AVENUE Staten Island
, NY 
(40.576986694649, -74.104670051676)","GRANT CITY","C9-WALK-UP","16","1933","12300","337758","27.5","1640000","133","2.75",,,,,,,,,,,,
"5-02925-0479","46 CIRCLE LOOP Staten Island
, NY 
(40.613540506446, -74.079247074334)","5","10304","40.613569","-74.079128","1","49","40","5131612","5029250479","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","19","2000","37220","380761","10.23","1290000","34.7","5-03591-0008","261 LINCOLN AVENUE Staten Island
, NY 
(40.576986694649, -74.104670051676)","GRANT CITY","C9-WALK-UP","16","1933","12300","337758","27.5","1640000","133","2.75","5-02972-0070","162 ST MARY'S AVENUE Staten Island
, NY 
(40.614004218866, -74.072557751113)","ROSEBANK","C7-WALK-UP","11","1931","6875","205288","29.9","995000","145","0.35"
"5-00001-0216","10 BAY STREET LANDING Staten Island
, NY 
(40.638185748791, -74.073337656481)","5","10301","40.638279","-74.073756","1","49","3","5110065","5000010216","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","D0-ELEVATOR","128","1984","171935","1839705","10.7","6220000","36.2","5-00051-0001","163 JERSEY STREET Staten Island
, NY 
(40.643727817491, -74.086539225988)","NEW BRIGHTON","D3-ELEVATOR","131","1963","174895","2677642","15.31","10900000","62","0.85","5-03157-0001","1950 CLOVE ROAD Staten Island
, NY 
(40.606004051169, -74.0866151394)","GRASMERE","D1-ELEVATOR","177","1973","180495","1690099","9.36","5570000","30.9","2.55"
