"physical_address_id","location_id","address_1","address_2","city","borough","state_province","postcode","site_catchment","site_intersection_street_1","site_intersection_street_2","street_number","street_name","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"1","1","40 WORTH STREET",,"NEW YORK","Manhattan","NY","10013",,,,"40","WORTH STREET","40.71736223432259","-74.00689733252743","101","1","33","1001622","1001480015","MN24"
"2","2","36 RICHMOND TERRACE",,"STATEN ISLAND","Staten Island","NY","10301",,,,"36","RICHMOND TERRACE","40.64381010324276","-74.07637799273142","501","49","3","5000073","5000070086","SI22"
"3","3","8900 SUTPHIN BOULEVARD",,"JAMAICA","Queens","NY","11435",,,,"8900","SUTPHIN BOULEVARD","40.70370206272797","-73.8087462903471","412","24","240","4206748","4096760007","QN61"
"4","4","1 WEST 125 STREET",,"NEW YORK","Manhattan","NY","10027",,,,"1","WEST 125 STREET","40.8065220414661","-73.94249339477317","110","9","200","1053504","1017230033","MN11"
"5","5","1118 GRAND CONCOURSE",,"BRONX","Bronx","NY","10456",,,,"1118","GRAND CONCOURSE","40.83223189762735","-73.91965477267921","204","16","18102","2101266","2024620039","BX14"
"6","6","349 EAST 149 STREET",,"BRONX","Bronx","NY","10451",,,,"349","EAST 149 STREET","40.81666956272471","-73.91995897030567","201","17","65","2000933","2023317501","BX34"
"7","7","105 COURT STREET",,"BROOKLYN","Brooklyn","NY","11201",,,,"105","COURT STREET","40.69079282675378","-73.99182530224263","302","33","9","3002702","3002710023","BK09"
"8","8","1360 FULTON STREET",,"BROOKLYN","Brooklyn","NY","11216",,,,"1360","FULTON STREET","40.68018559555126","-73.94593010588461","303","36","247","3329709","3018620001","BK61"
"9","9","3049 BRIGHTON 6TH STREET",,"BROOKLYN","Brooklyn","NY","11235",,,,"3049","BRIGHTON 6TH STREET","40.57843437842163","-73.9617511906496","313","48","362","3397165","3086767501","BK19"
"10","10","126-02 82 AVENUE",,"KEW GARDENS","Queens","NY","11415",,,,"126-02","82 AVENUE","40.71373155961331","-73.82612226577379","409","29","216","4458616","4096530001","QN60"
"11","11","447 NEW LOTS AVENUE",,"BROOKLYN","Brooklyn","NY","11207",,,,"447","NEW LOTS AVENUE","40.66273113759284","-73.89108830200446","305","42","1128","3085632","3038420029","BK85"
"12","12","900 FULTON STREET",,"BROOKLYN","Brooklyn","NY","11238",,,,"900","FULTON STREET","40.68311071745809","-73.96515607400612","302","35","199","3399792","3020120032","BK69"
"13","13","2272 SECOND AVENUE",,"NEW YORK","Manhattan","NY","10035",,,,"2272","SECOND AVENUE","40.79741790638541","-73.93745928366864","111","8","188","1052974","1016880052","MN34"
"14","14","40 WORTH STREET",,"NEW YORK","Manhattan","NY","10013",,,,"40","WORTH STREET","40.71736223432259","-74.00689733252743","101","1","33","1001622","1001480015","MN24"
"15","15","199 WATER STREET",,"NEW YORK","Manhattan","NY","10038",,,,"199","WATER STREET","40.70726987051206","-74.00431378701295","101","1","1502","1001162","1000747501","MN25"
"16","16","1118 GRAND CONCOURSE",,"BRONX","Bronx","NY","10456",,,,"1118","GRAND CONCOURSE","40.83223189762735","-73.91965477267921","204","16","18102","2101266","2024620039","BX14"
"17","17","141 LIVINGSTON STREET",,"BROOKLYN","Brooklyn","NY","11201",,,,"141","LIVINGSTON STREET","40.69064705417875","-73.98834558207787","302","33","37","3000428","3001540028","BK38"
"18","18","89-17 SUTPHIN BOULEVARD",,"JAMAICA","Queens","NY","11435",,,,"89-17","SUTPHIN BOULEVARD","40.70361687332224","-73.80868522159207","412","24","240","4448759","4096800001","QN61"
"3498","3293","NO ADDRESS",,"NEW YORK","Manhattan","NY","10014","HUDSON STREET",,,,,,,,,,,,
"19","19","111 LIVINGSTON STREET",,"BROOKLYN","Brooklyn","NY","11201",,,,"111","LIVINGSTON STREET","40.69114399640502","-73.98980952026824","302","33","9","3002555","3002660001","BK09"
"20","20","60 BAY STREET",,"STATEN ISLAND","Staten Island","NY","10301",,,,"60","BAY STREET","40.64055798656306","-74.07568965455333","501","49","3","5000025","5000050051","SI22"
"21","21","230 EAST 106 STREET",,"NEW YORK","Manhattan","NY","10029",,,,"230","EAST 106 STREET","40.79103949640428","-73.94343489403855","111","8","170","1052427","1016550035","MN33"
"22","22","2090 ADAM CLAYTON POWELL JR BOULEVARD",,"NEW YORK","Manhattan","NY","10027",,,,"2090","ADAM CLAYTON POWELL JR BOULEVARD","40.80863835539116","-73.94858197022523","110","9","222","1058640","1019300030","MN11"
"23","23","260 EAST 161 STREET",,"BRONX","Bronx","NY","10451",,,,"260","EAST 161 STREET","40.82568516540547","-73.91881717346185","204","16","61","2002457","2024430100","BX14"
"24","24","111 CENTRE STREET",,"NEW YORK","Manhattan","NY","10013",,,,"111","CENTRE STREET","40.71631668018484","-74.00127699655344","101","1","31","1001833","1001690010","MN24"
"25","25","120-46 QUEENS BOULEVARD",,"KEW GARDENS","Queens","NY","11415",,,,"120-46","QUEENS BOULEVARD","40.71331259954725","-73.8286123124267","409","29","216","4080152","4033580018","QN60"
"26","25","120-46 QUEENS BOULEVARD",,"JAMAICA","Queens","NY","11415",,,,"120-46","QUEENS BOULEVARD","40.71331259954725","-73.8286123124267","409","29","216","4080152","4033580018","QN60"
"27","26","275 7 AVENUE",,"NEW YORK","Manhattan","NY","10001",,,,"275","7 AVENUE","40.74574307084613","-73.99443503265944","104","3","91","1015000","1008010001","MN13"
"28","27","1000 10 AVENUE",,"NEW YORK","Manhattan","NY","10019",,,,"1000","10 AVENUE","40.77029703162949","-73.987689017353","104","3","145","1082718","1010680001","MN14"
"29","28","210 EAST 64 STREET",,"NEW YORK","Manhattan","NY","10065",,,,"210","EAST 64 STREET","40.76446491972997","-73.963806713523","108","4","110","1043862","1014180006","MN31"
"30","29","17 EAST 102 STREET",,"NEW YORK","Manhattan","NY","10029",,,,"17","EAST 102 STREET","40.79140577061518","-73.95220307212769","111","8","168","1051492","1016080005","MN33"
"31","30","111 EAST 210 STREET",,"BRONX","Bronx","NY","10461",,,,"111","EAST 210 STREET","40.87988443518672","-73.88048062321849","207","11","421","2096399","2033270001","BX43"
"32","31","111 LIVINGSTON STREET",,"BROOKLYN","Brooklyn","NY","11201",,,,"111","LIVINGSTON STREET","40.69114399640502","-73.98980952026824","302","33","9","3002555","3002660001","BK09"
"33","32","25 ELM PLACE",,"BROOKLYN","Brooklyn","NY","11201",,,,"25","ELM PLACE","40.68945537451164","-73.98453076749979","302","33","37","3000452","3001580001","BK38"
"34","33","90-25 161 STREET",,"QUEENS","Queens","NY","11432",,,,"90-25","161 STREET","40.7051982661411","-73.7992526588385","412","24","44601","4442231","4097600001","QN61"
"35","34","1620 BRUCKNER BOULEVARD",,"BRONX","Bronx","NY","10473","Sack Wern, Clason Point Gardens, Monroe Houses",,,"1620","BRUCKNER BOULEVARD","40.82399795703586","-73.87389301486604","209","18","28","2118950","2036530050","BX09"
"36","35","92-31 UNION HALL STREET",,"JAMAICA","Queens","NY","11433",,,,"92-31","UNION HALL STREET","40.70379561685348","-73.79764470258978","412","27","44601","4215623","4101020004","QN61"
"37","36","109-20 UNION HALL STREET",,"JAMAICA","Queens","NY","11433",,,,"109-20","UNION HALL STREET","40.69412429050059","-73.79067452946326","412","28","260","4263341","4121510001","QN01"
"38","37","33-34 80 STREET",,"JACKSON HEIGHTS","Queens","NY","11372",,,,"33-34","80 STREET","40.75466047041931","-73.88711201906968","403","25","285","4442764","4012520001","QN28"
