"dbn","school_name","cohort_year","category","gender","total_cohort","total_grads","total_grads_of_cohort","total_regents","total_regents_of_cohort","total_regents_of_grads","advanced_regents","advanced_regents_of_cohort","advanced_regents_of_grads","regents_w_o_advanced","regents_w_o_advanced_of_cohort","regents_w_o_advanced_of_grads","local","local_of_cohort","local_of_grads","still_enrolled","still_enrolled_of_cohort","dropped_out","dropped_out_of_cohort"
"01M056","CORLEARS SCHOOL","2008","4 Year  June","Female","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M056","CORLEARS SCHOOL","2008","4 Year August","Female","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M056","CORLEARS SCHOOL","2001","4 Year  June","Male","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M056","CORLEARS SCHOOL","2001","5 Year  June","Male","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M056","CORLEARS SCHOOL","2001","6 Year","Male","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M056","CORLEARS SCHOOL","2003","4 Year  June","Male","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M056","CORLEARS SCHOOL","2003","5 Year  June","Male","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M056","CORLEARS SCHOOL","2003","6 Year","Male","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2003","4 Year  June","Female","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2003","5 Year  June","Female","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2003","6 Year","Female","1","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s","s"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2004","4 Year  June","Female","28","18","0.642857143","8","0.285714286","0.444444444","0","0","0","8","0.285714286","0.444444444","10","0.357142857","0.555555556","9","0.321428571","1","0.0357143"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2004","5 Year  June","Female","30","19","0.633333333","8","0.266666667","0.421052632","0","0","0","8","0.266666667","0.421052632","11","0.366666667","0.578947368","2","0.066666667","8","0.266666667"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2004","6 Year","Female","28","20","0.714285714","8","0.285714286","0.4","0","0","0","8","0.285714286","0.4","12","0.428571429","0.6","1","0.0357143","7","0.25"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2005","4 Year  June","Female","25","20","0.8","13","0.52","0.65","0","0","0","13","0.52","0.65","7","0.28","0.35","0","0","5","0.2"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2005","4 Year August","Female","25","20","0.8","13","0.52","0.65","0","0","0","13","0.52","0.65","7","0.28","0.35","0","0","5","0.2"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","2005","5 Year  June","Female","27","20","0.740740741","13","0.481481481","0.65","0","0","0","13","0.481481481","0.65","7","0.259259259","0.35","0","0","6","0.222222222"
