DEVELOPMENT,STREET ADDRESS,POSTCODE,BOROUGH,BLDG. NUMBER,TDS NUMBER,BIN,No. of FLOORS,ROOF SPACE (Sq. Ft.),ESTIMATED ROOF SOLAR CAPACITY (kW),ADJUSTED VALUE (kW),ROOF CONDITION RATING OR REPLACEMENT DATE,No. of RESIDENTIAL UNITS,No. of TOTAL UNITS,SENIOR DEVELOPMENT (YES/NO),Community Board,Council District,Census Tract,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
POLO GROUNDS TOWERS,3005 FREDERICK DOUGLASS BOULEVARD,10039,MANHATTAN,8,149,1810098,2,19804.34,67.25,47.07,3,0,0,Non-residential,10,9,24302,1021060003,Central Harlem North-Polo Grounds,,,,,,
ROBBINS PLAZA,341 EAST 70TH STREET,10021,MANHATTAN,1,218,1044841,20,8774.21,29.32,29.32,5,150,150,Yes,8,5,126,1014450023,Lenox Hill-Roosevelt Island                                                ,"(40.76673, -73.957495)",12083,23,4,1,11
ISAACS,1806 1ST AVENUE,10128,MANHATTAN,3,139,1082365,24,7942.03,33.06,33.06,3,206,207,No,8,5,152,1015730001,Yorkville                                                                  ,"(40.781684, -73.945848)",10099,23,4,1,11
ADAMS,815 EAST 152ND STREET,10455,BRONX,7,118,2091989,21,6279.41,43.92,30.74,2,143,143,No ,1,17,79,2026650001,Melrose South-Mott Haven North                                             ,"(40.815451, -73.905192)",10933,49,5,43,23
HIGHBRIDGE GARDENS,1135 UNIVERSITY AVENUE,10452,BRONX,4,78,2095218,14,7112.23,40.67,28.47,2,117,118,No,4,16,193,2025270032,Highbridge                                                                 ,"(40.837014, -73.928344)",10930,50,5,42,27
BAISLEY PARK,163-11 FOCH BOULEVARD,11434,QUEENS,2,91,4435293,8,10378.64,40.05,28.03,3,77,77,No ,12,28,278,4123350044,Baisley Park                                                               ,"(40.684336, -73.782849)",24669,41,3,46,71
KINGSBOROUGH,553 KINGSBOROUGH 5TH WALK,11233,BROOKLYN,12,10,3331200,6,10108.27,53.65,37.55,1,96,96,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.674785, -73.923648)",13516,16,2,17,49
ISAACS,419 EAST 93RD STREET,10128,MANHATTAN,1,139,1082368,24,7090.99,40.67,28.47,1,212,214,No,8,5,152,1015730001,Yorkville                                                                  ,"(40.7808, -73.94487)",10099,23,4,1,11
TODT HILL,247 WESTWOOD AVENUE,10314,STATEN ISLAND,4,42,5108965,6,10006.26,45.41,31.79,2,72,72,No,2,49,173,5007060001,New Springville-Bloomfield-Travis                                          ,"(40.606583, -74.118576)",10700,30,1,13,76
KINGSBOROUGH,154 KINGSBOROUGH 1ST WALK,11233,BROOKLYN,1,10,3331187,6,7204.66,34.31,34.31,1,72,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675095, -73.927245)",17615,16,2,17,49
ELLIOTT,466 WEST 26TH STREET,10001,MANHATTAN,2,15,1083578,11,9546.05,66.62,46.64,5,142,142,No,4,3,93,1007230001,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.74943, -74.002422)",11722,12,4,10,6
SHELTON HOUSE,89-09 162ND STREET,11432,QUEENS,1,279,4208882,12,10014.34,39.55,39.55,2,153,155,Yes,12,24,44601,4097610036,Jamaica                                                                    ,"(40.706571, -73.799061)",24340,41,3,24,61
LATIMER GARDENS,136-10 LATIMER PLACE,11354,QUEENS,2,186,4443409,10,8304.5,53.65,37.55,2,108,108,No,7,20,88901,4049510008,Flushing                                                                   ,"(40.766595, -73.831295)",13832,22,3,3,67
HIGHBRIDGE GARDENS,1075 UNIVERSITY AVENUE,10452,BRONX,2,78,2095216,14,7161.18,29.44,29.44,2,118,118,No,4,16,193,2025270032,Highbridge                                                                 ,"(40.835862, -73.929494)",10930,50,5,42,27
45 ALLEN STREET,82GAR ELDRIDGE STREET,10002,MANHATTAN,2,265,1084872,1,444.47,0,0,3,0,0,Non-residential,3,1,16,1003070001,Chinatown                                                                  ,"(40.717091, -73.9925)",11723,70,4,32,2
KINGSBOROUGH,120 KINGSBOROUGH 1ST WALK,11233,BROOKLYN,2,10,3324600,6,7154.76,29.44,29.44,1,72,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675899, -73.927169)",13516,16,2,17,49
WILSON,425 EAST 105TH STREET,10029,MANHATTAN,2,112,1079368,20,5905.75,28.45,28.45,5,94,94,No,11,8,162,1016990001,East Harlem South                                                          ,"(40.788573, -73.939638)",12426,7,4,35,14
MOTT HAVEN,388 EAST 141ST STREET,10454,BRONX,1,121,2000644,20,5044.15,30.57,30.57,5,117,117,No,1,8,39,2023030021,Mott Haven-Port Morris                                                     ,"(40.811292, -73.922115)",10932,49,5,35,23
BRACETTI PLAZA,251 EAST 3RD STREET,10009,MANHATTAN,1,264,1004617,7,18337.72,123.39,86.37,5,108,108,No,3,2,2601,1003860033,Lower East Side                                                            ,"(40.722066, -73.981504)",11729,70,4,50,5
TODT HILL,176 SCHMIDTS LANE,10314,STATEN ISLAND,7,42,5108960,6,11893.01,48.28,33.8,2,72,72,No,2,49,173,5007060001,New Springville-Bloomfield-Travis                                          ,"(40.609125, -74.11844)",10700,30,1,13,76
ADAMS,710 TINTON AVENUE,10455,BRONX,5,118,2091988,21,8189.93,27.57,27.57,2,142,142,No ,1,17,79,2026650001,Melrose South-Mott Haven North                                             ,"(40.816985, -73.90507)",10933,49,5,43,23
KINGSBOROUGH,320 KINGSBOROUGH 3RD WALK,11233,BROOKLYN,7,10,3331197,6,7145.28,40.17,28.12,1,72,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.675824, -73.925763)",13516,16,2,17,49
HIGHBRIDGE GARDENS,1065 UNIVERSITY AVENUE,10452,BRONX,1,78,2093964,13,7028.24,37.43,37.43,2,116,116,No,4,16,193,2025270032,Highbridge                                                                 ,"(40.835236, -73.929954)",10930,50,5,42,27
131 SAINT NICHOLAS AVENUE,131 SAINT NICHOLAS AVENUE,10026,MANHATTAN,1,154,1058378,17,5467.05,15.72,15.72,5,98,100,No ,10,9,218,1019220041,Central Harlem South                                                       ,"(40.803994, -73.952721)",12423,18,4,36,18
BAISLEY PARK,116-40 GUY BREWER BOULEVARD,11434,QUEENS,4,91,4435280,8,8318.36,51.53,36.07,3,75,78,No ,12,28,278,4122350022,Baisley Park                                                               ,"(40.685658, -73.783843)",24669,41,3,46,71
KINGSBOROUGH,454 KINGSBOROUGH 4TH WALK,11233,BROOKLYN,10,10,3331188,6,6881.45,35.31,35.31,1,72,72,No,8,41,307,3013440001,Crown Heights North                                                        ,"(40.67497, -73.924981)",13516,16,2,17,49
LATIMER GARDENS,34-41 LINDEN PLACE,11354,QUEENS,4,186,4443412,10,8433.34,51.53,36.07,3,104,104,No,7,20,88901,4049510008,Flushing                                                                   ,"(40.765714, -73.831084)",13832,22,3,3,67
BAISLEY PARK,116-30 GUY BREWER BOULEVARD,11434,QUEENS,5,91,4529903,8,8026.18,39.43,39.43,3,77,77,No ,12,28,278,4122350022,Baisley Park                                                               ,"(40.686109, -73.784108)",24669,41,3,46,71
OCEAN HILL APARTMENTS,386GAR SUMPTER STREET,11233,BROOKLYN,4,162,3379499,,659.13,0,0,3,,0,Non-residential,16,37,369,3015280033,Ocean Hill                                                                 ,"(40.68123, -73.909114)",13516,55,2,37,46
MOTT HAVEN,355 EAST 143RD STREET,10454,BRONX,7,121,2091103,20,5161.88,32.31,32.31,5,117,117,No,1,8,41,2023060009,Mott Haven-Port Morris                                                     ,"(40.812911, -73.922127)",10932,49,5,35,23
WILSON,435 EAST 105TH STREET,10029,MANHATTAN,3,112,1079369,20,8538.8,60.89,42.62,5,152,152,No,11,8,162,1016990001,East Harlem South                                                          ,"(40.7884, -73.939226)",12426,7,4,35,14
METRO NORTH PLAZA,307 EAST 101ST STREET,10029,MANHATTAN,1,181,1079342,7,7193.88,50.78,35.55,5,34,34,No,11,8,164,1016730006,East Harlem South                                                          ,"(40.787332, -73.944489)",12426,7,4,35,14
