"date","program_area","program_type","service_category","provider","program_site_name","borough","street_address","city","state","zipcode","latitude","longitude","x_coordinate","y_coordinate","communitydistrict","community_name","city_council_district","census_tract_2010","nda","nta","bin","bbl","geocoded_column","ntaname","totalslots","totalparticipants","contract","portfolioid"
"2020","Compass","COMPASS Explore","Afterschool Programs; Community Services; Educational Services","SCO Family of Services","Sunset Park High School","Brooklyn","153 35 STREET","Brooklyn","NY","11232","40.65570928","-74.00519705","982808","178169","Brooklyn CD 007","Brooklyn CD 007","Council District 038 Brooklyn","84","NDA007K","BK32","3394175","3006880050","POINT (-74.00519705 40.65570928)","Sunset Park West","75","99","210024A*","210024*"
"2020","Compass","COMPASS High School","Afterschool Programs; Community Services; Educational Services","Research Foundation of CUNY","Astor Collegiate Academy","Bronx","925 ASTOR AVENUE","Bronx","NY","10469","40.86042786","-73.86073303","1022698","252507","Bronx CD 011","Bronx CD 011","Council District 013 Bronx","324","NDA011X","BX07","2050179","2043580001","POINT (-73.86073303 40.86042786)","Bronxdale","58","58","151015A","151015-2"
"2020","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Play Study Win Inc","Al-Ishan Academy","Queens","130-08 ROCKAWAY BOULEVARD","Queens","NY","11420","40.67496902","-73.80830955","1037422","185244","Queens CD 010","Queens CD 010","Council District 028 Queens","818","NDA Not-defined","QN55","4254932","4117540052","POINT (-73.80830955 40.67496902)","South Ozone Park","90","120","143128A","143128"
"2020","Compass","COMPASS SONYC Pilot","Afterschool Programs; Educational Services; Family Support; Housing Support","Women In Need, Inc.",,"Brooklyn",,"Brooklyn","NY","11212",,,,,"Brooklyn CD 016","Brooklyn CD 016","Council District 037 Brooklyn",,"NDA016K","BK81",,,,"Brownsville","80","182","145006B",
"2020","Discretionary","Over Threshold","Community Services","Green City Force","Bay View Houses Farm","Manhattan","132 WEST 89 STREET","New York","NY","10024","40.78886513","-73.97184657","992046","226683","Manhattan CD 007","Manhattan CD 007","Council District 006 Manhattan","173","Out of NDA","MN12","1032308","1012190047","POINT (-73.97184657 40.78886513)","Upper West Side","N/A","N/A","68260R",
"2020","Discretionary","Over Threshold","Community Services","BRIC Arts | Media | Bklyn, Inc.","BRIC Media Center","Brooklyn","665 NEW LOTS AVENUE","Brooklyn","NY","11207","40.66534169","-73.88521113","1015935","181594","Brooklyn CD 005","Brooklyn CD 005","Council District 042 Brooklyn","1124","Out of NDA","BK82","3090726","3040900001","POINT (-73.88521113 40.66534169)","East New York","N/A","N/A","62090R",
"2020","Discretionary","Over Threshold","Community Services","Hispanic Federation, Inc","Casita Maria","Bronx","928 SIMPSON STREET","Bronx","NY","10459","40.82059264","-73.89307268","1013830","238254","Bronx CD 002","Bronx CD 002","Council District 017 Bronx","89","NDA002X","BX27","2116211","2027230033","POINT (-73.89307268 40.82059264)","Hunts Point","N/A","N/A","38694R",
"2020","Discretionary","Under Threshold","Community Services","Bronx Jewish Community Council","Bronx Jewish Community Council","Bronx","2930 WALLACE AVENUE","Bronx","NY","10467","40.869054","-73.864059","1021770","255869","Bronx CD 011","Bronx CD 011","Council District 013 Bronx","340","NDA011X","BX07","2054880","2045490022","POINT (-73.864059 40.869054)","Bronxdale","N/A","N/A","18499R",
"2020","Discretionary","Under Threshold","Community Services","CAMBA, Inc.","CAMBA","Brooklyn","1720 CHURCH AVE","Brooklyn","NY","11226","40.64933839","-73.96330699","994432","175850","Brooklyn CD 014","Brooklyn CD 014","Council District 040 Brooklyn","512","NDA014K","BK42","3341487","3050970085","POINT (-73.96330699 40.64933839)","Flatbush","N/A","N/A","22523R",
"2020","Discretionary","Under Threshold","Community Services","Jamel Gaines Creative Outlet, Inc.","Jamel Jamel Gaines Creative Outlet, Inc.","Outside of NYC","103 OLD HIGHLAND TKPE","Garrison","NY","10524","41.3511733","-73.9235592",,,,,,,"NDA Not-defined",,,,"POINT (-73.9235592 41.3511733)",,"N/A","N/A","28870R",
