"staten_island_cooperatives_comparable_properties_boro_block_lot","staten_island_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","staten_island_cooperatives_comparable_properties_neighborhood","staten_island_cooperatives_comparable_properties_building_classification","staten_island_cooperatives_comparable_properties_total_units","staten_island_cooperatives_comparable_properties_year_built","staten_island_cooperatives_comparable_properties_gross_sqft","staten_island_cooperatives_comparable_properties_estimated_gross_income","staten_island_cooperatives_comparable_properties_gross_income_per_sqft","staten_island_cooperatives_comparable_properties_estimated_expense","staten_island_cooperatives_comparable_properties_expense_per_sqft","staten_island_cooperatives_comparable_properties_net_operating_income","staten_island_cooperatives_comparable_properties_full_market_value","staten_island_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"5-03191-0061","1160 RICHMOND ROAD Staten Island
, NY 
(40.606674000105, -74.162401000006)","5","10304","40.598436","-74.091972","2","50","9601","5046935","5031910061","Old Town-Dongan Hills-South Beach                                          ","DONGAN HILLS","D4-ELEVATOR","71","1969","63600","776556","12.21","361884","5.69","414672","1980000","31.13","5-03034-0022","600 HYLAN BOULEVARD Staten Island
, NY 
(40.605386778303, -74.076177344182)","ROSEBANK","D1-ELEVATOR","136","1966","144000","1572878","10.92","966234","6.71","606644","3754000","26.07","1","5-00590-0001","700 VICTORY BOULEVARD Staten Island
, NY 
(40.625670055825, -74.092243436945)","GRYMES HILL","D3-ELEVATOR","228","1962","242500","3298026","13.6","1836213","7.57","1461813","9668000","39.87","1.91","5-00589-0044","630 VICTORY BOULEVARD Staten Island
, NY 
(40.627058462671, -74.091181336061)","GRYMES HILL","D1-ELEVATOR","60","1940","72,600","886,528","12.21","482,342","6.64","404,186","2,566,000","35.34","2.09"
"5-02833-0031","20 CLIFF STREET Staten Island
, NY 
(40.611177650284, -74.060606659565)","5","10305","40.611256","-74.060504","1","49","6","5122638","5028330031","Stapleton-Rosebank                                                         ","ARROCHAR-SHORE ACRES","D4-ELEVATOR","122","1964","146640","889200","6.06","366560","2.5","522640","3109000","21.2","5-02867-0266","220 OSGOOD AVENUE Staten Island
, NY 
(40.616201394373, -74.079127695639)","STAPLETON-CLIFTON","D1-ELEVATOR","84","1973","76206","1165001","15.29","776840","10.19","388161","2475000","32.48","1.04","5-02877-0025","55 BOWEN STREET Staten Island
, NY 
(40.614664489609, -74.083054238405)","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2466552","15.93","1638769","10.58","827783","5566000","35.94","1.31","5-02894-0001","231 STEUBEN STREET Staten Island
, NY 
(40.608353603159, -74.082243304392)","CONCORD","D1-ELEVATOR","98","1972","98,700","1,488,344","15.08","608,445","6.16","879,899","3,300,000","33.43","1.22"
"5-02925-0479","46 CIRCLE LOOP Staten Island
, NY 
(40.613540506446, -74.079247074334)","5","10304","40.613569","-74.079128","1","49","40","5131612","5029250479","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","19","2000","37220","523313","14.06","261657","7.03","261656","1299000","34.9","5-02869-0001","30 PARK HILL COURT Staten Island
, NY 
(40.619125559454, -74.077146125129)","STAPLETON-CLIFTON","C9-WALK-UP","36","1950","21187","311883","14.72","161780","7.64","150103","1036000","48.9","0.38","5-02829-0094","59 HYLAN BOULEVARD Staten Island
, NY 
(40.614736896822, -74.064919857852)","ROSEBANK","C1-WALK-UP","18","2002","19400","289307","14.91","153340","7.9","135967","874000","45.05","0.8",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00593-0680","151 ARLO ROAD Staten Island
, NY 
(40.619607564842, -74.094791704022)","5","10301","40.619535","-74.09497","1","49","39","5113146","5005930680","Grymes Hill-Clifton-Fox Hills                                              ","GRYMES HILL","C6-WALK-UP","24","1951","28600","489060","17.1","273416","9.56","215644","1111000","38.85","5-00593-0590","22 ARLO ROAD Staten Island
, NY 
(40.619664408295, -74.090954215196)","GRYMES HILL","C9-WALK-UP","165","1951","126836","2169019","17.1","1212664","9.56","956355","6913000","54.5","0","5-00595-0015","22 HOWARD AVENUE Staten Island
, NY 
(40.630032220918, -74.087220745874)","GRYMES HILL","C9-WALK-UP","251","1951","198384","3299545","16.63","1844705","9.3","1454840","10529000","53.07","0.19",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-03546-0031","35 VERA STREET Staten Island
, NY 
(40.584813458414, -74.096843962244)","5","10305","40.584741","-74.0969","2","50","11401","5116738","5035460001","Old Town-Dongan Hills-South Beach                                          ","GRANT CITY","C6-WALK-UP","20","1969","10000","140600","14.06","70300","7.03","70300","202000","20.2","5-03343-0019","194 SEAVIEW AVENUE Staten Island
, NY 
(40.587994045842, -74.095091285334)","GRANT CITY","C1-WALK-UP","15","1975","10626","133127","12.53","68514","6.45","64613","433000","40.75","0.23","5-03591-0008","261 LINCOLN AVENUE Staten Island
, NY 
(40.576986694649, -74.104670051676)","GRANT CITY","C9-WALK-UP","16","1933","12300","176259","14.33","76629","6.23","99630","690000","56.1","0.6","5-03536-0115","227 BUEL AVENUE Staten Island
, NY 
(40.586020317386, -74.094850589803)","GRANT CITY","C1-WALK-UP","12","1974","7,956","133,243","16.75","67,905","8.54","65,338","473,000","59.45","0.2"
"5-00130-0049","245 FOREST AVENUE Staten Island
, NY 
(40.631829745729, -74.097799857022)","5","10301","40.631813","-74.097739","1","49","67","5003142","5001300049","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","13","1968","9810","142539","14.53","74164","7.56","68375","426000","43.43","5-00128-0018","177 SILVER LAKE ROAD Staten Island
, NY 
(40.632816051624, -74.09666706987)","WEST NEW BRIGHTON","C1-WALK-UP","16","1931","13386","136161","10.17","68126","5.09","68035","350000","26.15","0.08","5-00236-0027","832 POST AVENUE Staten Island
, NY 
(40.606674000105, -74.162401000006)","WEST NEW BRIGHTON","C1-WALK-UP","12","1931","8720","164738","18.89","87503","10.03","77235","511000","58.6","1.61",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-00101-0525","515 CASTLETON AVENUE Staten Island
, NY 
(40.634212428287, -74.099835578569)","5","10301","40.634197","-74.099876","1","49","67","5002334","5001010525","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","16","1950","13114","118944","9.07","44588","3.4","74356","264000","20.13","5-00064-0003","155 PROSPECT AVENUE Staten Island
, NY 
(40.639522390599, -74.09274165437)","NEW BRIGHTON","C1-WALK-UP","30","1930","25660","317456","12.37","189368","7.38","128088","647000","25.21","0.59","5-00524-0004","110 CANAL STREET Staten Island
, NY 
(40.626506418948, -74.077147775418)","STAPLETON","C7-WALK-UP","9","1931","8100","46665","5.76","16068","1.98","30597","373000","46.05","1.41",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-02925-0432","361 SKYLINE DRIVE Staten Island
, NY 
(40.612546177166, -74.080053831898)","5","10304","40.612556","-74.08011","1","49","40","5131611","5029250432","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","11","1999","21780","306227","14.06","153113","7.03","153114","760000","34.89","5-02869-0001","30 PARK HILL COURT Staten Island
, NY 
(40.619125559454, -74.077146125129)","STAPLETON-CLIFTON","C9-WALK-UP","36","1950","21187","311883","14.72","161780","7.64","150103","1036000","48.9","0.38","5-02829-0094","59 HYLAN BOULEVARD Staten Island
, NY 
(40.614736896822, -74.064919857852)","ROSEBANK","C1-WALK-UP","18","2002","19400","289307","14.91","153340","7.9","135967","874000","45.05","0.8",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"5-05090-0035","3482 AMBOY ROAD Staten Island
, NY 
(40.556922389091, -74.138832019937)","5","10306","40.556807","-74.139015","3","51","13203","5109754","5050900035","Great Kills                                                                ","GREAT KILLS-BAY TERRACE","C6-WALK-UP","108","1977","67000","694004","10.36","309739","4.62","384265","2391000","35.69","5-05016-0005","25 BAY TERRACE Staten Island
, NY 
(40.606674000105, -74.162401000006)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","65","1976","43018","727195","16.9","431213","10.02","295982","2140000","49.75","0.16","5-04657-0021","1881 RAILROAD AVENU Staten Island
, NY 
(40.564113294809, -74.127979352561)","OAKWOOD","C9-WALK-UP","12","1974","9100","126916","13.95","55749","6.13","71167","344000","37.8","0.77","5-04655-0070","25 WINDEMERE AVENUE Staten Island
, NY 
(40.56428918472, -74.129094783915)","OAKWOOD","C9-WALK-UP","16","1963","10,000","130,700","13.07","67,200","6.72","63,500","423,000","42.3","0.84"
"5-02925-0450","295 SKYLINE DRIVE Staten Island
, NY 
(40.61300956527, -74.078916924859)","5","10304","40.613034","-74.0789","1","49","40","5000000","5029250450","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","11","2000","21865","307422","14.06","153711","7.03","153711","763000","34.9","5-02869-0001","30 PARK HILL COURT Staten Island
, NY 
(40.619125559454, -74.077146125129)","STAPLETON-CLIFTON","C9-WALK-UP","36","1950","21187","311883","14.72","161780","7.64","150103","1036000","48.9","0.38","5-02829-0094","59 HYLAN BOULEVARD Staten Island
, NY 
(40.614736896822, -74.064919857852)","ROSEBANK","C1-WALK-UP","18","2002","19400","289307","14.91","153340","7.9","135967","874000","45.05","0.8",,," "," "," "," "," "," "," "," "," "," "," "," "," "
