"fiscal_year","principal","total_interest","total_debt_service"
"2022","2173910000.00","146664150.00","2320574150.00"
"2023","2467251000.00","142787400.00","2610038400.00"
"2024","2496371000.00","139732350.00","2636103350.00"
"2025","2419110500.00","137820450.00","2556930950.00"
"2026","2347716000.00","136141200.00","2483857200.00"
"2027","2148705500.00","133527750.00","2282233250.00"
"2028","2094345500.00","128108100.00","2222453600.00"
"2029","1999485500.00","121547550.00","2121033050.00"
"2030","1665325500.00","118293150.00","1783618650.00"
"2031","1619315500.00","115509900.00","1734825400.00"
"2032","1643485500.00","111801750.00","1755287250.00"
"2033","1553945500.00","108339000.00","1662284500.00"
"2034","1498950500.00","105535500.00","1604486000.00"
"2035","1498640500.00","102738750.00","1601379250.00"
"2036","1334250500.00","99311550.00","1433562050.00"
"2037","1227400500.00","92806800.00","1320207300.00"
"2038","1163145500.00","84645000.00","1247790500.00"
"2039","1019175500.00","74380200.00","1093555700.00"
"2040","936726000.00","64312800.00","1001038800.00"
"2041","915235500.00","54970500.00","970206000.00"
"2042","876555500.00","44082750.00","920638250.00"
"2043","802610500.00","34899750.00","837510250.00"
"2044","742300500.00","27875250.00","770175750.00"
"2045","598960500.00","21183900.00","620144400.00"
"2046","514680500.00","15679200.00","530359700.00"
"2047","303571000.00","8122200.00","311693200.00"
"2048","200435500.00","2508600.00","202944100.00"
"2049","122006000.00",,"122006000.00"
"2050","127415500.00",,"127415500.00"
"2051","63336000.00",,"63336000.00"
"2052","500.00",,"500.00"
"2053","1000.00",,"1000.00"
"2054","500.00",,"500.00"
"2055","1000.00",,"1000.00"
"After","500.00","2660.00","3160.00"
