"feeid","buildingid","boroid","boro","housenumber","streetname","zip","block","lot","lifecycle","feetypeid","feetype","feesourcetypeid","feesourcetype","feesourceid","feeissueddate","feeamount","dofaccounttype","doftransferdate","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"1085867","56","1","MANHATTAN","1134","1 AVENUE","10065","1457","3","Standing Building","5","Heat Inspection Fee","7","VIOLATION","13531635","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.761673","-73.960448","8","5","10602","1045314","1014570003","Lenox Hill-Roosevelt Island"
"1085868","56","1","MANHATTAN","1134","1 AVENUE","10065","1457","3","Standing Building","6","Hot Water Inspection Fee","7","VIOLATION","13531634","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.761673","-73.960448","8","5","10602","1045314","1014570003","Lenox Hill-Roosevelt Island"
"1085869","116943","2","BRONX","2328","UNIVERSITY AVENUE","10468","3212","42","Standing Building","6","Hot Water Inspection Fee","7","VIOLATION","13570924","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.861234","-73.906291","7","14","253","2014603","2032120042","Kingsbridge Heights"
"1085870","185753","3","BROOKLYN","172","ATLANTIC AVENUE","11201","286","12","Standing Building","5","Heat Inspection Fee","7","VIOLATION","13568536","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.690036","-73.993657","6","39","45","3002977","3002860012","Carroll Gardens-Columbia Street-Red Hook"
"1085871","209491","3","BROOKLYN","461","BERRIMAN STREET","11208","4454","60","Standing Building","5","Heat Inspection Fee","7","VIOLATION","13571425","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.667156","-73.877585","5","42","1118","3098388","3044540060","East New York"
"1085872","226830","3","BROOKLYN","378","COURT STREET","11231","351","31","Standing Building","5","Heat Inspection Fee","7","VIOLATION","13570908","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.681371","-73.996391","6","39","65","3004823","3003510031","Carroll Gardens-Columbia Street-Red Hook"
"1085873","226830","3","BROOKLYN","378","COURT STREET","11231","351","31","Standing Building","6","Hot Water Inspection Fee","7","VIOLATION","13570927","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.681371","-73.996391","6","39","65","3004823","3003510031","Carroll Gardens-Columbia Street-Red Hook"
"1085874","289149","3","BROOKLYN","455","ELTON STREET","11208","4034","6","Standing Building","5","Heat Inspection Fee","7","VIOLATION","13568531","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.671869","-73.882908","5","42","1164","3089536","3040340006","East New York"
"1085875","546873","4","QUEENS","116-25","134 STREET","11420","11690","54","Standing Building","5","Heat Inspection Fee","7","VIOLATION","13571248","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.678237","-73.806032","10","28","178","4252971","4116900054","South Ozone Park"
"1085876","585489","4","QUEENS","119-27","191 STREET","11412","12647","57","Standing Building","5","Heat Inspection Fee","7","VIOLATION","13571463","2020-01-29T00:00:00.000","200","240","2020-02-05T00:00:00.000","40.688696","-73.758646","12","27","394","4272566","4126470057","St. Albans"
"1085877","43026","1","MANHATTAN","452","WEST 164 STREET","10032","2110","70","Standing Building","8","INSPECTION FEE","2","Complaint","167830","2020-01-29T00:00:00.000","200","243","2020-02-05T00:00:00.000","40.836877","-73.938022","12","10","24301","1062622","1021100070","Washington Heights South"
"1085878","42499","1","MANHATTAN","508","WEST 151 STREET","10031","2082","40","Standing Building","3","AEP Complaint Inspection Fee","3","Route for Inspection","1148347","2020-01-27T00:00:00.000","200","236","2020-02-05T00:00:00.000","40.829256","-73.945411","9","7","237","1062158","1020820040","Hamilton Heights"
