"the_geom","ats_code","loc_code","loc_name","managed_by","lcc","primarybui","bin","bbl","address","city","boronum","state","zip","geodistric","adimindist","xcoordinat","ycoordinat"
"POINT (-73.94573096597053 40.68565309004158)","13K305","K305","P.S. 305 Dr. Peter Ray","1","2","K305","3051458","3018190014.0","344 MONROE STREET","BROOKLYN","3","NY","11216","13","13","999301","189083"
"POINT (-73.91268628037136 40.87737994424796)","10X546","X546","Bronx Theatre High School","1","5","X475","1064532","1022150080.0","99 TERRACE VIEW AVENUE","BRONX","2","NY","10463","10","10","1008396","258943"
"POINT (-73.93160407079581 40.678478957335344)","16K765","K765","Nelson Mandela High School","1","5","K455","3047996","3017010001.0","1700 FULTON STREET","BROOKLYN","3","NY","11213","16","16","1003221","186472"
"POINT (-73.91499080011087 40.706837826727366)","24Q305","Q305","Learners and Leaders","1","2","Q245","4081817","4034280015.0","378 SENECA AVENUE","QUEENS","4","NY","11385","24","24","1007819","196808"
"POINT (-73.97609348831935 40.718276709591464)","01M696","M696","Bard High School Early College","1","5","M097","1004062","1003250025.0","525 EAST HOUSTON STREET","MANHATTAN","1","NY","10002","1","1","990877","200965"
"POINT (-73.93546123548681 40.80565373169666)","84M384","M384","Success Academy Charter School - Harlem 2","2","15","M030","1054502","1017760020.0","144-176 EAST 128 STREET","MANHATTAN","1","NY","10035","5","84","1002117","232805"
"POINT (-73.91859140251242 40.86550796607648)","84M478","M478","Inwood Academy for Leadership Charter School","2","4","MBTQ","1064788","1022230016.0","3896 10 Avenue","Manhattan","1","NY","10034","6","84","1006767","254616"
"POINT (-73.94566397000118 40.714772288881186)","14K132","K132","P.S. 132 The Conselyea School","1","2","K132","3068728","3027590001.0","320 MANHATTAN AVENUE","BROOKLYN","3","NY","11211","14","14","999313","199692"
"POINT (-73.92078496346474 40.64781831626433)","18K285","K285","I.S. 285 Meyer Levin","1","3","K285","3104599","3047440001.0","5909 BEVERLY ROAD","BROOKLYN","3","NY","11203","18","18","1006232","175304"
"POINT (-73.9349516852213 40.81698091594655)","84M085","M085","Global Community Charter School","2","2","M838","1083991","1017390033.0","2350 5TH AVENUE","MANHATTAN","1","NY","10037","5","84","1002255","236932"
"POINT (-73.92114057671385 40.82257426918292)","84X614","X614","DREAM Mott Haven Charter School","2","2","X151","2002458","2024430190.0","250 EAST 156 STREET","BRONX","2","NY","10451","7","84","1006076","238973"
"POINT (-73.90514063510639 40.66876837584904)","23K150","K150","P.S. 150 Christopher","1","2","K150","3084012","3037440009.0","364 SACKMAN STREET","BROOKLYN","3","NY","11212","23","23","1010565","182941"
"POINT (-73.9551886523501 40.66956180490129)","79K981","K981","ALC- W.E.B Dubois","1","8","K824","3032886","3012670001.0","402 EASTERN PARKWAY","BROOKLYN","3","NY","11225","17","79","996681","183219"
"POINT (-73.74989164387614 40.60401913060031)","27Q319","Q319","Village Academy","1","3","Q053","4298234","4155570025.0","10-45 NAMEOKE STREET","QUEENS","4","NY","11691","27","27","1053700","159436"
