"vac_date","num","pf","location_1","typ","sf","bor","date_of_lif","area_vac","div","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"5/19/2008","1234",,"INTERVALE","AVE",,"BX",,"ENTIRE BLDG","6","10459","40.82894","-73.894516","3","17","125","2010459","2029740009","Morrisania-Melrose                                                         "
"5/31/2008","1556",,"PARKER","ST",,"BX",,"BASEMENT","6","10462","40.838231","-73.850162","10","18","202","2041683","2039720043","Westchester-Unionport                                                      "
"3/17/2009","1420",,"CROTONA","AVE",,"BX",,"ENTIRE BUILDING","6","10456","40.83429","-73.898082","3","16","151","2009823","2029370032","Morrisania-Melrose                                                         "
"7/3/2009","414","E","140","ST",,"BX",,"3rd floor and one room 2nd floor","6","10454","40.810042","-73.921112","1","8","39","2000289","2022840015","Mott Haven-Port Morris                                                     "
"1/27/2010","1698",,"DAVIDSON","AVE",,"BX",,"2ND FLOOR REAR","7","10453","40.846981","-73.914002","5","14","217","2008349","2028610024","University Heights-Morris Heights                                          "
"2/12/2010","366",,"BRONX PARK","AVE",,"BX",,"ENTIRE BUILDING","7","10460","40.839171","-73.876065","6","15","60","2028372","2039080003","Crotona Park East                                                          "
"2/23/2010","1312",,"BUSHWICK","AVE",,"BR",,"2ND & 3RD FLOOR","15","11207","40.686333","-73.912594","4","37","401","3078980","3034140047","Bushwick South                                                             "
"3/16/2010","1233",,"BOYNTON","AVE",,"BX",,"BASEMENT","6","10472","40.82974","-73.878497","9","18","54","2025209","2037730061","West Farms-Bronx River                                                     "
"4/23/2010","838",,"MONROE","ST",,"BR",,"3RD FLOOR AND 8&10 ON 4TH","15","11221","40.688676","-73.922601","3","41","375","3039657","3014810021","Stuyvesant Heights                                                         "
"6/21/2010","685",,"GREENE","AVE",,"BR",,"4TH FLOOR FRONT & REAR","11","11221","40.689562","-73.941137","3","36","279","3050315","3017960068","Stuyvesant Heights                                                         "
"9/15/2010","90-03",,"196","ST",,"QU",,"CELLAR","13",,,,,,,,,
"9/20/2010","130-11",,"ATLANTIC","AVE",,"QU",,"BASEMENT & 2ND FLOOR","13",,,,,,,,,
"11/10/2010","2368",,"DAVIDSON","AVE",,"BX",,"BASEMENT","7","10468","40.860674","-73.903652","7","14","239","2014272","2031980072","Fordham South                                                              "
"12/9/2010","1443",,"TAYLOR","AVE",,"BX",,"BASEMENT FRONT","7","10460","40.836275","-73.866172","9","18","218","2028224","2038990049","West Farms-Bronx River                                                     "
"1/4/2011","1535",,"63","ST",,"BR",,"ALL FLOORS","8","11219","40.623969","-73.99505","11","38","250","3132691","3055300019","Bensonhurst West                                                           "
"1/20/2011","90-71",,"PITKIN","AVE",,"QU",,"GAS PUMP AREA","13",,,,,,,,,
"4/20/2011","146","W","28","ST",,"MA",,"FLOOR 4 AND 5","1",,,,,,,,,
"5/2/2011","1812",,"WALLACE","AVE",,"BX",,"ENTIRE","7","10462","40.846298","-73.863629","11","13","232","2043613","2040530011","Van Nest-Morris Park-Westchester Square                                    "
"5/3/2011","1039",,"LOWELL","ST",,"BX",,"BASEMENT","6","10459","40.82598","-73.887266","2","17","12102","2006300","2027570124","Hunts Point                                                                "
"5/10/2011","302",,"5","STR",,"BR",,"2ND FLOOR FRONT","11","11215","40.67218","-73.985523","6","39","137","3021334","3009870024","Park Slope-Gowanus                                                         "
"5/10/2011","440",,"IRVING","AVE",,"BR",,"1ST FLOOR AND CELLAR","11","11237","40.69633","-73.909671","4","37","435","3077349","3033780042","Bushwick North                                                             "
"5/17/2011","1131",,"FOREST","AVE",,"BX",,"3RD FLOOR & 4TH FLOOR","6","10456","40.827632","-73.902302","3","16","135","2004632","2026510034","Morrisania-Melrose                                                         "
"5/17/2011","1129",,"FOREST","AVE",,"BX",,"3RD & 4TH FLOORS","6","10456","40.827589","-73.90232","3","16","135","2004633","2026510035","Morrisania-Melrose                                                         "
"5/17/2011","1133",,"FOREST","AVE",,"BX",,"ENTIRE BUILDING","6","10456","40.827679","-73.902284","3","16","135","2004631","2026510033","Morrisania-Melrose                                                         "
"5/24/2011","1165",,"GERARD","AVE",,"BX",,"APARTMENT # 22 FRONT ROOM","6","10452","40.83453","-73.920826","4","16","197","2003003","2024880041","West Concourse                                                             "
"5/24/2011","173-01",,"91","AVE",,"QU",,"BASEMENT","13",,,,,,,,,
"6/1/2011","134-06",,"140","ST",,"QU",,"CELLAR","13",,,,,,,,,
"6/1/2011","650",,"MARCY","AVE",,"BR",,"1ST FLR FRONT; 3RD & 4TH FLR","11","11206","40.692204","-73.948585","3","36","253","3049457","3017740048","Bedford                                                                    "
"6/2/2011","309","E","94","ST",,"BR",,"CELLAR","15","11209","40.617794","-74.033002","10","43","58","3155238","3061070001","Bay Ridge                                                                  "
"6/2/2011","1233",,"BOYNTON","AVE",,"BX",,"BASEMENT & 2ND FLOOR","6","10472","40.82974","-73.878497","9","18","54","2025209","2037730061","West Farms-Bronx River                                                     "
"6/11/2011","82","W","105","STR",,"MA",,"CELLAR & 1ST FLOOR","3",,,,,,,,,
"6/18/2011","2686",,"3","AVE",,"BX",,"ENTIRE BUILDING","6","10454","40.813485","-73.922535","1","8","41","2000650","2023060001","Mott Haven-Port Morris                                                     "
"6/24/2011","309","E","94","ST",,"BR",,"Cellar - 4 apts","15","11209","40.617794","-74.033002","10","43","58","3155238","3061070001","Bay Ridge                                                                  "
"7/6/2011","669",,"JEFFERSON","PLA",,"BX",,"BSMT, 1, 2 & 3","6","10456","40.832962","-73.898655","3","16","151","2009791","2029350063","Morrisania-Melrose                                                         "
"7/7/2011","1209",,"TINTON","AVE",,"BX",,"ENTIRE BUILDING","6","10456","40.829445","-73.900315","3","17","151","2004766","2026630054","Morrisania-Melrose                                                         "
"7/17/2011","1991",,"MORRIS","AVE",,"BX",,"FLR 1-3","7","10453","40.851504","-73.907099","5","14","241","2007932","2028290017","Mount Hope                                                                 "
"7/17/2011","1989",,"MORRIS","AVE",,"BX",,"FLR 2 & 3","7","10453","40.851463","-73.907136","5","14","241","2007933","2028290018","Mount Hope                                                                 "
"8/12/2011","1702",,"CLAY","AVE",,"BX",,"BASEMENT","6","10457","40.844026","-73.90488","4","15","165","2009330","2028890015","Claremont-Bathgate                                                         "
"9/19/2011","522","W","136","ST",,"MA",,"6 BASEMENT APTS","6",,,,,,,,,
