"borough","restaurantname","seatingchoice","legalbusinessname","businessaddress","restaurantinspectionid","issidewaycompliant","isroadwaycompliant","skippedreason","inspectedon","agencycode","postcode","latitude","longitude","communityboard","councildistrict","censustract","bin","bbl","nta"
"Queens","International Coffee Shop Corp.","both","International Coffee Shop Corp.","5940 Myrtle Ave","10004",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T16:45:03.000","DEP","11385","40.700509","-73.898312","5","34","557","4086686","4035870027","Ridgewood"
"Brooklyn","ACRE","both","25 BROADWAY BROOKLYN INC","64 MESEROLE","10006",,"Compliant",,"2020-07-14T16:46:42.000","DOB","11222",,,,,,,,
"Bronx","D'Angel Billiards","both","D'Angel Billiards Corp","857 East 149th Street","10007",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T16:46:54.000","DOT","10455","40.811896","-73.903882","2","8","83","2096003","2026030051","Longwood"
"Queens","incheon restaurant","roadway","incheon restaurant","16225  depot rd.","10008",,"Skipped Inspection","No Seating","2020-07-14T16:47:09.000","DOT","11358","40.761989","-73.802912","7","19","1171","4119562","4052850033","Murray Hill"
"Brooklyn","Masal Cafe & Lounge","both","Mercy Bakery Cafe LLC","1901 Emmons Avenue","10009",,"Non-Compliant",,"2020-07-14T16:48:16.000","DOB","11235","40.583565","-73.949432","15","48","608","3326914","3087750041","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"Brooklyn","Yemen Cafe & Restaurant","both","Yemen Cafe & Restaurant","176  Atlantic ave","1001",,"Compliant",,"2020-07-04T14:11:49.000","DEP","11201","40.690006","-73.993538","6","39","45","3002979","3002860014","Carroll Gardens-Columbia Street-Red Hook"
"Brooklyn","King Solomon Restaurant","roadway","Baku palace kosher midwood inc","1787 Coney Island ave","10010",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T16:48:33.000","DOT","11230","40.613827","-73.963089","14","48","542","3181192","3067490073","Midwood"
"Brooklyn","El Nuevo Caribe Restaurant","both","El Nuevo Caribe Restaurant","214  Central Ave","10012",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T16:48:45.000","DOB","12221","40.697996","-73.924999","4","34","421","3073771","3032430042","Bushwick South"
"Manhattan","Pastrami Queen","both","Jonah's Pastrami LLC","233 W 49th Street","10014",,"Skipped Inspection","No Seating","2020-07-14T16:49:18.000","DOB","10019","40.761102","-73.985218","5","3","125","1088603","1010217501","Midtown-Midtown South"
"Queens","JM COFFEE SHOP & BAKERY CORP.","both","JM COFFEE SHOP & BAKERY CORP.","17106 JAMAICA AVENUE","10015",,"Non-Compliant",,"2020-07-14T16:49:34.000","DOT","11432","40.707480","-73.788566","12","27","444","4217494","4102120017","Jamaica"
"Queens","Hatfields","both","SBC Holdings","40-05  Bell Blvd","10016",,"Non-Compliant",,"2020-07-14T16:50:18.000","DOB","11361","40.764151","-73.771253","11","19","1123","4138270","4062880008","Bayside-Bayside Hills"
"Queens","House of Thai","both","TJH MAHASARN LLC","2501 40th Ave","10017",,"Skipped Inspection","No Seating","2020-07-14T16:50:32.000","DOB","11101","40.753434","-73.937818","1","26","33","4004782","4003960001","Queensbridge-Ravenswood-Long Island City"
"Brooklyn","Cafe Argentino","both","Cafe Argentino Inc.","499 Grand Street","10018",,"Compliant",,"2020-07-14T16:50:47.000","DOT","11211","40.710957","-73.951197","1","34","513","3062729","3023870020","North Side-South Side"
"Queens","La Bonanza Bakery","both","La Bonanza Bakery Corp","9314 Liberty ave","10019",,"Skipped Inspection","No Seating","2020-07-14T16:51:01.000","DOT","11417","40.680202","-73.845636","10","32","54","4190997","4091620007","Ozone Park"
"Manhattan","Third Avenue Ale House","roadway","92nd and 3rd Rest. Corp","1644 3rd Ave","1002",,"Non-Compliant",,"2020-07-04T14:12:27.000","DOT","10128","40.782732","-73.951140","8","5","15801","1048352","1015210033","Upper East Side-Carnegie Hill"
"Brooklyn","Mika","sidewalk","The black Squirrel Crew LLC","25-29  Thames Street","10020",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T16:51:39.000","DOT","11206","40.704876","-73.932086","1","34","453","3071495","3031020027","Bushwick North"
"Manhattan","Maiden Lane","both","Yardbird LLC","162  Avenue B","10021",,"Compliant",,"2020-07-14T16:51:41.000","DOB","10009","40.727066","-73.979774","3","2","34","1005141","1004040033","East Village"
"Queens","Wings & seafood","both","Wings & seafood inc","785 Fairview ave ridgewood","10022",,"Skipped Inspection","No Seating","2020-07-14T16:53:04.000","DOT","11385",,,,,,,,
"Manhattan","Travertino","both","Travertino LLC","118 E 116th","10023",,"Skipped Inspection","No Seating","2020-07-14T16:54:22.000","DOT","10029",,,,,,,,
"Queens","Finback Brewery","sidewalk","Narwhal LLC","7801 77th Ave","10024",,"Under Review",,"2020-07-14T16:54:32.000","DOT","11385","40.706558","-73.873087","5","30","63302","4092400","4038030092","Glendale"
"Manhattan","Dough","both","Dough Brooklyn LLC","14 West 19","10025",,"Non-Compliant",,"2020-07-14T16:55:28.000","DEP","10011","40.739403","-73.992144","5","3","54","1015458","1008200054","Hudson Yards-Chelsea-Flatiron-Union Square"
"Manhattan","The Back Room","both","Proletariat V Inc","102  Norfolk","10026",,"Skipped Inspection","No Seating","2020-07-14T16:56:03.000","DOT","10002","40.718820","-73.987125","3","1","1402","1004299","1003530049","Lower East Side"
"Queens","Portofino restaurant","both","Portovino. Restaurant","109 32 As an ave. Forest hills","10027",,"Compliant",,"2020-07-14T16:56:20.000","DOT","11375",,,,,,,,
"Manhattan","Ding Hot Pot & BBQ","both","FJ 48 Corp","234 W48th St.","10028",,"Skipped Inspection","No Seating","2020-07-14T16:56:41.000","DOB","10036","40.760454","-73.985655","5","3","125","1024764","1010190055","Midtown-Midtown South"
"Brooklyn","The Rogers Garden","both","Swig BK Inc.","708 Rogers Avenue","10029",,"Compliant",,"2020-07-14T16:57:25.000","DOT","11226","40.654245","-73.952867","17","40","822","3389798","3050650072","Prospect Lefferts Gardens-Wingate"
"Manhattan","Altesi Downtown","both","Restaurant Ventures of NY Inc.","200 Spring Street","1003",,"Compliant",,"2020-07-04T14:13:00.000","DEP","10012","40.725188","-74.003269","2","3","47","1007353","1004890017","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","FAA BAR AND GRILL CORP","both","FAA BAR AND GRILL CORP","141 NAGLE AVENUE","10030",,"Compliant",,"2020-07-14T16:57:38.000","DOT","10040","40.861031","-73.926276","12","10","283","1064153","1021730025","Washington Heights North"
"Queens","El Tecolote Bar","both","Pico de Gallo Inc","8212 82nd st","10031",,"Compliant",,"2020-07-14T16:58:15.000","DOB","11372",,,,,,,,
"Brooklyn","DOC WINE BAR","both","DOC WINE BAR 1ST AVE INC","83  N 7th street","10032",,"Compliant",,"2020-07-14T16:58:16.000","DOT","11249","40.719648","-73.960620","1","33","557","3324805","3023170026","North Side-South Side"
"Queens","MR. MARIO POLLOS A LA BRASA INC.","both","MR. MARIO POLLOS A LA BRASA INC","18 04 COLLEGE POINT BLVD","10033",,"Compliant",,"2020-07-14T16:59:18.000","DOB","11356","40.782988","-73.845877","7","19","925","4098304","4040830022","College Point"
"Queens","Dylan's Forest Hills","both","B.A.M. BAR LLC","103-19 Metropolitan Ave","10034",,"Compliant",,"2020-07-14T17:00:27.000","DOT","11375","40.710216","-73.849256","6","29","731","4077531","4032400045","Forest Hills"
"Queens","HALALBEES INC","both","HALALBEES INC","182-26 HILLSIDE AVENUE","10035",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T17:01:11.000","DOB","11432","40.713660","-73.779593","12","27","470","4212426","4099190026","Jamaica"
"Manhattan","The Bread Factory Cafe","both","AA BC Bakery Cafe Corp","470 7th Avenue","10036",,"Under Review",,"2020-07-14T17:02:15.000","DOT","10018","40.751949","-73.989941","5","3","109","1014430","1007850041","Midtown-Midtown South"
"Queens","Cantina 33 Inc","both","Cantina 33 Inc","5533  Myrtle Avenue","10037",,"Skipped Inspection","No Seating","2020-07-14T17:02:24.000","DEP","11385","40.699981","-73.907505","5","34","551","4082441","4034510006","Ridgewood"
"Queens","Taj Mahal Lounge Corp","both","Taj Mahal Lounge Corp","25-27  Steinway Street","10038",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T17:02:56.000","DEP","11103","40.767566","-73.911993","1","22","143","4011431","4006840135","Astoria"
"Manhattan","Motorino","both","Motorino 3 inc","510 Columbus","10039",,"Non-Compliant",,"2020-07-14T17:03:59.000","DOB","10024",,,,,,,,
"Queens","J & C Delicias","both","J & C Delicias","37-61  79th st","1004",,"Non-Compliant",,"2020-07-04T14:13:03.000","DEP","11372","40.749097","-73.887024","3","25","285","4029981","4012900047","Jackson Heights"
"Queens","KANG TONG BBQ","both","DADO FISH RESTAURANT CORP.","14920 41ST AVE.","10040",,"Compliant",,"2020-07-14T17:06:49.000","DOT","11355","40.762239","-73.815206","7","20","1167","4114863","4050540031","Murray Hill"
"Queens","Little Saigon Cuisine","both","Little Saigon Cuisine Inc.","253-09 Northern Blvd","10041",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T17:07:34.000","DOB","11362","40.770829","-73.735376","11","19","1479","4169410","4081320053","Douglas Manor-Douglaston-Little Neck"
"Manhattan","I LOVE PANZEROTTI NY, LLC","both","I LOVE PANZEROTTI NY, LLC","130 St Marks Pl","10042",,"Non-Compliant",,"2020-07-14T17:07:34.000","DOB","10009","40.727207","-73.984396","3","2","32","1005836","1004350029","East Village"
"Queens","nest restaurant","both","keds 1 corp","125-17 101 ave","10043",,"Skipped Inspection","Sidewalk Seating Only","2020-07-14T17:08:59.000","DOT","11419","40.691469","-73.820692","9","28","154","4199967","4094680022","Richmond Hill"
