"_10_digit_bbl","required_to_report_automated","borocode","block","lot","number_of_buildings","tax_class","building_class","street_number","street_name","postcode","borough","dof_square_footage","latitude","longitude","community_board","council_district","census_tract","bin","nta"
"1000047501","No","1","4","7501","1","2","R0","1","WATER STREET","10038","Manhattan","2542563","40.702444","-74.012742","101","1","9","1000005","Battery Park City-Lower Manhattan"
"1000050010","No","1","5","10","1","4","O4","115","BROAD STREET","10004","Manhattan","1016406","40.702486","-74.011357","101","1","9","1000007","Battery Park City-Lower Manhattan"
"1000057501","No","1","5","7501","1","2","R0","125","BROAD STREET","10004","Manhattan","1354691","40.702112","-74.011249","101","1","9","1000006","Battery Park City-Lower Manhattan"
"1000080051","Yes","1","8","51","1","4","H2","6","WATER STREET","10004","Manhattan","102407","40.702744","-74.012201","101","1","9","1090472","Battery Park City-Lower Manhattan"
"1000087501","Yes","1","8","7501","1","2","R0","39","WHITEHALL STREET","0","Manhattan","169061","40.703037","-74.012969","101","1","9","1087700","Battery Park City-Lower Manhattan"
"1000090001","No","1","9","1","1","4","O4","34","WHITEHALL STREET","10004","Manhattan","692431","40.703034","-74.012991","101","1","9","1000018","Battery Park City-Lower Manhattan"
"1000090014","No","1","9","14","1","4","O4","17","STATE STREET","10004","Manhattan","544015","40.702798","-74.014246","101","1","9","1000020","Battery Park City-Lower Manhattan"
"1000090029","No","1","9","29","1","4","O4","24","STATE STREET","10004","Manhattan","896956","40.703534","-74.014387","101","1","9","1000021","Battery Park City-Lower Manhattan"
"1000100001","No","1","10","1","1","4","K4","100","BROAD STREET","10004","Manhattan","26013","40.703512","-74.011606","101","1","9","1000022","Battery Park City-Lower Manhattan"
"1000100014","No","1","10","14","1","4","O4","33","WHITEHALL STREET","10004","Manhattan","365792","40.703312","-74.013038","101","1","9","1000023","Battery Park City-Lower Manhattan"
"1000100016","No","1","10","16","1","4","O4","90","BROAD STREET","10004","Manhattan","336025","40.703954","-74.011592","101","1","9","1000025","Battery Park City-Lower Manhattan"
"1000100023","No","1","10","23","1","4","O4","1","WHITEHALL STREET","10004","Manhattan","321994","40.703973","-74.013164","101","1","9","1000027","Battery Park City-Lower Manhattan"
"1000100033","Yes","1","10","33","1","4","H2","8","STONE STREET","10004","Manhattan","143731","40.704025","-74.012638","101","1","9","1087618","Battery Park City-Lower Manhattan"
"1000110021","No","1","11","21","1","4","O4","80","BROAD STREET","10004","Manhattan","361710","40.704322","-74.011581","101","1","9","1000038","Battery Park City-Lower Manhattan"
"1000110029","No","1","11","29","1","4","H2","11","STONE STREET","10004","Manhattan","59410","40.704039","-74.012317","101","1","9","1000041","Battery Park City-Lower Manhattan"
"1000130005","No","1","13","5","1","4","O4","11","BROADWAY","10004","Manhattan","434220","40.705354","-74.013731","101","1","13","1000044","Battery Park City-Lower Manhattan"
"1000130027","No","1","13","27","1","4","O4","25","BROADWAY","10004","Manhattan","809401","40.705752","-74.013374","101","1","13","1000045","Battery Park City-Lower Manhattan"
