"id","hpd_building_id","address","bbl","bin","council_district","community_district","census_tract_2010","neighborhood_tabulation_area","zip_code","borough","latitude","longitude","total_ih_floor_area","transferred_ih_floor_area","remaining_ih_floor_area","property_type","geocoding_method"
"222","889579","20 NORTH 5 STREET","3023407502","3391206","33","1","55500","BK73","11249","Brooklyn","40.71919566","-73.96346116","120224","14131","106093","Both","Geocoded on BBL"
"235","906562","320 WEST 38 STREET","1007610043","1087840","3","4","11100","MN13","10018","Manhattan","40.7550038","-73.99288004","114450.1","114450.1","0","Both","Geocoded on BBL"
"238","912853","505 WEST 37 STREET","1007090031","1088724","3","4","9900","MN13","10018","Manhattan","40.75706805","-73.9981678","0","138595","0","Compensated Development","Geocoded on BBL"
"239","913216","20 EAST 23 STREET","1008517505","1087769","2","5","5600","MN13","10010","Manhattan","40.74051862","-73.98810581","0","7818","0","Compensated Development","Geocoded on BBL"
"241","914056","312 11 AVENUE","1007010062","1088120","3","4","9900","MN13","10001","Manhattan","40.75266545","-74.00297551","64486","64486","0","Both","Geocoded on BBL"
"243","923028","22 NORTH 6 STREET","3023327502","3397446","33","1","55500","BK73","11249","Brooklyn","40.71976915","-73.96293776","0","70803","0","Compensated Development","Geocoded on BBL"
"263","934119","305 EAST 85 STREET","1015487502","1088093","5","8","14601","MN32","10028","Manhattan","40.77727847","-73.95174888","0","5957.5","0","Compensated Development","Geocoded on BBL"
"265","934364","1269 LEXINGTON AVENUE","1015147502","1088463","5","8","14801","MN40","10028","Manhattan","40.77901743","-73.95545199","0","14813.5","0","Compensated Development","Geocoded on BBL"
"267","934933","450 WEST 42 STREET","1010517502","1088437","3","4","11500","MN15","10036","Manhattan","40.75904943","-73.99497312","0","36343","0","Compensated Development","Geocoded on BBL"
"293","944527","59 FROST STREET","3027320030","3418255","34","1","51500","BK73","11211","Brooklyn","40.71785373","-73.94960941","38062","35453","2609","Both","Geocoded on BBL"
