"company_name","street_number","street_name","city","state","zip_code","unit","borough_name","borough_code","community_district","census_tract","nta_neighborhood_tabulation","nta_name","latitude","longitude","bbl_borough_block_lot","bin_building_identification"
"A.T.J. Electrical Co. Inc.","122-11","15th Ave.","College Point","NY","11356",,"QUEENS","4","407","929","QN23","College Point","40.784234","-73.845604","4040850036","4098344"
"AECOM","125","Broad Street","New York","NY","10004","15th Floor","MANHATTAN","1","101","9","MN25","Battery Park City-Lower Manhattan","40.702112","-74.011249","1000057501","1000006"
"AECOM","125","Broad Street","New York","NY","10004","15th Floor","MANHATTAN","1","101","9","MN25","Battery Park City-Lower Manhattan","40.702112","-74.011249","1000057501","1000006"
"AECOM","125","Broad Street,","New York","NY","10004","15th Floor","MANHATTAN","1","101","9","MN25","Battery Park City-Lower Manhattan","40.702112","-74.011249","1000057501","1000006"
"AECOM","125","Broad Street","New york","NY","10004","15th Floor","MANHATTAN","1","101","9","MN25","Battery Park City-Lower Manhattan","40.702112","-74.011249","1000057501","1000006"
"Agarabi Engineering PLLC","155","Water Street","Brooklyn","NY","11201","Suite 615","BROOKLYN","3","302","21","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","40.703147","-73.987864","3000290016","3000026"
"All HVAC Service Co. Inc. dba Bright Energy Services","9030","Fort Hamilton Parkway","Brooklyn","NY","11209",,"BROOKLYN","3","310","160","BK31","Bay Ridge","40.617625","-74.026936","3060890042","3154818"
"All HVAC Service Co. Inc. dba Bright Energy Services","9030","Fort Hamilton Parkway","Brooklyn","NY","11209",,"BROOKLYN","3","310","160","BK31","Bay Ridge","40.617625","-74.026936","3060890042","3154818"
"Altpower Inc.","85","Broad Street","New York","NY","10004","18th Fl","MANHATTAN","1","101","9","MN25","Battery Park City-Lower Manhattan","40.704215","-74.011559","1000290001","1066031"
"Approved Electrical Contractors Inc.","1436","Hylan Blvd","Staten Island","NY","10305",,"STATEN IS","5","502","70","SI36","Old Town-Dongan Hills-South Beach","40.593293","-74.086931","5033500019","5049538"
"Approved Electrical Contractors Inc.","1436","Hylan Blvd","Staten Island","NY","10305",,"STATEN IS","5","502","70","SI36","Old Town-Dongan Hills-South Beach","40.593293","-74.086931","5033500019","5049538"
"Approved Electrical Contractors Inc.","1436","Hylan Blvd","Staten Island","NY","10305",,"STATEN IS","5","502","70","SI36","Old Town-Dongan Hills-South Beach","40.593293","-74.086931","5033500019","5049538"
