"gender","training_entity","training_site","borough","district","school","class_number","adaptive_class","session","session_date_range","school_year","first_day_of_class","number_of_sessions_attended"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Female","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","River Bank","Brooklyn","23","P.S. 137","201","false","Session #2","January - March","2020-2021","2020-01-08T00:00:00.000","0"
"Male","NYC Parks","Brownsville","Brooklyn","17","P.S 394","201","false","Session #2","January - March","2020-2021","2020-01-07T00:00:00.000","0"
