"the_geom","addr","boro","category","genborough","generating","lat","lon","oer_projec","oer_proj_1","recborough","receiving_","status","uid","volume_cy","weight_ton"
,"GreenThumb HQ","Queens","Receiving","Queens","97-11 Sutphin Blvd",,,"17TMP0431Q",,,,"Completed","19CCSB113","90","135"
"POINT (-73.926391 40.691478)","1003 Greene Ave","Brooklyn","Receiving","Brooklyn","63 North 6th Street","40.691478","-73.926391","15CVCP028K","15EHAN368K (and BCP)",,,"Completed","16CCSB048","220","330"
"POINT (-73.979744 40.698401000000004)","Admiral's Row","Brooklyn","Receiving","Queens","38-01 Queen Boulevard","40.698401","-73.979744",,"DEP",,,"Completed","17CCSB092","1000","1,500"
"POINT (-73.834251 40.759885)","2 Fulton Square","Queens","Generating",,,"40.759885","-73.834251",,"OEM","Manhattan","Wards Island","Completed","16CCSB066","500","750"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q",,"Brooklyn","2175 Bergen Street","Completed","20CCSB150","460","690"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","N/A-BCP","Brooklyn","215 North 10th Street","Completed","20CCSB143","1300","1,950"
"POINT (-74.020936 40.657099)","Bush Terminal Pond","Brooklyn","Receiving","Queens","52-01 Queens Blvd","40.657099","-74.020936","12CVCP066Q","Parks",,,"Completed","13CCSB001","2040","3060"
"POINT (-73.933709 40.700345)","Rheingold block 3152","Brooklyn","Generating",,,"40.700345","-73.933709","15CVCP072K","13CVCP149K","Brooklyn","1875 Atlantic","Completed","16CCSB060","500","750"
"POINT (-73.896939 40.649136)","Ponderosa","Brooklyn","Receiving","Queens","97-11 Sutphin Blvd","40.649136","-73.896939","17TMP0431Q",,,,"Completed","19CCSB113","120","180"
"POINT (-73.784764 40.712026)","178-02 Hillside Avenue","Queens","Generating",,,"40.712026","-73.784764","15CVCP038Q","12EHAZ363K","Brooklyn","500 Metropolitan Avenue","Completed","17CCSB077","4000","6,000"
"POINT (-73.858075 40.728102)","98-04 Queens Boulevard","Queens","Generating",,,"40.728102","-73.858075","19TMP1900Q","N/A","Bronx","560 Brook Ave","Completed","20CCSB135","400","600"
