"district","school","borough","address","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2","P.S. / I.S. @ WESTERN RAILYARDS","MANHATTAN","WEST 30TH STREET AND 11TH AVENUE",,,,,,,,,
"2","P.S. @ 28-42 TRINITY PLACE","MANHATTAN","28-42 TRINITY PLACE","10006","40.706979","-74.013508","101","1","13","1000796","1000190013","Battery Park City-Lower Manhattan"
"2","P.S. @ 2 HUDSON SQUARE","MANHATTAN","2 HUDSON SQUARE",,,,,,,,,
"7","P.S. @ 639 ST. ANN'S AVENUE","BRONX","639 ST. ANN'S AVENUE","10455","40.816532","-73.911747","201","17","71","2115801","2023590100","Melrose South-Mott Haven North"
"8","P.S. 138 ADDITION","BRONX","2060 LAFAYETTE AVENUE","10473","40.822665","-73.853366","209","18","74","2022289","2036090016","Soundview-Castle Hill-Clason Point-Harding Park"
"9","P.S. @ 1302 EDWARD L. GRANT HIGHWAY","BRONX","1302 EDWARD L GRANT HIGHWAY","10452","40.838744","-73.921721","204","16","219","2000000","2028710061","Highbridge"
"9","P.S. @ 2075 WEBSTER AVENUE","BRONX","2075 WEBSTER AVENUE","10457","40.851741","-73.898493","205","15","379","2013297","2031420048","Mount Hope"
"10","JONAS BRONCK ACADEMY","BRONX","400 EAST FORDHAM ROAD","10458","40.8609","-73.891931","206","15","38302","2116415","2030337501","Fordham South"
"10","P.S. @ 2355 MORRIS AVENUE","BRONX","2355 MORRIS AVENUE","10468","40.859668","-73.900982","205","14","239","2000000","2031830045","Fordham South"
"11","P.S. 87 ADDITION","BRONX","1935 BUSSING AVENUE","10466","40.895104","-73.845968","212","12","428","2069061","2050180001","Woodlawn-Wakefield"
"11","P.S. 105 ADDITION","BRONX","725 BRADY AVENUE","10462","40.852398","-73.866617","211","13","22404","2048794","2042880001","Pelham Parkway"
"11","P.S. 108 ADDITION","BRONX","1166 NEILL AVENUE","10461","40.854726","-73.853227","211","13","288","2048608","2042750001","Pelham Parkway"
