"dbn","school_name","location_category_description","complaints","material_incidents","race","ethnicity_national_origin","religion","weight","disability","gender_identity_expression","sex","sexual_orientation","unnamed_column","bullying_har"
"01M448","University Neighborhood High School","High school","*","*","0","0","0","0","0","0","0","0",,
"01M509","Marta Valle High School","High school","*","*","*","*","0","0","0","*","*","0",,
"01M650","Cascades High School","High school","*","*","0","0","0","0","0","0","0","0",,
"01M696","Bard High School Early College","High school","*","*","*","0","0","0","0","0","0","0",,
"02M047","47 The American Sign Language and English Secondar","High school","*","0","0","0","0","0","0","0","0","0",,
"02M135","The Urban Assembly School for Emergency Management","High school","*","*","0","0","0","0","0","0","0","0",,
"02M139","Stephen T. Mather Building Arts & Craftsmanship Hi","High school","*","0","0","0","0","0","0","0","0","0",,
"02M280","Manhattan Early College School for Advertising","High school","*","0","0","0","0","0","0","0","0","0",,
"02M282","Urban Assembly Maker Academy","High school","*","*","0","0","0","0","0","0","0","0",,
"02M288","Food and Finance High School","High school","*","*","0","0","0","0","0","0","0","0",,
"02M294","Essex Street Academy","High school","*","*","0","0","0","*","0","0","0","0",,
"02M296","High School of Hospitality Management","High school","*","*","0","0","0","0","0","*","0","0",,
"02M298","Pace High School","High school","10","*","0","0","*","0","0","0","*","0",,
"02M300","Urban Assembly School of Design and Construction,","High school","*","*","0","0","0","0","0","0","0","0",,
"02M303","Facing History School, The","High school","*","*","0","0","0","0","0","0","0","0",,
"02M305","Urban Assembly Academy of Government and Law, The","High school","*","0","0","0","0","0","0","0","0","0",,
"02M308","Lower Manhattan Arts Academy","High school","*","*","0","0","0","0","*","0","0","0",,
"02M316","Urban Assembly School of Business for Young Women,","High school","6","*","*","*","0","0","0","0","0","0",,
"02M374","Gramercy Arts High School","High school","*","*","0","0","0","0","0","0","0","0",,
"02M376","NYC iSchool","High school","*","*","0","0","0","0","0","0","0","0",,
"02M392","MANHATTAN BUSINESS ACADEMY","High school","*","*","0","0","0","0","0","*","0","0",,
"02M393","Business Of Sports School","High school","6","*","0","0","0","0","0","0","0","0",,
"02M399","The High School For Language And Diplomacy","High school","*","*","0","*","0","0","0","0","0","0",,
"02M400","High School for Environmental Studies","High school","14","*","0","0","0","0","0","*","0","0",,
"02M411","Baruch College Campus High School","High school","8","*","*","0","*","0","0","*","0","0",,
"02M412","N.Y.C. Lab School for Collaborative Studies","High school","*","*","0","0","0","0","0","0","0","0",,
"02M414","N.Y.C. Museum School","High school","*","*","0","0","0","0","0","*","0","0",,
"02M416","Eleanor Roosevelt High School","High school","*","*","*","0","0","0","0","0","0","0",,
"02M419","Landmark High School","High school","*","*","0","0","0","0","0","*","0","0",,
"02M420","High School for Health Professions and Human Servi","High school","*","0","0","0","0","0","0","0","0","0",,
"02M425","Leadership and Public Service High School","High school","*","*","0","0","0","0","0","0","0","0",,
"02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE","High school","*","*","0","0","0","0","0","0","0","0",,
