"admin_district","_2021_complaints_sept_jan","_2021_material_incidents","race","ethnicity_or_national_origin","religion","gender","weight","gender_identity_expression","disability","sexual_orientation"
"01","16","8","*","0","0","*","0","0","0","0"
"02","89","40","*","*","*","*","*","*","0","*"
"03","31","15","*","*","*","*","*","*","0","0"
"04","9","*","0","0","0","0","0","0","0","0"
"05","*","*","0","0","0","0","0","0","0","0"
"06","14","8","*","*","0","0","0","0","0","0"
"07","20","14","*","0","0","0","0","0","*","0"
"08","26","10","*","*","0","*","*","0","0","*"
"09","20","11","0","0","0","0","0","0","0","*"
"10","59","32","7","0","*","*","0","0","*","*"
"11","42","20","*","0","0","0","0","0","0","*"
"12","16","12","0","0","0","0","0","*","0","*"
"13","38","26","14","*","*","0","0","*","*","*"
"14","21","11","0","0","0","*","0","0","0","*"
"15","18","11","0","0","0","0","0","0","*","0"
"16","6","6","0","0","0","0","0","0","0","0"
"17","12","8","*","0","0","0","0","0","0","0"
"18","*","*","0","0","0","0","0","0","0","0"
"19","10","*","0","0","0","0","0","0","0","0"
"20","47","15","*","*","*","*","*","0","0","*"
"21","54","33","*","*","*","*","*","*","0","*"
"22","27","9","*","0","0","*","*","0","*","*"
"23","6","*","0","0","0","0","0","0","0","0"
"24","42","25","*","*","*","*","*","*","0","*"
"25","45","23","*","*","*","0","*","*","0","*"
"26","48","23","8","*","0","*","*","0","0","0"
"27","43","26","8","*","0","*","*","*","*","*"
"28","46","34","10","*","*","0","*","*","0","*"
"29","13","*","0","0","0","0","0","0","*","0"
"30","39","18","*","*","0","*","*","*","0","*"
"31","95","40","7","0","0","*","*","*","0","*"
"32","*","*","*","0","0","0","0","0","0","*"
"75","30","11","0","0","0","0","0","0","0","0"
"79","9","6","*","*","0","0","0","0","0","0"
"Grand Total","1002","517","88","25","12","18","26","15","8","39"
