PSI Testing Center,Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
PSI Exam Services,"34 Marconi St, Suite 210, Bronx, NY 10461",Bronx,10461,40.847753,-73.842355,11,13,284,2097368,2042260015,Van Nest-Morris Park-Westchester Square,"(40.847753, -73.842355)",11270,59,5,12,32
New York Business Institute,"124 E 40th St, Suite 801, New York, NY 10016",Manhattan,10016,40.750309,-73.977367,6,4,80,1019491,1008950078,Murray Hill-Kips Bay,"(40.750309, -73.977367)",12078,71,4,51,9
Brainseed Testing Center - Staten Island,"1911 Richmond Ave, Suite 130, Staten Island, NY 10314",Staten Island,10314,40.601198,-74.163174,2,50,27301,5095323,5020300016,New Springville-Bloomfield-Travis,"(40.601198, -74.163174)",10700,30,1,14,75
New View Testing Centers,"3250 Westchester Ave, Suite 126, Bronx, NY 10461",Bronx,10461,40.852293,-73.828464,10,13,300,2047463,2042390005,Pelham Bay-Country Club-City Island,"(40.852293, -73.828464)",11270,43,5,12,28
ACS Professional Testing,"135-41 37th Ave, 4th Floor, Flushing, NY 11354",Queens,11354,40.761364,-73.83164,7,20,869,4584155,4049710059,Flushing,"(40.761364, -73.83164)",13832,22,3,3,67
PSI Exam Services,"71-19 80th St, Suite 8307, Ridgewood, NY 11385",Queens,11385,40.707663,-73.869359,5,30,637,4439862,4038100350,Glendale,"(40.707663, -73.869359)",15310,54,3,34,62
Kennedy Online Training Center,"54 Macdonough St, Brooklyn, NY 11216",Brooklyn,11216,40.680929,-73.944383,3,36,269,3053461,3018540025,Bedford,"(40.680929, -73.944383)",17618,69,2,49,51
Brainseed Testing Center - Queens,"102-40 67th Dr, Forest Hills, NY 11375",Queens,11375,40.726349,-73.85107,6,29,71303,4051272,4021360021,Forest Hills,"(40.726349, -73.85107)",14786,40,3,28,70
Alliance Computing Solutions,"545 8th Ave, Suite 1210, New York, NY 10018",Manhattan,10018,40.754296,-73.991944,4,3,111,1013622,1007610033,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.754296, -73.991944)",12080,12,4,10,8
Horizon Technical Consultants,"6921 164th St, Suite 9, Fresh Meadows, NY 11365",Queens,11365,40.7327,-73.804997,8,24,122701,4000000,4069310038,Pomonok-Flushing Heights-Hillcrest,"(40.7327, -73.804997)",14507,25,3,24,65
Brainseed Testing Center - Times Square,"566 7th Ave, New York, NY 10018",Manhattan,10018,40.755009,-73.987717,5,3,113,1024648,1010120032,Midtown-Midtown South,"(40.755009, -73.987717)",12080,11,4,10,8
