"month","cash_assistance_medical_assistance","supplemental_security_income_medical_assistance","nursing_home_medical_assistance","medical_assistance_only","total_hra_enrolled_medical_assistance_individuals"
"2022-07-01T00:00:00.000","417500","346928","33527","703479","1467907"
"2022-06-01T00:00:00.000","408150","346399","33229","719933","1474482"
"2022-05-01T00:00:00.000","402103","346755","33320","737557","1486415"
"2022-04-01T00:00:00.000","406416","347506","33265","760344","1514266"
"2022-03-01T00:00:00.000","397303","348069","33134","771774","1517146"
"2022-02-01T00:00:00.000","394494","350450","33264","781779","1526723"
"2022-01-01T00:00:00.000","386855","350839","33098","798388","1536082"
"2021-12-01T00:00:00.000","376757","351679","32775","820223","1548659"
"2021-11-01T00:00:00.000","360289","351812","32641","832435","1544536"
"2021-10-01T00:00:00.000","354765","352278","32609","848301","1555344"
"2021-09-01T00:00:00.000","343301","352869","32167","863037","1559207"
"2021-08-01T00:00:00.000","347292","353332","32206","866098","1566722"
"2021-07-01T00:00:00.000","364867","354454","32101","879589","1598910"
"2021-06-01T00:00:00.000","368628","355227","31463","867198","1591053"
"2021-05-01T00:00:00.000","373938","357085","31937","861134","1592157"
"2021-04-01T00:00:00.000","373211","358582","31467","856824","1588617"
"2021-03-01T00:00:00.000","371703","360665","31289","846439","1578807"
"2021-02-02T00:00:00.000","370114","362641","31585","836581","1569336"
"2021-01-01T00:00:00.000","367295","364098","31444","832154","1563547"
"2020-12-01T00:00:00.000","364018","365674","31389","819954","1549646"
"2020-11-01T00:00:00.000","368080","367641","31243","814041","1549762"
"2020-10-01T00:00:00.000","378781","368449","31218","807848","1555078"
"2020-09-01T00:00:00.000","382901","369698","31500","797684","1550283"
"2020-08-01T00:00:00.000","390335","370358","31479","791194","1551887"
"2020-07-01T00:00:00.000","389362","371300","31530","792116","1552778"
"2020-06-01T00:00:00.000","387045","373538","26900","780638","1541221"
"2020-05-01T00:00:00.000","376153","375335","28378","780613","1532101"
"2020-04-01T00:00:00.000","347056","379796","29072","776978","1503830"
"2020-03-01T00:00:00.000","317742","382419","29043","792501","1492662"
"2020-02-01T00:00:00.000","319914","383596","29281","801895","1505405"
"2020-01-01T00:00:00.000","316943","384728","29063","806836","1508507"
"2019-12-01T00:00:00.000","316082","385803","29134","814397","1516282"
"2019-11-01T00:00:00.000","325125","387087","29272","827019","1539231"
"2019-10-01T00:00:00.000","321343","387482","29472","835148","1543973"
"2019-09-01T00:00:00.000","321856","387635","29557","847109","1556600"
"2019-08-01T00:00:00.000","327827","383793","29399","854291","1570911"
"2019-07-01T00:00:00.000","322114","389488","30038","862126","1573728"
"2019-06-01T00:00:00.000","327961","390622","30118","874924","1593507"
"2019-05-01T00:00:00.000","324433","391685","30259","886737","1602855"
"2019-04-01T00:00:00.000","325468","392184","30368","896795","1614447"
"2019-03-01T00:00:00.000","331680","394372","30524","903454","1629506"
"2019-02-01T00:00:00.000","334088","395600","90768","903483","1633171"
"2019-01-01T00:00:00.000","334881","396767","30963","915580","1647228"
"2018-12-01T00:00:00.000","334223","397669","31022","926558","1658450"
"2018-11-01T00:00:00.000","341846","398280","30898","936246","1676372"
"2018-10-01T00:00:00.000","337875","398523","30535","950731","1687129"
"2018-09-01T00:00:00.000","343805","399341","30099","961960","1705106"
"2018-08-01T00:00:00.000","343681","398983","29466","965969","1708633"
"2018-07-01T00:00:00.000","337747","400131","29090","975112","1712990"
"2018-06-01T00:00:00.000","345576","400445","29187","979491","1725512"
"2018-05-01T00:00:00.000","341232","400578","28985","986095","1727905"
"2018-04-01T00:00:00.000","343456","400773","29258","993135","1737364"
"2018-03-01T00:00:00.000","350577","400942","29171","1002253","1753772"
"2018-02-01T00:00:00.000","353773","402190","29732","1004281","1760244"
"2018-01-01T00:00:00.000","352070","402039","29896","1017121","1771230"
"2017-12-01T00:00:00.000","358561","401823","30189","1029485","1789869"
"2017-11-01T00:00:00.000","353700","402157","30068","1036341","1792198"
"2017-10-01T00:00:00.000","351520","403301","29985","1055431","1810252"
"2017-09-01T00:00:00.000","357325","402264","30096","1066276","1825865"
"2017-08-01T00:00:00.000","352718","402475","30225","1079999","1835192"
"2017-07-01T00:00:00.000","352341","403135","30036","1097828","1853304"
"2017-06-01T00:00:00.000","356930","402623","30096","1109952","1869505"
"2017-05-01T00:00:00.000","350626","402250","29702","1126904","1879780"
"2017-04-01T00:00:00.000","356100","404309","29728","1143780","1904189"
"2017-03-01T00:00:00.000","351584","403161","29637","1161927","1916672"
"2017-02-01T00:00:00.000","356556","404313","29991","1172570","1933439"
"2017-01-01T00:00:00.000","357685","405192","30323","1189528","1952405"
"2016-12-01T00:00:00.000","366076","407224","30709","1208174","1981474"
"2016-11-01T00:00:00.000","364390","406101","30844","1224754","1995245"
"2016-10-01T00:00:00.000","362497","406737","31102","1243366","2012600"
"2016-09-01T00:00:00.000","364100","407467","31340","1262070","2033637"
