"target_geographic_area","organization_name","site_address","postcode","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Bedford Stuyvesant","Good Shepherd Services","862 Park Avenue, Brooklyn, NY 11206","11206","3","40.698582","-73.940736","3","36","28502","3324728","3015800001","Stuyvesant Heights                                                         "
"Bedford Stuyvesant","Friends of Bedford, Inc","510 Gates Ave., Brooklyn, NY 11216","11216","3","40.68679","-73.945553","3","36","265","3051169","3018140023","Bedford                                                                    "
"Brownsville","Jewish Child Care Association","1555 Linden Blvd, Brooklyn, NY11212","11212","3","40.655457","-73.902839","16","42","922","3085992","3038680002","Brownsville                                                                "
"East New York","Alpha School Center for Progressive Living","2400 Linden Blvd, Brooklyn, NU 11208","11208","3","40.665325","-73.874918","5","42","1116","3098799","3045010002","East New York                                                              "
"Edenwald","Fedcap Rehabilitation Services, Inc. (partnering with Bronx Clergy Roundtable)","Site address is being finalized",,,,,,,,,,
"Harlem","New York Mission Society","646 Malcolm X Blvd, New York, NY 10037","10037","1","40.818813","-73.937414","10","9","214","1081458","1017400001","Central Harlem North-Polo Grounds                                          "
"Harlem","Friends of Island Academy","22 E 128th Street, New York, NY 10035","10035","1","40.807987","-73.940061","11","9","206","1054159","1017520059","Central Harlem North-Polo Grounds                                          "
"Harlem","Exodus Transitional Community","2271 Third Ave, New York, NY 10035","10035","1","40.802652","-73.936569","11","8","194","1054631","1017880004","East Harlem North                                                          "
"Harlem","Harlem Commonwealth Council Inc","361 West 125th Street, New York, NY 10027","10027","1","40.810952","-73.953005","9","9","20901","1059308","1019520009","Morningside Heights                                                        "
"Highbridge","BronxWorks, Inc","1130 Grand Concourse, Bronx, NY 10456","10456","2","40.832331","-73.91959","4","16","18102","2002833","2024620042","East Concourse-Concourse Village                                           "
"Grand Concourse & University Heights","BronxWorks, Inc","1130 Grand Concourse, Bronx, NY 10456","10456","2","40.832331","-73.91959","4","16","18102","2002833","2024620042","East Concourse-Concourse Village                                           "
"Highbridge","The Children's Village","400 East Fordham Road, Bronx, NY 10458","10458","2","40.861668","-73.891337","6","15","38302","2116415","2030337501","Fordham South                                                              "
"Grand Concourse & University Heights","The Children's Village","400 East Fordham Road, Bronx, NY 10458","10458","2","40.861668","-73.891337","6","15","38302","2116415","2030337501","Fordham South                                                              "
"Soundview","Phipps Community Development Corporation","1680 Seward Avenue, Bronx, NY 10473","10473","2","40.818369","-73.86895","9","18","20","2092647","2035510001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"South Jamaica","Safe Space NYC Inc","89-74 162nd Street, 3rd Fl., Jamaica, NY 11432","11432","4","40.705079","-73.798175","12","24","44601","4208875","4097607501","Jamaica                                                                    "
"South Jamaica","Community Mediation Services, Inc","89-64 163rd Street, Jamaica, NY 11432","11432","4","40.70664","-73.798033","12","24","44601","4208888","4097610080","Jamaica                                                                    "
"South Bronx","Federation Employment & Guidance Services, Inc","412-424 E 147th Street, Bronx, NY 10455","10455","2","40.814478","-73.918076","1","8","43","2000506","2022910012","Mott Haven-Port Morris                                                     "
"South Bronx","The Osborne Association","809 Westchester Avenue, Bronx, NY 10455","10455","2","40.819143","-73.902661","1","17","77","2004795","2026660041","Melrose South-Mott Haven North                                             "
"South Bronx","Health People, Inc","552 Southern Blvd, 2nd Fl., Bronx, NY 10455","10455","2","40.812337","-73.903401","2","8","83","2004122","2026030007","Longwood                                                                   "
"South Bronx","Bronx Clergy Criminal Justice Roundtable","1175 Boston Road, Bronx, NY 10456","10456","2","40.828887","-73.903066","3","16","185","2004287","2026140043","Morrisania-Melrose                                                         "
"St. George","New York Center for Interpersonal Development","130 Stuyvesant Place - 4th Floor, Staten Island, NY 10301","10301","5","40.642891","-74.076874","1","49","3","5000085","5000080070","West New Brighton-New Brighton-St. George"
"Port Richmond","New York Center for Interpersonal Development","130 Stuyvesant Place - 4th Floor, Staten Island, NY 10301","10301","5","40.642891","-74.076874","1","49","3","5000085","5000080070","West New Brighton-New Brighton-St. George"
