"_10_digit_bbl","required_to_report_automated","borocode","block","lot","number_of_buildings","tax_class","building_class","street_number","street_name","postcode","city","dof_square_footage","latitude","longitude","community_board","council_district","census_tract","bin","nta"
"1000047501","N","1","4","7501","1","2","R0","1","WATER STREET","10038","Manhattan","2542563","40.702444","-74.012742","101","1","9","1000005","Battery Park City-Lower Manhattan"
"1000050010","N","1","5","10","1","4","O4","115","BROAD STREET","10004","Manhattan","1016406","40.702486","-74.011357","101","1","9","1000007","Battery Park City-Lower Manhattan"
"1000057501","N","1","5","7501","1","2","R0","125","BROAD STREET","10004","Manhattan","1354691","40.702112","-74.011249","101","1","9","1000006","Battery Park City-Lower Manhattan"
"1000080039","Y","1","8","39","1","4","H3","32","PEARL STREET","10004","Manhattan","46724","40.703235","-74.012421","101","1","9","1078968","Battery Park City-Lower Manhattan"
"1000080051","N","1","8","51","1","4","H2","6","WATER STREET","10004","Manhattan","102407","40.702744","-74.012201","101","1","9","1090472","Battery Park City-Lower Manhattan"
"1000087501","N","1","8","7501","1","2","R0","39","WHITEHALL STREET","0","Manhattan","169061","40.703037","-74.012969","101","1","9","1087700","Battery Park City-Lower Manhattan"
"1000090001","N","1","9","1","1","4","O4","34","WHITEHALL STREET","10004","Manhattan","692431","40.703034","-74.012991","101","1","9","1000018","Battery Park City-Lower Manhattan"
"1000090014","N","1","9","14","1","4","O4","17","STATE STREET","10004","Manhattan","544015","40.702798","-74.014246","101","1","9","1000020","Battery Park City-Lower Manhattan"
"1000090029","N","1","9","29","1","4","O4","24","STATE STREET","10004","Manhattan","896956","40.703534","-74.014387","101","1","9","1000021","Battery Park City-Lower Manhattan"
"1000100001","N","1","10","1","1","4","K4","100","BROAD STREET","10004","Manhattan","26013","40.703512","-74.011606","101","1","9","1000022","Battery Park City-Lower Manhattan"
"1000100014","N","1","10","14","1","4","O4","33","WHITEHALL STREET","10004","Manhattan","365792","40.703312","-74.013038","101","1","9","1000023","Battery Park City-Lower Manhattan"
"1000100016","N","1","10","16","1","4","O4","90","BROAD STREET","10004","Manhattan","336025","40.703954","-74.011592","101","1","9","1000025","Battery Park City-Lower Manhattan"
"1000100023","N","1","10","23","1","4","O4","1","WHITEHALL STREET","10004","Manhattan","321994","40.703973","-74.013164","101","1","9","1000027","Battery Park City-Lower Manhattan"
"1000110014","Y","1","11","14","1","2","D4","26","BEAVER STREET","10004","Manhattan","51387","40.704959","-74.011902","101","1","9","1085816","Battery Park City-Lower Manhattan"
"1000110021","N","1","11","21","1","4","O4","80","BROAD STREET","10004","Manhattan","361710","40.704322","-74.011581","101","1","9","1000038","Battery Park City-Lower Manhattan"
"1000110029","N","1","11","29","1","4","H2","11","STONE STREET","10004","Manhattan","59410","40.704039","-74.012317","101","1","9","1000041","Battery Park City-Lower Manhattan"
"1000130001","Y","1","13","1","1","4","O6","1","BROADWAY","10004","Manhattan","180646","40.704785","-74.014099","101","1","13","1000043","Battery Park City-Lower Manhattan"
"1000130005","N","1","13","5","1","4","O4","11","BROADWAY","10004","Manhattan","434220","40.705354","-74.013731","101","1","13","1000044","Battery Park City-Lower Manhattan"
"1000130027","N","1","13","27","1","4","O4","25","BROADWAY","10004","Manhattan","809401","40.705752","-74.013374","101","1","13","1000045","Battery Park City-Lower Manhattan"
"1000150022","Y","1","15","22","1","2","D8","21","WEST STREET","10004","Manhattan","335746","40.706451","-74.016119","101","1","13","1000047","Battery Park City-Lower Manhattan"
"1000157501","Y","1","15","7501","1","2","R0","17","BATTERY PLACE","10004","Manhattan","1402831","40.704884","-74.015927","101","1","13","1082634","Battery Park City-Lower Manhattan"
