"inmateid","admitted_dt","discharged_dt","race","gender","age","inmate_status_code","top_charge"
"20190778","2018-05-30T15:38:41.000","2018-08-16T06:12:04.000","UNKNOWN","M ","25","CS","220.09"
"20130019","2018-02-24T20:15:24.000","2018-08-22T11:24:00.000","UNKNOWN","M ","25","DE",
"41370","2018-07-30T15:58:35.000","2018-08-06T13:21:01.000","BLACK","M ","49","DE",
"20035180","2018-04-30T13:34:00.000","2018-08-01T21:42:02.000","BLACK","M ","49","DE",
"20115029","2018-08-31T00:39:46.000","2018-08-31T13:01:03.000","UNKNOWN","M ","38","DE",
"130066","2018-08-22T22:12:20.000","2018-08-31T08:32:03.000","BLACK","M ","33","DE",
"20178922","2017-02-25T21:47:00.000","2018-08-09T03:30:04.000","BLACK","M ","56","SSR",
"20107609","2018-07-25T19:04:01.000","2018-08-08T02:37:04.000","UNKNOWN","M ","35","SCO","CO"
"131832","2018-08-13T01:13:19.000","2018-08-29T01:09:00.000","UNKNOWN","M ","36","CS","FOA 900.00"
"20185155","2018-04-06T01:26:59.000","2018-08-03T16:50:01.000","UNKNOWN","M ","18","DE",
"20160800","2018-08-04T01:15:00.000","2018-08-08T16:15:02.000","BLACK","M ","19","DE",
"20065058","2018-08-14T13:26:57.000","2018-08-22T14:15:04.000","UNKNOWN","M ","34","DE","120.05"
"20130061","2018-07-23T11:41:55.000","2018-08-03T19:45:04.000","UNKNOWN","M ","67","DE",
"20197077","2018-07-30T13:15:55.000","2018-08-03T11:22:03.000","BLACK","M ","42","DE",
"20071024","2018-08-08T19:32:34.000","2018-08-17T08:43:04.000","UNKNOWN","F ","37","DPV",
"20197694","2018-08-21T11:09:00.000","2018-08-21T16:39:00.000","BLACK","M ","28","DE",
"20166472","2018-08-15T13:11:32.000","2018-08-18T00:10:01.000","BLACK","M ","32","DE",
"20196488","2018-07-07T20:25:00.000","2018-08-08T00:26:05.000","BLACK","M ","33","DE",
"20109918","2018-08-17T16:42:00.000","2018-08-21T09:28:02.000","BLACK","M ","26","DE",
