"fiscal_year","agency","median_cycle_time_in_days","count"
"2020","ACS","192","2"
"2020","DCAS","114","108"
"2020","DDC","192","59"
"2020","DEP","157","65"
"2020","DOB","133","1"
"2020","DOC","191","7"
"2020","DOF","279","4"
"2020","DOT","195","34"
"2020","DPR","242","112"
"2020","DSNY","232","5"
"2020","FDNY","187","8"
"2020","HPD","604","4"
"2020","HRA","199","8"
"2020","NYPD","266","4"
"2019","ACS","355","3"
"2019","DCAS","113","125"
"2019","DDC","135","72"
"2019","DEP","170","54"
"2019","DHS","341","7"
"2019","DOB","69","1"
"2019","DOC","251.5","6"
"2019","DOF","337","2"
"2019","DOHMH","213","3"
"2019","DOITT","169","1"
"2019","DOT","154","37"
"2019","DPR","179","103"
"2019","DSNY","155","10"
"2019","FDNY","123.5","6"
"2019","HPD","295","13"
"2019","HRA","232","6"
"2019","NYPD","177","5"
"2019","Law","217","1"
"2018","ACS","252","2"
"2018","DCAS","148","187"
"2018","DDC","209","90"
"2018","DEP","184.5","64"
"2018","DHS","262","10"
"2018","DOB","117","2"
"2018","DOC","204","5"
"2018","DOF","212","3"
"2018","DOHMH","181","11"
"2018","DOITT","308.5","2"
"2018","DOT","196.5","28"
"2018","DPR","191.5","112"
"2018","DSNY","140","23"
"2018","FDNY","170.5","12"
"2018","HPD","194","5"
"2018","HRA","274","9"
"2018","NYPD","195","13"
"2018","OATH","244","1"
