"building_id","boro","phn","street_name","total_units","order_issue_date","current_status","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2709","Manhattan","2254","5 AVENUE","17","2014-10-06T00:00:00.000","Discharged","10037","40.814196","-73.936584","110","9","212","1053919","1017350036","Central Harlem North-Polo Grounds"
"3376","Manhattan","1845","ADAM C POWELL BOULEVARD","24","2015-10-21T00:00:00.000","Discharged","10026","40.80086","-73.954233","110","9","216","1054974","1018227502","Central Harlem South"
"3436","Manhattan","2030","ADAM C POWELL BOULEVARD","57","2019-10-30T00:00:00.000","Discharged","10027","40.806707","-73.949992","110","9","220","1058515","1019270033","Central Harlem South"
"4182","Manhattan","2843","FREDERICK DOUGLASS BOULEVARD","9","2018-10-02T00:00:00.000","Discharged",,,,,,,,,
"5618","Manhattan","476","WEST 143 STREET","12","2018-10-03T00:00:00.000","Discharged","10031","40.823817","-73.948281","109","7","227","1061258","1020580058","Hamilton Heights"
"5706","Manhattan","1887","AMSTERDAM AVENUE","18","2016-10-24T00:00:00.000","Discharged","10032","40.830504","-73.943741","109","7","23501","1061653","1020680004","Hamilton Heights"
"5828","Manhattan","2244","AMSTERDAM AVENUE","18","2018-10-03T00:00:00.000","Discharged","10032","40.842046","-73.935343","112","10","253","1063079","1021280044","Washington Heights South"
"6206","Manhattan","247","AUDUBON AVENUE","43","2019-10-31T00:00:00.000","Discharged","10033","40.846377","-73.934048","112","10","261","1063183","1021320021","Washington Heights South"
"6279","Manhattan","59","AUDUBON AVENUE","10","2019-10-31T00:00:00.000","Discharged","10032","40.840626","-73.938254","112","10","251","1062996","1021250027","Washington Heights South"
"6479","Manhattan","38","AVENUE B","10","2018-10-03T00:00:00.000","Discharged","10009","40.722769","-73.982907","103","2","32","1004999","1003990038","East Village"
"7474","Manhattan","22","BRADHURST AVENUE","10","2016-10-24T00:00:00.000","Discharged","10030","40.822171","-73.943925","110","9","259","1060764","1020440002","Central Harlem North-Polo Grounds"
"7474","Manhattan","22","BRADHURST AVENUE","10","2018-10-03T00:00:00.000","Discharged","10030","40.822171","-73.943925","110","9","259","1060764","1020440002","Central Harlem North-Polo Grounds"
"7474","Manhattan","22","BRADHURST AVENUE","10","2015-10-21T00:00:00.000","Discharged","10030","40.822171","-73.943925","110","9","259","1060764","1020440002","Central Harlem North-Polo Grounds"
"8092","Manhattan","3624","BROADWAY","39","2016-10-24T00:00:00.000","Discharged","10031","40.829161","-73.948443","109","7","233","1062077","1020810001","Hamilton Heights"
"9614","Manhattan","192","CLAREMONT AVENUE","20","2018-10-03T00:00:00.000","Discharged","10027","40.814951","-73.960123","109","7","211","1059860","1019930102","Morningside Heights"
"9614","Manhattan","192","CLAREMONT AVENUE","20","2016-10-24T00:00:00.000","Discharged","10027","40.814951","-73.960123","109","7","211","1059860","1019930102","Morningside Heights"
"9847","Manhattan","951","COLUMBUS AVENUE","10","2017-10-27T00:00:00.000","Discharged","10025","40.799652","-73.962552","107","7","193","1055672","1018420063","Morningside Heights"
"11013","Manhattan","623","EAST 6 STREET","10","2016-10-24T00:00:00.000","Discharged","10009","40.72399","-73.980406","103","2","2602","1004697","1003890049","Lower East Side"
"11511","Manhattan","274","EAST 10 STREET","10","2017-10-27T00:00:00.000","Discharged","10009","40.728275","-73.983277","103","2","34","1005906","1004370018","East Village"
"11746","Manhattan","635","EAST 11 STREET","11","2016-10-24T00:00:00.000","Discharged","10009","40.726767","-73.977783","103","2","28","1004916","1003940050","Lower East Side"
"19039","Manhattan","212","EAST 105 STREET","24","2018-10-03T00:00:00.000","Discharged","10029","40.790664","-73.944645","111","8","170","1052403","1016540141","East Harlem South"
"19547","Manhattan","241","EAST 115 STREET","23","2018-10-03T00:00:00.000","Discharged","10029","40.796604","-73.938963","111","8","188","1052534","1016650022","East Harlem North"
"19605","Manhattan","105","EAST 116 STREET","8","2015-10-21T00:00:00.000","Discharged","10029","40.799082","-73.942684","111","8","182","1052282","1016440005","East Harlem North"
"19681","Manhattan","238","EAST 116 STREET","28","2018-10-03T00:00:00.000","Discharged","10029","40.797543","-73.939081","111","8","188","1052540","1016650033","East Harlem North"
"19843","Manhattan","212","EAST 117 STREET","14","2017-10-27T00:00:00.000","Discharged","10035","40.798396","-73.938997","111","8","188","1052594","1016660041","East Harlem North"
"19867","Manhattan","316","EAST 117 STREET","18","2019-10-30T00:00:00.000","Discharged","10035","40.7973","-73.936405","111","8","188","1052972","1016880044","East Harlem North"
"19910","Manhattan","453","EAST 117 STREET","9","2015-10-21T00:00:00.000","Discharged","10035","40.796195","-73.933733","111","8","178","1053140","1017110121","East Harlem North"
"20267","Manhattan","241","EAST 120 STREET","11","2018-10-02T00:00:00.000","Discharged","10035","40.800111","-73.937161","111","8","194","1054583","1017850019","East Harlem North"
"20291","Manhattan","348","EAST 120 STREET","10","2016-10-24T00:00:00.000","Discharged","10035","40.799066","-73.934539","111","8","194","1054758","1017960033","East Harlem North"
"22510","Manhattan","110","HAMILTON PLACE","18","2019-10-31T00:00:00.000","Discharged","10031","40.823738","-73.949499","109","7","229","1061858","1020740025","Hamilton Heights"
"22511","Manhattan","115","HAMILTON PLACE","26","2019-10-30T00:00:00.000","Discharged","10031","40.823724","-73.949484","109","7","229","1061859","1020740030","Hamilton Heights"
"22511","Manhattan","115","HAMILTON PLACE","26","2016-10-24T00:00:00.000","Discharged","10031","40.823724","-73.949484","109","7","229","1061859","1020740030","Hamilton Heights"
"24824","Manhattan","2082","MADISON AVENUE","12","2018-10-03T00:00:00.000","Discharged","10037","40.809627","-73.93782","111","9","206","1054307","1017560014","Central Harlem North-Polo Grounds"
"25349","Manhattan","64","MANHATTAN AVENUE","11","2019-10-30T00:00:00.000","Discharged","10025","40.796636","-73.962937","107","7","189","1055408","1018380044","Upper West Side"
"25515","Manhattan","107","MORNINGSIDE AVENUE","10","2017-11-03T00:00:00.000","Discharged","10027","40.810318","-73.954769","109","9","20901","1059285","1019500064","Morningside Heights"
"25556","Manhattan","63","MORNINGSIDE AVENUE","10","2015-10-21T00:00:00.000","Active","10027","40.808439","-73.956139","110","9","257","1059163","1019470064","Central Harlem South"
