"project_number","building_id","project_description","school_name","school_address","sed_approved_final_cost","fcrtosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"18HG","R018","Lead Paint Abatement","P.S. 18 - STATEN ISLAND","221 BROADWAY","13953.00","2021-06-08T00:00:00.000","STATEN IS","10310","40.636587","-74.117509","501","49","105","5004877","5001760010","New Brighton-Silver Lake"
"16G4","X101","Lead Paint Abatement","P.S. 304 - BRONX","2750 LAFAYETTE AVENUE","25684.00","2021-06-08T00:00:00.000","BRONX","10465","40.827471","-73.829753","210","13","152","2080231","2055470001","Schuylerville-Throgs Neck-Edgewater Park"
"16GG","X151","Lead Paint Abatement","I.S. 151 - BRONX","250 EAST 156 STREET","12122.00","2021-06-08T00:00:00.000","BRONX","10451","40.82316","-73.921631","204","17","61","2002458","2024430190","East Concourse-Concourse Village"
"18HB","Q136","Lead Paint Abatement","P.S. 136 - QUEENS","201-15 115 AVENUE","16062.00","2021-06-08T00:00:00.000","QUEENS","11412","40.698279","-73.752654","412","27","520","4236757","4110180021","St. Albans"
"16MF","K185","Lead Paint Abatement","P.S. 185 - BROOKLYN","8601 RIDGE BLVD","28205.00","2021-06-08T00:00:00.000","BROOKLYN","11209","40.623986","-74.033779","310","43","60","3153416","3060430001","Bay Ridge"
"16LA","K021","Lead Paint Abatement","P.S. 21 - BROOKLYN","180 CHAUNCEY STREET","18618.00","2021-06-08T00:00:00.000","BROOKLYN","11233","40.680727","-73.926597","303","36","381","3047914","3016920017","Crown Heights North"
"16O1","X070","Lead Paint Abatement","P.S. 70 - BRONX","1691 WEEKS AVENUE","39861.00","2021-06-08T00:00:00.000","BRONX","10457","40.844253","-73.907616","204","15","22902","2007387","2027930028","Mount Hope"
"16GI","X153","Lead Paint Abatement","P.S. 153 - BRONX","650 BAYCHESTER AVENUE","13115.00","2021-06-08T00:00:00.000","BRONX","10475","40.872614","-73.833698","210","12","46201","2097470","2051410150","Co-op City"
"16FG","X059","Lead Paint Abatement","P.S. 59 - BRONX","2185 BATHGATE AVENUE","14399.00","2021-06-08T00:00:00.000","BRONX","10457","40.852774","-73.893524","206","15","395","2011538","2030490037","Claremont-Bathgate"
"18GM","M001","Lead Paint Abatement","P.S. 1 - MANHATTAN","8 HENRY STREET","19527.00","2021-06-08T00:00:00.000","MANHATTAN","10038","40.71276","-73.997489","103","1","27","1003375","1002790040","Chinatown"
"16N4","M036","Lead Paint Abatement","P.S. 36 - MANHATTAN","123 MORNINGSIDE DRIVE","15894.00","2021-06-08T00:00:00.000","MANHATTAN","10027","40.81027","-73.957482","109","7","19701","1055890","1018500002","Morningside Heights"
"16MA","K169","Lead Paint Abatement","P.S. 169 - BROOKLYN","4305 7TH AVENUE","16318.00","2021-06-08T00:00:00.000","BROOKLYN","11232","40.64629","-74.001903","307","38","92","3011002","3007320001","Sunset Park East"
"16O2","X088","Lead Paint Abatement","P.S. 88 - BRONX","1340 SHERIDAN AVENUE","11505.00","2021-06-08T00:00:00.000","BRONX","10456","40.837275","-73.913574","204","16","17902","2094533","2028300017","East Concourse-Concourse Village"
"17ON","K296","Lead Paint Abatement","I.S. 562 - BROOKLYN","125 COVERT STREET","15359.00","2021-06-08T00:00:00.000","BROOKLYN","11207","40.688387","-73.910276","304","37","413","3079027","3034160001","Bushwick South"
"16N8","M066","Lead Paint Abatement","P.S. 151 - MANHATTAN","421 EAST 88 STREET","14272.00","2021-06-08T00:00:00.000","MANHATTAN","10128","40.777911","-73.947757","108","5","14402","1050618","1015680008","Yorkville"
"17OD","K035","Lead Paint Abatement","I.S. 35 - BROOKLYN","272 MACDONOUGH STREET","11839.00","2021-06-08T00:00:00.000","BROOKLYN","11233","40.681896","-73.935963","303","36","273","3047054","3016740011","Stuyvesant Heights"
"18GT","M076","Lead Paint Abatement","P.S. 76 - MANHATTAN","220 WEST 121 STREET","11052.00","2021-06-08T00:00:00.000","MANHATTAN","10027","40.806768","-73.951061","110","9","220","1058470","1019260017","Central Harlem South"
"16GU","X444","Lead Paint Abatement","ROSE HILL PRE-K CENTER","2510 MARION AVENUE","10748.00","2021-06-08T00:00:00.000","BRONX","10458","40.861286","-73.893258","205","15","39902","2011069","2030260014","Bedford Park-Fordham North"
"1.60E+10","Q084","Lead Paint Abatement","P.S. 84 - QUEENS","22-45 41 STREET","35047.00","2021-06-08T00:00:00.000","QUEENS","11105","40.771512","-73.90633","401","22","119","4015334","4007940017","Steinway"
"16FE","X050","Lead Paint Abatement","FAIRMONT NEIGHBORHOOD SCHOOL","1550 VYSE AVENUE","16899.00","2021-06-08T00:00:00.000","BRONX","10460","40.834157","-73.887512","203","17","157","2010786","2029960010","Crotona Park East"
"1.60E+07","Q021","Lead Paint Abatement","P.S. 21 - QUEENS","147-36 26TH AVENUE","30899.00","2021-06-08T00:00:00.000","QUEENS","11354","40.774512","-73.819284","407","19","1047","4108665","4048030001","Murray Hill"
"18GZ","Q030","Lead Paint Abatement","P.S. 354 - QUEENS","126-10 BEDELL STREET","12401.00","2021-06-08T00:00:00.000","QUEENS","11434","40.68031","-73.774432","412","28","33402","4270045","4124950065","Springfield Gardens North"
"16LM","K106","Lead Paint Abatement","P.S. 106 - BROOKLYN","1328 PUTNAM AVENUE","41001.00","2021-06-08T00:00:00.000","BROOKLYN","11221","40.693879","-73.913056","304","37","435","3077286","3033770001","Bushwick North"
"16NE","M166","Lead Paint Abatement","P.S. 166 - MANHATTAN","132 WEST 89 STREET","18937.00","2021-06-08T00:00:00.000","MANHATTAN","10024","40.788865","-73.971847","107","6","173","1032308","1012190047","Upper West Side"
"16NR","Q184","Lead Paint Abatement","P.S. 184 - QUEENS","163-15 21 ROAD","19430.00","2021-06-08T00:00:00.000","QUEENS","11357","40.778095","-73.800163","407","19","1017","4129072","4057560001","Ft. Totten-Bay Terrace-Clearview"
"187V","Q081","Lead Paint Abatement","P.S. 81 - QUEENS","559 CYPRESS AVENUE","19912.00","2021-06-08T00:00:00.000","QUEENS","11385","40.703765","-73.912344","405","34","545","4082076","4034370001","Ridgewood"
