"date","project_id","title","borough","level_of_review","agency","certificate_number","public_private","action","project_type"
"2022-08-08T00:00:00.000","22835","Installation of rooftop mechanical equipment, Steinway Branch Library, 21-45 31st Street, Astoria, Queens","Queens","Preliminary and Final","QL","28198","Public","Calendared for Consent","Building systems & Modifications"
"2022-08-08T00:00:00.000","22834","Installation of rooftop mechanical equipment, Langston Hughes Community Library and Cultural Center, 100-01 Northern Boulevard, Corona, Queens","Queens","Preliminary and Final","QL","28197","Public","Calendared for Consent","Building systems & Modifications"
"2022-08-08T00:00:00.000","22833","Installation of rooftop mechanical units, 100th Police Precinct, 92-24 Rockaway Beach Boulevard, Rockaway Beach, Queens","Queens","Preliminary","NYPD","28196","Public","Calendared for Consent","Building systems & Modifications"
"2022-08-08T00:00:00.000","22832","Conservation of Private Passage (2005) by Malcolm Cochran, Hudson River Park, Clinton Cove, between 12th Avenue and the Hudson River at West 56th Street, Manhattan","Manhattan","Final","HRPT/DPR","28195","Public","Calendared for Consent","Artwork"
"2022-08-08T00:00:00.000","22831","Installation of signage (7 Eleven), 395 Flatbush Avenue Extension, Brooklyn","Brooklyn","Preliminary and Final","HPD","28194","Private","Calendared for Consent","Signage"
"2022-08-08T00:00:00.000","22830","Installation of a louver, Engine Company 299/Ladder Company 152, 61-20 Utopia Parkway, Fresh Meadows, Queens","Queens","Preliminary and Final","FDNY","28193","Public","Calendared for Consent","Building systems & Modifications"
"2022-08-08T00:00:00.000","22829","Reconstruction of the esplanade and installation of a barge, gangway, and electrical equipment to accommodate citywide ferry service, Hunters Point South Park, the East River and Center Boulevard between 54th Avenue and Borden Avenue, Long Island City, Queens","Queens","Preliminary","EDC/DPR","28192","Public and Private","Calendared for Consent","Landscape architecture"
"2022-08-08T00:00:00.000","22828","Relocation and conservation of the Emma Lazarus memorial plaque, as part of the Lower Manhattan Coastal Resiliency, The Battery, between Castle Clinton and Pier A, Manhattan","Manhattan","Preliminary","DPR/EDC","28191","Public","Calendared for Consent","Artwork"
"2022-08-08T00:00:00.000","22827","Reconstruction of the Inwood Hill Ballfields, Inwood Hill Park, West 214th Street and Seaman Avenue, Manhattan","Manhattan","Final","DPR","28190","Public","Calendared for Consent","Landscape architecture"
"2022-08-08T00:00:00.000","22826","Reconstruction of a multipurpose play area, adjacent to P.S. 68, Evergreen Park, St. Felix Place, Seneca Avenue, and 75th Avenue, Ridgewood, Queens","Queens","Final","DPR","28189","Public","Calendared for Consent","Landscape architecture"
