"pub_dt","ref_yr","ind","unit","value","rev_rea"
"20200116","2018","Total","Thousands of Jobs","4551.342",
"20200116","2018","Private","Thousands of Jobs","3963.017",
"20200116","2018","Financial Activities","Thousands of Jobs","474.683",
"20200116","2018","Securities","Thousands of Jobs","181.342",
"20200116","2018","Professional & Business Services","Thousands of Jobs","762.108",
"20200116","2018","Information","Thousands of Jobs","204.392",
"20200116","2018","Education","Thousands of Jobs","255.108",
"20200116","2018","Health & Social Services","Thousands of Jobs","751.075",
"20200116","2018","Leisure & Hospitality","Thousands of Jobs","462.983",
"20200116","2018","Wholesale & Retail Trade","Thousands of Jobs","490.067",
"20200116","2018","Transportation & Utilities","Thousands of Jobs","141.108",
"20200116","2018","Construction","Thousands of Jobs","157.825",
"20200116","2018","Manufacturing","Thousands of Jobs","70.567",
"20200116","2018","Other Services","Thousands of Jobs","193.1",
"20200116","2018","Government","Thousands of Jobs","588.325",
"20200116","2019","Total","Thousands of Jobs","4639.431",
"20200116","2019","Private","Thousands of Jobs","4045.167",
"20200116","2019","Financial Activities","Thousands of Jobs","474.929",
"20200116","2019","Securities","Thousands of Jobs","180.838",
"20200116","2019","Professional & Business Services","Thousands of Jobs","783.243",
"20200116","2019","Information","Thousands of Jobs","209.465",
"20200116","2019","Education","Thousands of Jobs","257.687",
"20200116","2019","Health & Social Services","Thousands of Jobs","790.046",
"20200116","2019","Leisure & Hospitality","Thousands of Jobs","467.681",
"20200116","2019","Wholesale & Retail Trade","Thousands of Jobs","492.959",
"20200116","2019","Transportation & Utilities","Thousands of Jobs","143.729",
"20200116","2019","Construction","Thousands of Jobs","159.453",
"20200116","2019","Manufacturing","Thousands of Jobs","69.243",
"20200116","2019","Other Services","Thousands of Jobs","196.732",
"20200116","2019","Government","Thousands of Jobs","594.264",
"20200116","2020","Total","Thousands of Jobs","4695.972",
"20200116","2020","Private","Thousands of Jobs","4101.728",
"20200116","2020","Financial Activities","Thousands of Jobs","481.299",
"20200116","2020","Securities","Thousands of Jobs","182.081",
"20200116","2020","Professional & Business Services","Thousands of Jobs","801.55",
"20200116","2020","Information","Thousands of Jobs","210.492",
"20200116","2020","Education","Thousands of Jobs","259.732",
"20200116","2020","Health & Social Services","Thousands of Jobs","806.49",
"20200116","2020","Leisure & Hospitality","Thousands of Jobs","470.177",
"20200116","2020","Wholesale & Retail Trade","Thousands of Jobs","496.79",
"20200116","2020","Transportation & Utilities","Thousands of Jobs","146.545",
"20200116","2020","Construction","Thousands of Jobs","160.48",
"20200116","2020","Manufacturing","Thousands of Jobs","67.815",
"20200116","2020","Other Services","Thousands of Jobs","200.357",
