"school_year","location_name","location_code","borough","geographical_district_code","register","building_name","schools","nypd_site_code","nypd_site_name","schools_in_building","major_n","oth_n","nocrim_n","prop_n","vio_n","engroupa","rangea","avgofmajor_n","avgofoth_n","avgofnocrim_n","avgofprop_n","avgofvio_n","geocode","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2016 - 17","PASSAGES ACADEMY AT BELMONT(BN)","X695","K","7","618",,"1","211","PS 077K","Brooklyn College Academy","0","0","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","560 BROOK AVENUE
,  
(40.815701, -73.914526)",,,,,,,,,
"2016 - 17","P.S. Q086","Q086","Q","28","646",,"1","746","MS 074Q","P.S. 082 Hammond","0","1","0","1","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","87 41 PARSONS BOULEVARD
,  
(41.12133, -72.339742)","11432","40.708898","-73.803938","8","24","448","4438678","4097740001","Briarwood-Jamaica Hills                                                    "
"2016 - 17","P.S. 001 The Bergen","K001","K","15","1334",,"1","198","PS 001K","P.S. 001 The Bergen","0","0","1","0","0","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","309 47 STREET
,  
(41.574857, -93.767342)",,,,,,,,,
"2016 - 17","P.S. 001 Alfred E. Smith","M001","M","2","533",,"1","1398","Sunset Park HS","P.S. Q256","0","1","0","0","1","4C","501-750","0.28","1.11","1.74","0.75","0.53","8 HENRY STREET
,  
(41.398617, -73.465855)",,,,,,,,,
"2016 - 17","P.S. 035","M035","M","2","833",,"1","663","JHS 056M","James Weldon Johnson","0","1","3","0","1","5C","751-1000","0.38","1.71","2.38","0.98","0.82","317 WEST 52ND STREET
,  
(41.799996, -87.633867)","10019","40.763866","-73.985939","4","3","133","1025241","1010430022","Clinton                                                                    "
"2016 - 17","The Urban Assembly School for Collaborative Health","K764","K","19","215","999 JAMAICA AVENUE CONSOLIDATED LOCATION","5","315","SAMUEL J. TILDEN HS","Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","999 JAMAICA AVENUE
,  
(27.783609, -80.501816)","11208","40.691146","-73.868328","5","37","1180","3090738","3040940001","park-cemetery-etc-Brooklyn                                                 "
"2016 - 17","Brooklyn High School of the Arts","K656","K","15","522","345 DEAN STREET CONSOLIDATED LOCATION","2","1226","Academy for Health Careers(Dist.13 Office)","The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","345 DEAN STREET
,  
(31.226762, -84.221511)","11217","40.683559","-73.98027","2","33","39","3001190","3001920013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2016 - 17","P.S. 183 Robert L. Stevenson","M183","M","2","704","4862 BROADWAY CONSOLIDATED LOCATION","2","619","PS 171M","Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION","0","0","0","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","419 EAST 66 STREET
,  
(40.763596, -73.957856)","10065","40.763736","-73.95815","8","5","116","1045569","1014610007","Lenox Hill-Roosevelt Island                                                "
"2016 - 17","J.H.S. 162 The Willoughby","K162","K","32","414","330 CROWN STREET CONSOLIDATED LOCATION","2","237","PS 160K","P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","1390 WILLOUGHBY AVENUE
,  
(40.70727, -73.919792)","11237","40.707229","-73.919805","4","34","445","3073018","3032120001","Bushwick North                                                             "
"2016 - 17","P.S. 236 Mill Basin","K236","K","22","1262",,"1","168","IS 232K","P.S. 235 Lenox School","1","1","1","1","1","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","6302 AVENUE
,  
(29.464895, -94.983575)","11234","40.615998","-73.912989","18","46","698","3326821","3084640001","Georgetown-Marine Park-Bergen Beach-Mill Basin                             "
