"admin","total_complaints","total_violations","disability","ethncity_or_national_origin","gender","gender_identity_expression","race","religion","sexual_orientation","weight"
"01","38","23","0","*","0","0","*","0","0","0"
"02","258","150","*","10","*","*","23","11","8","*"
"03","89","57","0","*","*","*","7","*","6","*"
"04","58","34","0","*","0","*","0","0","*","0"
"05","27","16","0","*","*","*","*","0","*","*"
"06","43","26","0","0","0","*","*","0","*","*"
"07","68","58","*","*","0","0","*","*","0","*"
"08","116","74","0","*","*","*","*","0","*","*"
"09","69","40","0","*","0","0","*","*","*","*"
"10","176","108","*","0","*","*","7","*","*","*"
"11","209","143","*","*","*","*","8","*","*","*"
"12","103","66","*","*","0","*","*","0","*","*"
"13","76","49","0","*","*","*","*","*","*","*"
"14","43","28","0","0","0","0","*","0","0","*"
"15","121","74","0","6","6","*","10","0","*","7"
"16","22","16","0","*","*","0","*","0","*","*"
"17","57","34","0","*","*","*","*","0","*","*"
"18","36","20","0","*","0","*","0","*","0","0"
"19","65","52","0","0","0","0","*","0","*","*"
"20","166","82","0","9","*","*","13","*","*","6"
"21","141","101","*","*","*","*","14","*","12","*"
"22","62","35","0","*","*","*","*","0","*","*"
"23","20","12","0","0","*","0","0","0","0","0"
"24","199","117","*","9","7","*","11","*","11","11"
"25","141","75","*","*","*","0","10","0","*","8"
"26","149","73","*","*","*","*","8","*","*","*"
"27","97","62","0","*","*","0","9","*","*","0"
"28","125","94","0","6","*","*","8","*","6","*"
"29","84","60","*","*","0","0","*","0","*","*"
"30","126","77","*","7","*","*","9","*","*","*"
"31","297","159","*","11","*","*","24","6","10","12"
"32","33","22","0","*","0","0","0","0","*","0"
"75","81","48","*","0","*","*","0","0","*","*"
"79","17","13","0","*","*","*","0","0","*","*"
"Grand Total","3412","2098","23","106","57","33","197","39","113","96"
