"project_number","building_id","project_description","school_name","school_address","sed_approved_estimate","appltosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"0LDT","Q169","Indoor Building Improvement","P.S. 169 - QUEENS","18-25 212 STREET","940235","2015-12-30T00:00:00.000","4","11360","40.782298","-73.779099","7","19","99704","4131147","4058650050","Ft. Totten-Bay Terrace-Clearview                                           "
"0LD8","Q023","Indoor Building Improvement","QUEENS ACADEMY HIGH SCHOOL - Q","138-11 35 AVENUE","1558122","2015-12-30T00:00:00.000","4","11354","40.765162","-73.8288","7","20","88901","4112106","4049560055","Flushing                                                                   "
"0LD9","X430","Gymnasium Upgrade","M.S./H.S. 342 - BRONX","2780 RESERVOIR AVENUE","536250","2015-12-30T00:00:00.000","2","10468","40.870293","-73.898309","7","11","409","2015241","2032470070","Van Cortlandt Village                                                      "
"0LGP","Q129","Building System Improvement - Electrical Lighting Fixtures","P.S. 129 - QUEENS","128-02 7TH AVENUE","791901","2015-12-30T00:00:00.000","4","11356","40.790638","-73.839771","7","19","945","4096774","4039760001","Whitestone                                                                 "
"0LGQ","K162","Building System Improvement - Electrical Lighting Fixtures","I.S. 162 - BROOKLYN","1390 WILLOUGHBY AVENUE","962223","2015-12-30T00:00:00.000","3","11237","40.707229","-73.919805","4","34","445","3073018","3032120001","Bushwick North                                                             "
"0LGR","K139","Building System Improvement - Electrical Lighting Fixtures","P.S. 139 - BROOKLYN","330 RUGBY ROAD","1313221","2015-12-30T00:00:00.000","3","11226","40.641937","-73.965523","14","40","1522","3328235","3051440064","Flatbush                                                                   "
"0LGT","K865","Building System Improvement - Electrical Lighting Fixtures","BUSHWICK LEADERS - K","797 BUSHWICK AVENUE","1040217","2015-12-30T00:00:00.000","3","11221","40.695056","-73.92814","4","34","393","3073761","3032420001","Bushwick South                                                             "
"0LGU","K877","Building System Improvement - Electrical Lighting Fixtures","K036 SPED - BROOKLYN","35 SNYDER AVENUE","275863","2015-12-30T00:00:00.000","3","11226","40.648585","-73.957282","14","40","794","3338996","3051030093","Erasmus                                                                    "
"0LGV","X047","Building System Improvement - Electrical Lighting Fixtures","P.S. 47 - BRONX","1794 EAST 172 STREET","690194","2015-12-30T00:00:00.000","2","10472","40.832902","-73.866848","9","18","76","2025622","2037860016","West Farms-Bronx River                                                     "
"0LFC","X105","Building System Improvement - Electrical Lighting Fixtures","P.S. 105 - BRONX","725 BRADY AVENUE","1411936","2015-12-30T00:00:00.000","2","10462","40.852398","-73.866617","11","13","22404","2048794","2042880001","Pelham Parkway                                                             "
"0LFD","X113","Building System Improvement - Electrical Lighting Fixtures","M.S./H.S. 272 - BRONX","3710 BARNES AVENUE","1690548","2015-12-30T00:00:00.000","2","10467","40.880873","-73.860904","12","12","390","2058396","2046750020","Williamsbridge-Olinville                                                   "
"0LD6","Q125","Building Additions","I.S. 125 - QUEENS","46-02 47 AVENUE","105429743","2015-12-30T00:00:00.000","4","11377","40.741131","-73.918945","2","26","235","4052874","4022840006","Hunters Point-Sunnyside-West Maspeth                                       "
"0LD7","Q485","Indoor Building Improvement","GROVER CLEVELAND HS - QUEENS","21-27 HIMROD STREET","1202700","2015-12-30T00:00:00.000","4","11385","40.711033","-73.908814","5","30","595","4080227","4033630001","Ridgewood                                                                  "
