"development","street_address","postcode","borough","bldg_number","tds_number","bin_number","no_of_floors","roof_space_sq_ft","estimated_roof_solar_capacity_kw","adjusted_value_kw","roof_condition_rating","no_of_residential_units","no_of_total_units","senior_development_yes_no","latitude","longitude","community_board","council_district","census_tract","bbl","nta","location_1"
"131 SAINT NICHOLAS AVENUE","131 SAINT NICHOLAS AVENUE","10026","MANHATTAN","1","154","1058378","17","5467.05","15.72","15.72","5","98","100","No ","40.803994","-73.952721","10","9","218","1019220041","Central Harlem South                                                       ","(40.803994, -73.952721)"
"45 ALLEN STREET","82GAR ELDRIDGE STREET","10002","MANHATTAN","2","265","1084872","1","444.47","0","0","3","0","0","Non-residential","40.717091","-73.9925","3","1","16","1003070001","Chinatown                                                                  ","(40.717091, -73.9925)"
"45 ALLEN STREET","45 ALLEN STREET","10002","MANHATTAN","1","265","1075792","14","7953.83","51.65","36.16","5","104","107","No ","40.716605","-73.991714","3","1","16","1003070001","Chinatown                                                                  ","(40.716605, -73.991714)"
"830 AMSTERDAM AVENUE","830 AMSTERDAM AVENUE","10025","MANHATTAN","1","150","1056483","20","6929.03","39.55","39.55","5","159","159","No ","40.79703","-73.9686","7","7","187","1018720029","Upper West Side                                                            ","(40.79703, -73.9686)"
"ADAMS","815 EAST 152ND STREET","10455","BRONX","7","118","2091989","21","6279.41","43.92","30.74","2","143","143","No ","40.815451","-73.905192","1","17","79","2026650001","Melrose South-Mott Haven North                                             ","(40.815451, -73.905192)"
"ADAMS","710 TINTON AVENUE","10455","BRONX","5","118","2091988","21","8189.93","27.57","27.57","2","142","142","No ","40.816985","-73.90507","1","17","79","2026650001","Melrose South-Mott Haven North                                             ","(40.816985, -73.90507)"
"ADAMS","745 EAST 152ND STREET","10455","BRONX","1","118","2091979","15","9272.01","44.67","31.27","4.3","122","122","No ","40.815864","-73.907225","1","17","79","2026540002","Melrose South-Mott Haven North                                             ","(40.815864, -73.907225)"
"ADAMS","680 TINTON AVENUE","10455","BRONX","6","118","2091987","21","6252.76","42.67","29.87","2.8","143","143","No ","40.816181","-73.90514","1","17","79","2026650001","Melrose South-Mott Haven North                                             ","(40.816181, -73.90514)"
"ADAMS","700 WESTCHESTER AVENUE","10455","BRONX","2","118","2091976","15","9736.18","39.18","39.18","4.1","124","124","No ","40.816765","-73.907296","1","17","79","2026540002","Melrose South-Mott Haven North                                             ","(40.816765, -73.907296)"
"ADAMS","720 WESTCHESTER AVENUE","10455","BRONX","3","118","2091977","15","7539.71","35.31","35.31","2.1","126","126","No ","40.817187","-73.906616","1","17","79","2026540002","Melrose South-Mott Haven North                                             ","(40.817187, -73.906616)"
"ADAMS","721 TINTON AVENUE","10455","BRONX","4","118","2091978","15","7489.20","46.04","32.23","2.9","125","125","No ","40.817161","-73.905077","1","17","79","2026540002","Melrose South-Mott Haven North                                             ","(40.817161, -73.905077)"
"ADAMS","730 TINTON AVENUE","10455","BRONX","0","118","2102823","1","550.22","0","0","N/A (playground)","0","0","Non-residential","40.817337","-73.905041","1","17","79","2026650001","Melrose South-Mott Haven North                                             ","(40.817337, -73.905041)"
"AUDUBON","1909 AMSTERDAM AVENUE","10032","MANHATTAN","1","125","1061681","20","8347.21","38.8","38.8","2","167","168","No ","40.831308","-73.943159","9","7","23501","1020680046","Hamilton Heights                                                           ","(40.831308, -73.943159)"
"BAISLEY PARK","163-11 FOCH BOULEVARD","11434","QUEENS","2","91","4435293","8","10378.64","40.05","28.03","3","77","77","No ","40.684336","-73.782849","12","28","278","4123350044","Baisley Park                                                               ","(40.684336, -73.782849)"
"BAISLEY PARK","116-40 GUY BREWER BOULEVARD","11434","QUEENS","4","91","4435280","8","8318.36","51.53","36.07","3","75","78","No ","40.685658","-73.783843","12","28","278","4122350022","Baisley Park                                                               ","(40.685658, -73.783843)"
"BAISLEY PARK","116-30 GUY BREWER BOULEVARD","11434","QUEENS","5","91","4529903","8","8026.18","39.43","39.43","3","77","77","No ","40.686109","-73.784108","12","28","278","4122350022","Baisley Park                                                               ","(40.686109, -73.784108)"
"BAISLEY PARK","116-80 GUY BREWER BOULEVARD","11434","QUEENS","3","91","4435281","8","8164.13","37.93","37.93","3","76","77","No ","40.684875","-73.78338","12","28","278","4122350022","Baisley Park                                                               ","(40.684875, -73.78338)"
"BAISLEY PARK","116-55 GUY BREWER BOULEVARD","11434","QUEENS","9","91","4435292","1","10260.89","52.78","36.94","3","0","0","Non-residential","40.685265","-73.783585","12","28","278","4123350044","Baisley Park                                                               ","(40.685265, -73.783585)"
"BAISLEY PARK","164-01 FOCH BOULEVARD","11434","QUEENS","1","91","4435294","8","8280.59","37.06","37.06","3","76","77","No ","40.684565","-73.782091","12","28","278","4123350044","Baisley Park                                                               ","(40.684565, -73.782091)"
"BARUCH","296 DELANCEY STREET","10002","MANHATTAN","12","60","1078037","13","12817.49","48.28","33.8","5","67","67","No ","40.715802","-73.979478","3","2","1002","1003230001","Lower East Side                                                            ","(40.715802, -73.979478)"
