"bble","bbl","borough","building_name","street_address","certification_class","of_carriers","coax_cable_connections","fiber_connection","satellite_fixed_wireless_connection","fiber_distribution","isps_1","multiple_points_of_entry","designated_telecom_utility_space","additional_telecom_space","riser_space_for_current_providers","riser_space_for_additional_providers","diverse_riser_locations","signed_poes","agreements","new_service_providers","isps_2","latitude","longitude","community_board","community_council","census_tract","bin","postcode","nta"
"1008120049","1-812-49","Manhattan","1370 Broadway","1370 BROADWAY","Not certified","4","Yes","Yes","No","Partial Distribution (some floors)","4","Yes","Combination of open, shared, and dedicated  space","No","No","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes",,"40.752048","-73.987505","5","4","109","1015244","10018","Midtown-Midtown South                                                      "
"1008500001","1-850-1","Manhattan","149 Fifth Avenue","149 5 AVENUE","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","No","Common (shared) room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes",,"40.74035","-73.990441","5","2","56","1016239","10010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"1008230037","1-823-37","Manhattan","162 Fifth Ave","162 5 AVENUE","Not certified","4","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Dedicated room","No","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,OCG","40.740358","-73.990459","5","3","58","1015534","10010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"1008070039","1-807-39","Manhattan",,"875 AVENUE OF THE AMERIC","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes",,,,,,,,,
"1012620001","1-1262-1","Manhattan",,"1180 AVENUE OF THE AMER","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","4","Yes","Common (shared) room","No","Yes","No","Does not have two or more diverse riser locations","None available","No","Yes","Verizon,Time Warner Cable,Lightower,Cogent","40.757479","-73.982176","5","4","96","1034313","10036","Midtown-Midtown South                                                      "
"1008690061","1-869-61","Manhattan","280 Madison","280 MADISON AVENUE","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Hallway/Open Space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Other,Verizon FIOS,Verizon,Time Warner Cable","40.751432","-73.980301","5","4","82","1017599","10016","Murray Hill-Kips Bay                                                       "
,"1-99999-9999","Manhattan","Testing This Building","771 10 AVENUE","Not certified","1","Yes","Yes","Yes","Full Distribution (all floors)","3","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","Century Link","40.766032","-73.99082","4","3","135","1081740","10019","Clinton                                                                    "
"1013100063","1-1310-63","Manhattan","126 East 56th Street","126 EAST 56 STREET","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Cogent","40.760465","-73.970151","5","4","100","1081163","10022","Turtle Bay-East Midtown                                                    "
"1000290001","1/29/2001","Manhattan","85 Broad St.","85 BROAD STREET","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","4","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,AT&T","40.704215","-74.011559","1","1","9","1066031","10004","Battery Park City-Lower Manhattan                                          "
"1012670041","1-1267-41","Manhattan","650 Fifth Ave","650 5 AVENUE","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","5 or more","No","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Other,Verizon,Time Warner Cable,AT&T","40.759789","-73.976544","5","4","104","1034517","10019","Midtown-Midtown South                                                      "
,"3-2444-11","Brooklyn","The Mr. Building","141 SOUTH 5 STREET","Not certified","3","No","Yes","No","Full Distribution (all floors)","2","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","Cablevision,AT&T","40.711044","-73.96279","1","34","549","3396900","11211","North Side-South Side                                                      "
"1999999999","1-99999-9999","Manhattan","Perfect Test Building","771 10 AVENUE","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","AT&T","40.766032","-73.99082","4","3","135","1081740","10019","Clinton                                                                    "
"1012620024","1-1262-24","Manhattan","WorkHouse","21 WEST 46 STREET","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes","Other,XO Communications,Verizon,TW Telecom","40.756435","-73.979967","5","4","96","1034326","10036","Midtown-Midtown South                                                      "
"1000430002","1-43-2","Manhattan","The Trump Building","40 WALL STREET","Not certified","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Other,XO Communications,Verizon,Time Warner Cable,Cogent,AT&T","40.706625","-74.009875","1","1","7","1001018","10005","Battery Park City-Lower Manhattan                                          "
"1012681102","1-1268-1102","Manhattan","666 Fifth Avenue","666 5 AVENUE","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Zayo,Verizon FIOS,Verizon,Time Warner Cable,Rainbow Broadband,Lightpath,Lightower,Cogent","40.760549","-73.976421","5","4","104","1034520","10103","Midtown-Midtown South                                                      "
,"1-849-63","Manhattan","920 Broadway","912 BROADWAY","Not certified","2","No","No","Yes","Partial Distribution (some floors)","2","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","No","Yes","None available","Yes","Yes","Verizon,Time Warner Cable","40.739548","-73.989658","5","2","52",,"10010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"3000290016","3/29/2016","Brooklyn","GreenDesk","155 WATER STREET","Not certified","2","No","Yes","No","Partial Distribution (some floors)","2","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes","Verizon,Lightower","40.703147","-73.987864","2","33","21","3000026","11201","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"1007840064","1-784-64","Manhattan","240 W 35th ","240 WEST 35 STREET","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Common (shared) room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Verizon,Time Warner Cable","40.752171","-73.991377","5","3","109","1014415","10001","Midtown-Midtown South                                                      "
"1000460003","1-46-3","Manhattan","100 Broadway ","100 BROADWAY","Not certified","3","Yes","Yes","Yes","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes",,"Zayo,Verizon,TW Telecom,Time Warner Cable,Direct TV,AT&T","40.70814","-74.011373","1","1","7","1001024","10005","Battery Park City-Lower Manhattan                                          "
