"trackerid","fmsid","title","summary","currentphase","designpercentcomplete","procurementpercentcomplete","constructionpercentcomplete","designstart","designprojectedcompletion","designadjustedcompletion","designactualcompletion","procurementstart","procurementprojectedcompletion","procurementadjustedcompletion","procurementactualcompletion","constructionstart","constructionprojectedcom","constructionadjustedcompletion","constructionactualcompletion","totalfunding","projectliaison","lastupdated","fundingsource","name","parkid","latitude","longitude","borough"
"10438",,"Uncle Vito F. Maranzano Glendale Playground Reconstruction","This project will reconstruct Uncle Vito F. Maranzano Glendale Playground.","proposed","0.0","0.0","0.0",,,,,,,,,,,,,"Less than $1 million",,"2022-08-17T00:00:00.000",,,"Q290","40.704964","-73.881725","Queens"
"9300","846 P-1ARAMEZ","Citywide Services Shops Facility Mezzanine Floor Construction","This project will construct a mezzanine floor at the Citywide Services Shops Facility (Aramark Building).","procurement","100.0","60.0","0.0","2019-04-01T00:00:00.000","2020-02-01T00:00:00.000",,"2021-01-01T00:00:00.000","2021-01-01T00:00:00.000","2021-10-01T00:00:00.000","2022-10-01T00:00:00.000",,,,,,"Between $1 million and $3 million","Cristin Leoutsakos","2022-08-17T00:00:00.000","Mayoral, Private","850 East 138th Street","X360","40.802748","-73.90932","Bronx"
"9899","846 P-1ARAELV","Citywide Services Shops Elevator Reconstruction","This project will reconstruct the elevator at the Citywide Services Shops.","procurement","100.0","60.0","0.0","2021-01-01T00:00:00.000","2021-07-01T00:00:00.000",,"2021-07-01T00:00:00.000","2021-07-01T00:00:00.000","2022-04-01T00:00:00.000","2022-10-01T00:00:00.000",,,,,,"Less than $1 million","Cristin Leoutsakos","2022-08-17T00:00:00.000","Mayoral","850 East 138th Street","X360","40.802718","-73.909456","Bronx"
"9578",,"A. Philip Randolph Square Reconstruction","This project will reconstruct A. Philip Randolph Square.","proposed","0.0","0.0","0.0",,,,,,,,,,,,,"Between $1 million and $3 million",,"2022-08-17T00:00:00.000","Borough President, City Council","7th Avenue, St. Nicholas Avenue, West 117th Street","M021","40.803901","-73.952413","Manhattan"
"8802","846 P-1MELRO","Melrose Commons Site 62 Park Construction","This project will construct a park at Melrose Commons Site 62, including a synthetic turf field, adult fitness equipment, a dog run, seating areas, drinking fountains, lighting, fences, pavement, plantings, and drainage.","construction","100.0","100.0","99.0","2019-02-01T00:00:00.000","2020-02-01T00:00:00.000",,"2020-03-01T00:00:00.000","2020-03-01T00:00:00.000","2020-12-01T00:00:00.000","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","2022-02-01T00:00:00.000","2023-08-01T00:00:00.000",,,"$9,355,000","Mike Ortiz","2022-08-17T00:00:00.000","Mayoral","Melrose Avenue between East 162nd Street and East 163rd Street","X350","40.825107","-73.912769","Bronx"
"1004111","846 P-4PL15A1","Arrow Recreation Center Playground Reconstruction","This project will reconstruct the playground at Arrow Recreation Center.","completed","100.0","100.0","100.0","2015-03-01T00:00:00.000","2015-08-01T00:00:00.000",,"2015-09-01T00:00:00.000","2016-04-01T00:00:00.000","2016-09-01T00:00:00.000",,"2016-09-01T00:00:00.000","2017-03-01T00:00:00.000","2017-08-01T00:00:00.000","2018-04-01T00:00:00.000","2018-03-01T00:00:00.000","$150,000","Mike Dockett","2022-08-17T00:00:00.000","Mayoral",,"Q470","40.755839","-73.926293","Queens"
"7121",,"Abe Stark Ice Rink Reconstruction (Hurricane Sandy)","This project will reconstruct mechanical & electrical controls, fire alarm systems, boilers & dehumidifiers damaged by Hurricane Sandy.","proposed","0.0","0.0","0.0",,,,,,,,,,,,,"Between $1 million and $3 million",,"2022-08-17T00:00:00.000","FederalMayoral",,"B336","40.57374694","-73.98560278","Brooklyn"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","2016-05-01T00:00:00.000","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2022-08-17T00:00:00.000","Mayoral","E 156 St bet Tinton Av & Union Av","X216","40.817299","-73.904724","Bronx, Queens"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","2016-05-01T00:00:00.000","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2022-08-17T00:00:00.000","Mayoral","Rockaway Boardwalk bet B 60 St & B 59 St","Q162E","40.58915","-73.789019","Bronx, Queens"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","2016-05-01T00:00:00.000","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2022-08-17T00:00:00.000","Mayoral","Grand Central Parkway., Whitestone Expressway between 111 Street and College Point Boulevard, Park Drive E","Q099","40.753564","-73.838031","Bronx, Queens"
